canonical_ar,canonical_en,variant
منطقة الرياض,Riyadh,الرياض
منطقة الرياض,Riyadh,منطقة الرياض
منطقة مكة المكرمة,Makkah,مكة المكرمة
منطقة مكة المكرمة,Makkah,مكة المكرمه
منطقة مكة المكرمة,Makkah,منطقة مكة المكرمة
منطقة مكة المكرمة,Makkah,منطقة مكة المكرمه
منطقة الشرقية,Eastern Province,الشرقية
منطقة الشرقية,Eastern Province,المنطقة الشرقية
منطقة الشرقية,Eastern Province,منطقة الشرقية
منطقة القصيم,Qassim,القصيم
منطقة القصيم,Qassim,منطقة القصيم
منطقة المدينة المنورة,Madinah,المدينة المنورة
منطقة المدينة المنورة,Madinah,المدينة المنوره
منطقة المدينة المنورة,Madinah,منطقة المدينة المنورة
منطقة المدينة المنورة,Madinah,منطقة المدينة المنوره
منطقة عسير,Asir,عسير
منطقة عسير,Asir,منطقة عسير
منطقة حائل,Hail,حائل
منطقة حائل,Hail,منطقة حائل
منطقة تبوك,Tabuk,تبوك
منطقة تبوك,Tabuk,منطقة تبوك
منطقة جازان,Jazan,جازان
منطقة جازان,Jazan,منطقة جازان
منطقة الجوف,Al Jouf,الجوف
منطقة الجوف,Al Jouf,منطقة الجوف
منطقة نجران,Najran,نجران
منطقة نجران,Najran,منطقة نجران
منطقة الحدود الشمالية,Northern Borders,الحدود الشمالية
منطقة الحدود الشمالية,Northern Borders,الحدود الشماليه
منطقة الحدود الشمالية,Northern Borders,منطقة الحدود الشمالية
منطقة الحدود الشمالية,Northern Borders,منطقة الحدود الشماليه
منطقة الباحة,Al Baha,الباحة
منطقة الباحة,Al Baha,منطقة الباحة
