id,field_id,value,count,percentage
1,1,"الرياض",70,97.22
2,1,"تبوك",2,2.78
3,2,"الرياض",70,97.22
4,2,"تبوك",2,2.78
5,3,"القطاع العام",72,100.0
6,4,"خدمة إلكترونية جزئيا",72,100.0
7,7,"الرياض",10,55.56
8,7,"جازان",5,27.78
9,7,"المدينة المنوره",2,11.11
10,7,"تبوك",1,5.56
11,8,"الرياض",10,55.56
12,8,"جيزان",5,27.78
13,8,"المدينة المنورة",2,11.11
14,8,"تبوك",1,5.56
15,9,"القطاع العام",18,100.0
16,10,"خدمة إلكترونية جزئيا",18,100.0
17,13,"الرياض",15,100.0
18,14,"الرياض",15,100.0
19,15,"القطاع العام",15,100.0
20,16,"خدمة إلكترونية جزئيا",15,100.0
21,19,"الرياض",2,100.0
22,20,"الرياض",2,100.0
23,21,"القطاع العام",2,100.0
24,22,"خدمة إلكترونية جزئيا",2,100.0
25,25,"تبوك",1351,79.28
26,25,"المدينة المنوره",228,13.38
27,25,"الرياض",101,5.93
28,25,"جازان",16,0.94
29,25,"القصيم",6,0.35
30,25,"نجران",2,0.12
31,26,"ضباء",1351,79.28
32,26,"العلا",228,13.38
33,26,"الدرعيه",101,5.93
34,26,"جيزان",16,0.94
35,26,"بريده",6,0.35
36,26,"نجران",2,0.12
37,27,"القطاع العام",1704,100.0
38,28,"خدمة إلكترونية جزئيا",1704,100.0
39,31,"تبوك",1960,87.34
40,31,"الرياض",155,6.91
41,31,"المدينة المنوره",99,4.41
42,31,"القصيم",17,0.76
43,31,"الباحة",8,0.36
44,31,"جازان",4,0.18
45,31,"حائل",1,0.04
46,32,"ضباء",1960,87.34
47,32,"الدرعيه",153,6.82
48,32,"العلا",99,4.41
49,32,"بريده",17,0.76
50,32,"الباحه",8,0.36
51,32,"جيزان",4,0.18
52,32,"الرياض",2,0.09
53,32,"الحائط",1,0.04
54,33,"القطاع العام",2244,100.0
55,34,"خدمة إلكترونية جزئيا",2244,100.0
56,37,"تبوك",3290,95.72
57,37,"جازان",36,1.05
58,37,"المدينة المنوره",34,0.99
59,37,"الرياض",32,0.93
60,37,"القصيم",13,0.38
61,37,"الباحة",12,0.35
62,37,"مكة المكرمه",11,0.32
63,37,"الشرقية",5,0.15
64,37,"نجران",2,0.06
65,37,"حائل",2,0.06
66,38,"ضباء",3290,95.72
67,38,"جيزان",36,1.05
68,38,"العلا",25,0.73
69,38,"الدرعيه",25,0.73
70,38,"بريده",13,0.38
71,38,"الباحه",12,0.35
72,38,"جده",11,0.32
73,38,"المدينة المنورة",9,0.26
74,38,"الرياض",7,0.2
75,38,"الدمام",5,0.15
76,38,"نجران",2,0.06
77,38,"الحائط",2,0.06
78,39,"القطاع العام",3437,100.0
79,40,"خدمة إلكترونية جزئيا",3437,100.0
80,43,"تبوك",960,88.15
81,43,"المدينة المنوره",57,5.23
82,43,"جازان",17,1.56
83,43,"القصيم",14,1.29
84,43,"الشرقية",13,1.19
85,43,"الرياض",11,1.01
86,43,"نجران",8,0.73
87,43,"الجوف",5,0.46
88,43,"مكة المكرمه",2,0.18
89,43,"الباحة",2,0.18
90,44,"ضباء",959,88.06
91,44,"العلا",51,4.68
92,44,"جيزان",17,1.56
93,44,"بريده",14,1.29
94,44,"الدمام",13,1.19
95,44,"نجران",8,0.73
96,44,"الدرعيه",6,0.55
97,44,"المدينة المنورة",6,0.55
98,44,"الرياض",5,0.46
99,44,"سكاكا",5,0.46
100,44,"جده",2,0.18
101,44,"الباحه",2,0.18
102,44,"البدع",1,0.09
103,45,"القطاع العام",1089,100.0
104,46,"خدمة إلكترونية جزئيا",1089,100.0
105,49,"الخدمات الرقمية",7884,98.01
106,49,"الرياض",114,1.42
107,49,"عسير",20,0.25
108,49,"القصيم",9,0.11
109,49,"الشرقية",8,0.1
110,49,"المدينة المنوره",4,0.05
111,49,"حائل",3,0.04
112,49,"مكة المكرمه",2,0.02
113,50,"عام",7868,97.81
114,50,"الرياض",114,1.42
115,50,"ابها",20,0.25
116,50,"كتابة عدل مدمجة - افتراضية",16,0.2
117,50,"بريده",9,0.11
118,50,"الجبيل",7,0.09
119,50,"المدينة المنورة",4,0.05
120,50,"حائل",3,0.04
121,50,"جده",2,0.02
122,50,"الدمام",1,0.01
123,51,"القطاع العام",8044,100.0
124,52,"خدمة إلكترونية",7804,97.02
125,52,"خدمة إلكترونية جزئيا",240,2.98
126,55,"الخدمات الرقمية",6697,97.52
127,55,"الرياض",112,1.63
128,55,"عسير",34,0.5
129,55,"الشرقية",14,0.2
130,55,"القصيم",3,0.04
131,55,"المدينة المنوره",3,0.04
132,55,"نجران",2,0.03
133,55,"مكة المكرمه",2,0.03
134,56,"عام",6667,97.09
135,56,"الرياض",112,1.63
136,56,"ابها",34,0.5
137,56,"كتابة عدل مدمجة - افتراضية",30,0.44
138,56,"الجبيل",11,0.16
139,56,"بريده",3,0.04
140,56,"المدينة المنورة",3,0.04
141,56,"نجران",2,0.03
142,56,"الدمام",2,0.03
143,56,"الطائف",1,0.01
144,56,"مكة المكرمة",1,0.01
145,56,"الاحساء",1,0.01
146,57,"القطاع العام",6867,100.0
147,58,"خدمة إلكترونية",6602,96.14
148,58,"خدمة إلكترونية جزئيا",265,3.86
149,61,"الخدمات الرقمية",6818,96.68
150,61,"الرياض",186,2.64
151,61,"عسير",24,0.34
152,61,"الشرقية",13,0.18
153,61,"المدينة المنوره",5,0.07
154,61,"حائل",4,0.06
155,61,"القصيم",2,0.03
156,62,"عام",6777,96.1
157,62,"الرياض",186,2.64
158,62,"كتابة عدل مدمجة - افتراضية",41,0.58
159,62,"ابها",24,0.34
160,62,"الجبيل",13,0.18
161,62,"المدينة المنورة",5,0.07
162,62,"حائل",4,0.06
163,62,"بريده",2,0.03
164,63,"القطاع العام",7052,100.0
165,64,"خدمة إلكترونية",6729,95.42
166,64,"خدمة إلكترونية جزئيا",323,4.58
167,67,"الخدمات الرقمية",5931,97.17
168,67,"الرياض",104,1.7
169,67,"عسير",36,0.59
170,67,"المدينة المنوره",16,0.26
171,67,"الشرقية",10,0.16
172,67,"مكة المكرمه",3,0.05
173,67,"نجران",2,0.03
174,67,"القصيم",1,0.02
175,67,"حائل",1,0.02
176,68,"عام",5882,96.36
177,68,"الرياض",104,1.7
178,68,"كتابة عدل مدمجة - افتراضية",49,0.8
179,68,"ابها",36,0.59
180,68,"المدينة المنورة",16,0.26
181,68,"الجبيل",10,0.16
182,68,"جده",3,0.05
183,68,"نجران",2,0.03
184,68,"بريده",1,0.02
185,68,"حائل",1,0.02
186,69,"القطاع العام",6104,100.0
187,70,"خدمة إلكترونية",5806,95.12
188,70,"خدمة إلكترونية جزئيا",298,4.88
189,73,"الخدمات الرقمية",27968,89.23
190,73,"الرياض",2067,6.59
191,73,"مكة المكرمه",899,2.87
192,73,"حائل",164,0.52
193,73,"جازان",89,0.28
194,73,"عسير",56,0.18
195,73,"الشرقية",41,0.13
196,73,"القصيم",25,0.08
197,73,"المدينة المنوره",14,0.04
198,73,"الباحة",10,0.03
199,73,"تبوك",9,0.03
200,74,"عام",27968,89.23
201,74,"الرياض",2050,6.54
202,74,"جده",870,2.78
203,74,"حائل",164,0.52
204,74,"جيزان",89,0.28
205,74,"ابها",56,0.18
206,74,"الدمام",41,0.13
207,74,"مكة المكرمة",27,0.09
208,74,"بريده",21,0.07
209,74,"المزاحميه",17,0.05
210,74,"المدينة المنورة",14,0.04
211,74,"الباحه",10,0.03
212,74,"تبوك",9,0.03
213,74,"عنيزه",4,0.01
214,74,"الطائف",2,0.01
215,75,"القطاع العام",29916,95.45
216,75,"القطاع الخاص",1426,4.55
217,76,"خدمة إلكترونية",27571,87.97
218,76,"خدمة إلكترونية جزئيا",3771,12.03
219,79,"الخدمات الرقمية",26325,92.99
220,79,"مكة المكرمه",896,3.16
221,79,"الرياض",835,2.95
222,79,"جازان",92,0.32
223,79,"عسير",45,0.16
224,79,"الشرقية",32,0.11
225,79,"المدينة المنوره",28,0.1
226,79,"الباحة",23,0.08
227,79,"القصيم",22,0.08
228,79,"حائل",13,0.05
229,80,"عام",26295,92.88
230,80,"جده",873,3.08
231,80,"الرياض",807,2.85
232,80,"جيزان",92,0.32
233,80,"ابها",45,0.16
234,80,"كتابة عدل مدمجة - افتراضية",30,0.11
235,80,"الدمام",30,0.11
236,80,"الباحه",23,0.08
237,80,"بريده",22,0.08
238,80,"مكة المكرمة",21,0.07
239,80,"المدينة المنورة",19,0.07
240,80,"الدرعيه",18,0.06
241,80,"حائل",13,0.05
242,80,"المزاحميه",10,0.04
243,80,"العلا",9,0.03
244,80,"الاحساء",2,0.01
245,80,"الطائف",2,0.01
