أدوات البناء,المحافظة,المنطقة,نوع المنزل,عدد المنازل
أخرى,الباحة (مقرالامارة),الباحة,أخرى,192
البلك/ الطوب,الباحة (مقرالامارة),الباحة,أخرى,197
الحجارة,الباحة (مقرالامارة),الباحة,أخرى,6
الخرسانة/مسلح,الباحة (مقرالامارة),الباحة,أخرى,907
الطين,الباحة (مقرالامارة),الباحة,أخرى,3
أخرى,الحجرة,الباحة,أخرى,47
البلك/ الطوب,الحجرة,الباحة,أخرى,18
الخرسانة/مسلح,الحجرة,الباحة,أخرى,48
أخرى,العقيق,الباحة,أخرى,201
البلك/ الطوب,العقيق,الباحة,أخرى,59
الحجارة,العقيق,الباحة,أخرى,2
الخرسانة/مسلح,العقيق,الباحة,أخرى,160
أخرى,القرى,الباحة,أخرى,123
البلك/ الطوب,القرى,الباحة,أخرى,38
الحجارة,القرى,الباحة,أخرى,2
الخرسانة/مسلح,القرى,الباحة,أخرى,207
الطين,القرى,الباحة,أخرى,1
أخرى,المخواة,الباحة,أخرى,103
البلك/ الطوب,المخواة,الباحة,أخرى,64
الحجارة,المخواة,الباحة,أخرى,1
الخرسانة/مسلح,المخواة,الباحة,أخرى,357
أخرى,المندق,الباحة,أخرى,66
البلك/ الطوب,المندق,الباحة,أخرى,74
الخرسانة/مسلح,المندق,الباحة,أخرى,338
أخرى,بلجرشي,الباحة,أخرى,205
البلك/ الطوب,بلجرشي,الباحة,أخرى,123
الحجارة,بلجرشي,الباحة,أخرى,7
الخرسانة/مسلح,بلجرشي,الباحة,أخرى,724
الطين,بلجرشي,الباحة,أخرى,1
أخرى,بني حسن,الباحة,أخرى,18
البلك/ الطوب,بني حسن,الباحة,أخرى,35
الحجارة,بني حسن,الباحة,أخرى,2
الخرسانة/مسلح,بني حسن,الباحة,أخرى,321
أخرى,فرعة غامد الزناد,الباحة,أخرى,19
البلك/ الطوب,فرعة غامد الزناد,الباحة,أخرى,12
الحجارة,فرعة غامد الزناد,الباحة,أخرى,1
الخرسانة/مسلح,فرعة غامد الزناد,الباحة,أخرى,57
أخرى,قلوة,الباحة,أخرى,85
البلك/ الطوب,قلوة,الباحة,أخرى,34
الخرسانة/مسلح,قلوة,الباحة,أخرى,190
أخرى,القريات,الجوف,أخرى,301
البلك/ الطوب,القريات,الجوف,أخرى,387
الخرسانة/مسلح,القريات,الجوف,أخرى,657
الطين,القريات,الجوف,أخرى,4
أخرى,دومة الجندل,الجوف,أخرى,121
البلك/ الطوب,دومة الجندل,الجوف,أخرى,60
الحجارة,دومة الجندل,الجوف,أخرى,2
الخرسانة/مسلح,دومة الجندل,الجوف,أخرى,300
