الجنسية,المحافظة,المنطقة,حجم السكن,الأسر
سعودي,الباحة (مقرالامارة),الباحة,1,1746
سعودي,الباحة (مقرالامارة),الباحة,2,1322
سعودي,الباحة (مقرالامارة),الباحة,3,1401
سعودي,الباحة (مقرالامارة),الباحة,4,1833
سعودي,الباحة (مقرالامارة),الباحة,5,1829
سعودي,الباحة (مقرالامارة),الباحة,6,1907
سعودي,الباحة (مقرالامارة),الباحة,7,1398
سعودي,الباحة (مقرالامارة),الباحة,8,684
سعودي,الباحة (مقرالامارة),الباحة,9,347
سعودي,الباحة (مقرالامارة),الباحة,10+,275
غير سعودي,الباحة (مقرالامارة),الباحة,1,3254
غير سعودي,الباحة (مقرالامارة),الباحة,2,3337
غير سعودي,الباحة (مقرالامارة),الباحة,3,1169
غير سعودي,الباحة (مقرالامارة),الباحة,4,496
غير سعودي,الباحة (مقرالامارة),الباحة,5,445
غير سعودي,الباحة (مقرالامارة),الباحة,6,386
غير سعودي,الباحة (مقرالامارة),الباحة,7,215
غير سعودي,الباحة (مقرالامارة),الباحة,8,101
غير سعودي,الباحة (مقرالامارة),الباحة,9,76
غير سعودي,الباحة (مقرالامارة),الباحة,10+,366
سعودي,الحجرة,الباحة,1,358
سعودي,الحجرة,الباحة,2,214
سعودي,الحجرة,الباحة,3,236
سعودي,الحجرة,الباحة,4,296
سعودي,الحجرة,الباحة,5,253
سعودي,الحجرة,الباحة,6,312
سعودي,الحجرة,الباحة,7,257
سعودي,الحجرة,الباحة,8,130
سعودي,الحجرة,الباحة,9,79
سعودي,الحجرة,الباحة,10+,128
غير سعودي,الحجرة,الباحة,1,342
غير سعودي,الحجرة,الباحة,2,76
غير سعودي,الحجرة,الباحة,3,44
غير سعودي,الحجرة,الباحة,4,24
غير سعودي,الحجرة,الباحة,5,27
غير سعودي,الحجرة,الباحة,6,15
غير سعودي,الحجرة,الباحة,7,7
غير سعودي,الحجرة,الباحة,8,5
غير سعودي,الحجرة,الباحة,9,4
غير سعودي,الحجرة,الباحة,10+,9
سعودي,العقيق,الباحة,1,876
سعودي,العقيق,الباحة,2,562
سعودي,العقيق,الباحة,3,599
سعودي,العقيق,الباحة,4,755
سعودي,العقيق,الباحة,5,774
سعودي,العقيق,الباحة,6,936
سعودي,العقيق,الباحة,7,659
سعودي,العقيق,الباحة,8,369
سعودي,العقيق,الباحة,9,247
سعودي,العقيق,الباحة,10+,416
غير سعودي,العقيق,الباحة,1,1530
غير سعودي,العقيق,الباحة,2,487
غير سعودي,العقيق,الباحة,3,138
غير سعودي,العقيق,الباحة,4,92
غير سعودي,العقيق,الباحة,5,52
غير سعودي,العقيق,الباحة,6,55
غير سعودي,العقيق,الباحة,7,32
غير سعودي,العقيق,الباحة,8,20
غير سعودي,العقيق,الباحة,9,12
غير سعودي,العقيق,الباحة,10+,41
سعودي,القرى,الباحة,1,384
سعودي,القرى,الباحة,2,397
سعودي,القرى,الباحة,3,407
سعودي,القرى,الباحة,4,471
سعودي,القرى,الباحة,5,484
سعودي,القرى,الباحة,6,528
سعودي,القرى,الباحة,7,403
سعودي,القرى,الباحة,8,184
سعودي,القرى,الباحة,9,102
سعودي,القرى,الباحة,10+,140
غير سعودي,القرى,الباحة,1,885
غير سعودي,القرى,الباحة,2,235
غير سعودي,القرى,الباحة,3,73
غير سعودي,القرى,الباحة,4,57
غير سعودي,القرى,الباحة,5,43
غير سعودي,القرى,الباحة,6,26
غير سعودي,القرى,الباحة,7,17
غير سعودي,القرى,الباحة,8,6
غير سعودي,القرى,الباحة,9,6
غير سعودي,القرى,الباحة,10+,10
سعودي,المخواة,الباحة,1,1036
سعودي,المخواة,الباحة,2,964
سعودي,المخواة,الباحة,3,1017
سعودي,المخواة,الباحة,4,1234
سعودي,المخواة,الباحة,5,1256
سعودي,المخواة,الباحة,6,1221
سعودي,المخواة,الباحة,7,863
سعودي,المخواة,الباحة,8,467
سعودي,المخواة,الباحة,9,220
سعودي,المخواة,الباحة,10+,237
غير سعودي,المخواة,الباحة,1,1645
غير سعودي,المخواة,الباحة,2,844
غير سعودي,المخواة,الباحة,3,320
غير سعودي,المخواة,الباحة,4,196
غير سعودي,المخواة,الباحة,5,145
غير سعودي,المخواة,الباحة,6,124
غير سعودي,المخواة,الباحة,7,63
غير سعودي,المخواة,الباحة,8,38
غير سعودي,المخواة,الباحة,9,29
غير سعودي,المخواة,الباحة,10+,78
سعودي,المندق,الباحة,1,431
سعودي,المندق,الباحة,2,379
سعودي,المندق,الباحة,3,374
سعودي,المندق,الباحة,4,483
سعودي,المندق,الباحة,5,504
سعودي,المندق,الباحة,6,569
سعودي,المندق,الباحة,7,355
سعودي,المندق,الباحة,8,178
سعودي,المندق,الباحة,9,106
سعودي,المندق,الباحة,10+,95
غير سعودي,المندق,الباحة,1,1029
غير سعودي,المندق,الباحة,2,239
غير سعودي,المندق,الباحة,3,91
غير سعودي,المندق,الباحة,4,60
غير سعودي,المندق,الباحة,5,64
غير سعودي,المندق,الباحة,6,49
غير سعودي,المندق,الباحة,7,32
غير سعودي,المندق,الباحة,8,12
غير سعودي,المندق,الباحة,9,15
غير سعودي,المندق,الباحة,10+,26
سعودي,بلجرشي,الباحة,1,1073
سعودي,بلجرشي,الباحة,2,1032
سعودي,بلجرشي,الباحة,3,977
سعودي,بلجرشي,الباحة,4,1185
سعودي,بلجرشي,الباحة,5,1169
سعودي,بلجرشي,الباحة,6,1252
سعودي,بلجرشي,الباحة,7,806
سعودي,بلجرشي,الباحة,8,389
سعودي,بلجرشي,الباحة,9,201
سعودي,بلجرشي,الباحة,10+,217
غير سعودي,بلجرشي,الباحة,1,2038
غير سعودي,بلجرشي,الباحة,2,1161
غير سعودي,بلجرشي,الباحة,3,480
غير سعودي,بلجرشي,الباحة,4,323
غير سعودي,بلجرشي,الباحة,5,273
غير سعودي,بلجرشي,الباحة,6,211
غير سعودي,بلجرشي,الباحة,7,103
غير سعودي,بلجرشي,الباحة,8,72
غير سعودي,بلجرشي,الباحة,9,38
غير سعودي,بلجرشي,الباحة,10+,120
سعودي,بني حسن,الباحة,1,292
سعودي,بني حسن,الباحة,2,303
سعودي,بني حسن,الباحة,3,301
سعودي,بني حسن,الباحة,4,382
سعودي,بني حسن,الباحة,5,460
سعودي,بني حسن,الباحة,6,487
سعودي,بني حسن,الباحة,7,305
