شبكة الكهرباء,السنة,المنطقة الإدارية,نوع المسكن,المساكن المتصلة بالكهرباء
مولد خاص,2017,مكة المكرمة,منزل شعبي,0.00
طاقة شمسية,2022,جازان,فيلا,0.00
مولد خاص,2022,عسير,*إسم_غير_معرف*,Infinity
شبكة عامة,2017,عسير,فيلا,90.89
طاقة شمسية,2022,مكة المكرمة,دور في فيلا,0.00
مولد خاص,2022,مكة المكرمة,دور في منزل شعبي,0.00
شبكة عامة,2017,جازان,دور في منزل شعبي,93.43
شبكة عامة,2017,الرياض,منزل شعبي,97.21
شبكة خاصة,2022,الرياض,فيلا,2.91
شبكة عامة,2017,الحدود الشمالية,فيلا,96.94
مولد خاص,2021,المنطقة الشرقية,منزل شعبي,0.00
شبكة خاصة,2022,حائل,دور في فيلا,0.00
شبكة خاصة,2022,نجران,منزل شعبي,0.00
شبكة عامة,2017,المنطقة الشرقية,دور في منزل شعبي,100.00
شبكة عامة,2022,الرياض,فيلا,99.86
مولد خاص,2017,الجوف,شقة,0.65
شبكة خاصة,2022,عسير,شقة,1.28
طاقة شمسية,2018,الرياض,شقة,0.00
شبكة عامة,2022,الحدود الشمالية,دور في منزل شعبي,100.00
شبكة خاصة,2017,المنطقة الشرقية,منزل شعبي,0.00
طاقة شمسية,2021,الحدود الشمالية,منزل شعبي,0.00
شبكة عامة,2017,المدينة المنورة,منزل شعبي,98.89
شبكة عامة,2017,المنطقة الشرقية,منزل شعبي,99.71
شبكة خاصة,2017,نجران,شقة,0.00
شبكة عامة,2022,حائل,دور في منزل شعبي,100.00
مولد خاص,2017,المنطقة الشرقية,شقة,0.29
مولد خاص,2022,الباحة,منزل شعبي,0.00
شبكة عامة,2017,مكة المكرمة,دور في فيلا,100.00
شبكة عامة,2021,القصيم,دور في منزل شعبي,100.00
طاقة شمسية,2017,الحدود الشمالية,منزل شعبي,0.00
طاقة شمسية,2022,جازان,فيلا,0.00
شبكة عامة,2022,القصيم,منزل شعبي,100.00
طاقة شمسية,2017,جازان,أخرى,0.00
طاقة شمسية,2022,المدينة المنورة,دور في منزل شعبي,0.00
شبكة خاصة,2017,الرياض,شقة,2.02
مولد خاص,2022,الجوف,دور في فيلا,0.00
شبكة خاصة,2017,القصيم,دور في منزل شعبي,0.13
طاقة شمسية,2017,المنطقة الشرقية,منزل شعبي,0.00
مولد خاص,2022,الحدود الشمالية,دور في فيلا,0.00
طاقة شمسية,2022,الباحة,دور في منزل شعبي,0.00
شبكة خاصة,2022,الرياض,شقة,3.13
شبكة عامة,2018,القصيم,شقة,100.00
طاقة شمسية,2021,الحدود الشمالية,دور في فيلا,0.00
شبكة خاصة,2017,الجوف,فيلا,0.00
مولد خاص,2018,المنطقة الشرقية,فيلا,0.09
طاقة شمسية,2022,تبوك,دور في فيلا,0.00
طاقة شمسية,2022,نجران,فيلا,0.00
مولد خاص,2022,المنطقة الشرقية,دور في فيلا,0.00
مولد خاص,2021,الباحة,فيلا,0.00
طاقة شمسية,2022,نجران,دور في فيلا,0.00
مولد خاص,2017,عسير,أخرى,0.00
مولد خاص,2021,الجوف,دور في منزل شعبي,0.00
شبكة خاصة,2021,الرياض,شقة,0.46
مولد خاص,2021,الرياض,منزل شعبي,0.00
شبكة خاصة,2018,الباحة,فيلا,0.00
شبكة خاصة,2022,المنطقة الشرقية,دور في منزل شعبي,3.05
شبكة خاصة,2017,عسير,أخرى,0.00
طاقة شمسية,2017,الجوف,دور في منزل شعبي,0.00
شبكة عامة,2018,عسير,منزل شعبي,100.00
طاقة شمسية,2021,جازان,شقة,0.00
مولد خاص,2021,نجران,شقة,0.00
مولد خاص,2021,الباحة,شقة,0.00
شبكة خاصة,2021,المدينة المنورة,دور في فيلا,0.00
طاقة شمسية,2022,المنطقة الشرقية,*إسم_غير_معرف*,Infinity
شبكة خاصة,2018,حائل,منزل شعبي,0.00
مولد خاص,2022,الباحة,شقة,0.00
مولد خاص,2017,جازان,أخرى,0.00
مولد خاص,2017,القصيم,دور في فيلا,0.00
شبكة عامة,2017,الجوف,منزل شعبي,100.00
شبكة عامة,2022,حائل,منزل شعبي,100.00
شبكة عامة,2017,المنطقة الشرقية,أخرى,100.00
طاقة شمسية,2022,عسير,شقة,0.10
شبكة عامة,2018,جازان,دور في منزل شعبي,87.18
شبكة خاصة,2022,المنطقة الشرقية,*إسم_غير_معرف*,Infinity
شبكة خاصة,2022,الرياض,*إسم_غير_معرف*,Infinity
شبكة عامة,2018,حائل,منزل شعبي,100.00
طاقة شمسية,2017,القصيم,منزل شعبي,0.00
مولد خاص,2018,المدينة المنورة,فيلا,0.00
شبكة خاصة,2018,مكة المكرمة,منزل شعبي,0.00
شبكة عامة,2018,نجران,منزل شعبي,99.98
شبكة عامة,2017,حائل,دور في منزل شعبي,100.00
مولد خاص,2018,مكة المكرمة,دور في فيلا,0.00
