Year,SWCC Water Production (Million M3),,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,66.601,62.558,65.927,66.875,71.761,68.955,72.040,71.482,70.134,71.542,67.976,71.651
2001,69.378,62.089,74.972,71.564,72.141,71.245,75.376,74.037,77.174,80.434,74.517,81.256
2002,78.396,76.896,85.272,82.012,88.251,84.167,88.793,91.724,87.269,88.944,85.021,84.774
2003,88.308,82.682,88.001,86.180,90.649,87.626,92.835,91.984,89.505,90.992,89.774,89.040
2004,90.120,85.472,84.218,86.267,89.852,90.634,95.030,94.571,93.106,92.923,92.274,90.935
2005,86.101,78.013,88.883,87.715,91.232,89.328,90.501,90.756,89.548,89.006,86.957,91.442
2006,91.240,77.118,87.951,85.185,91.535,90.891,93.297,91.473,90.365,95.473,87.623,87.840
2007,84.513,77.164,91.295,87.911,94.139,92.888,95.917,95.731,93.063,95.820,90.306,94.196
2008,88.812,80.123,89.868,87.062,92.219,93.295,95.801,94.619,92.455,96.427,92.329,93.692
2009,88.447,75.508,88.329,79.275,87.875,85.573,88.779,88.795,85.894,85.114,80.037,80.583
2010,78.896,69.536,79.285,78.219,81.464,78.749,77.239,69.092,64.587,65.770,68.760,72.158
2011,71.199,64.267,75.844,76.171,78.732,76.658,79.565,86.272,78.734,82.516,80.758,82.006
2012,77.519,76.618,84.403,80.467,86.259,84.403,87.293,87.937,83.259,83.297,82.958,82.541
2013,84.272,73.523,87.923,86.101,88.125,84.363,96.507,95.866,92.149,94.270,86.443,85.619
2014,87.027,79.103,90.217,89.037,97.906,98.264,102.949,98.866,98.499,103.237,94.683,100.177
2015,103.344,92.591,102.718,104.654,109.203,109.949,115.121,111.030,113.267,117.442,109.212,105.494
2016,109.950,103.710,113.198,113.036,119.649,114.860,121.026,113.021,115.123,117.369,116.540,119.581
2017,131.583,119.977,136.334,134.468,140.115,140.375,137.717,142.161,138.340,139.667,134.824,131.475
2018,149.539,129.707,140.583,142.429,153.509,149.749,152.831,160.774,154.364,155.226,149.598,164.790
2019,158.885,143.456,160.731,153.820,163.407,156.801,163.306,168.418,154.061,154.366,151.727,154.586
2020,157.345,147.337,156.734,158.417,158.224,156.092,158.547,163.888,152.623,159.319,158.976,156.349
2021,167.083,145.226,167.938,167.358,167.915,161.080,172.274,170.199,157.858,163.282,163.270,170.472
2022,166.657,151.265,166.580,166.078,166.139,163.128,168.865,168.139,162.969,171.277,171.748,180.356
2023,184.779,165.795,181.832,177.700,177.727,170.646,164.017,154.909,158.710,159.685,146.815,150.950
