السنة,التاريخ,رمز المنطقة الإدارية,المنطقة الإدارية,رمز البند,البند,الرقم القياسي,الأهمية النسبية,نسبة التغير السنوي,نسبة التغير الربعي
2016,2016 / Q1,2,مكة المكرمة,014,شقة سكني,91.253,2.57881,-0.079554166,-0.021069118
2020,2020 / Q3,7,تبوك,014,شقة سكني,79.143,2.57881,0.012278884,0.014042820
2023,2023 / Q1,6,عسير,014,شقة سكني,91.235,2.57881,0.002483271,0.010902926
2018,2018 / Q1,5,المنطقة الشرقية,02,تجاري,87.49,31.01851,-0.012160285,-0.005230244
2019,2019 / Q4,6,عسير,015,بيت سكني,89.643,0.20994,-0.029627625,-0.018686371
2018,2018 / Q2,6,عسير,014,شقة سكني,87.963,2.57881,-0.002947077,-0.005955475
2018,2018 / Q2,2,مكة المكرمة,024,مركز تجاري,105.98,0.07028,0.010873712,0
2023,2023 / Q4,6,عسير,015,بيت سكني,89.874,0.20994,-0.006005508,0
2020,2020 / Q2,99,المملكة,03,زراعي,93.353,3.60776,0.002609816,-0.000471107
2022,2022 / Q2,8,حائل,015,بيت سكني,91.065,0.20994,0.010945947,0
2015,2015 / Q4,3,المدينة المنوره,011,قطعة أرض سكني,101.28,62.15994,-0.020379738,-0.002855174
2016,2016 / Q2,5,المنطقة الشرقية,012,عمارة سكني,113.97,0.0265,0,0
2020,2020 / Q2,5,المنطقة الشرقية,023,معرض/ محل تجاري,77.16,0.07853,-0.078279359,-0.013803681
2021,2021 / Q4,12,الباحة,0,الرقم القياسي العام,77.126,100,-0.059794468,-0.035732146
2017,2017 / Q2,8,حائل,021,قطعة أرض تجاري,81.83,30.86673,-0.113981615,-0.014571291
2023,2023 / Q3,12,الباحة,011,قطعة أرض سكني,74.942,62.15994,0.032571854,-0.000213453
2017,2017 / Q3,10,جازان,014,شقة سكني,68.76,2.57881,-0.229752436,-0.026241627
2019,2019 / Q2,1,الرياض,011,قطعة أرض سكني,81.687,62.15994,-0.084503570,0.010015208
2021,2021 / Q4,99,المملكة,013,فيلا سكني,82.797,0.39854,-0.062544582,-0.013569863
2015,2015 / Q3,10,جازان,02,تجاري,89.96,31.01851,-0.108574373,0.034581901
2016,2016 / Q2,3,المدينة المنوره,012,عمارة سكني,100,0.0265,0,0
2019,2019 / Q1,8,حائل,011,قطعة أرض سكني,87.653,62.15994,0.022872347,0.016419866
2021,2021 / Q2,7,تبوك,01,سكني,80.023,65.37373,0.004897467,0.009957846
2022,2022 / Q2,2,مكة المكرمة,021,قطعة أرض تجاري,72.622,30.86673,-0.021068949,-0.008505700
2017,2017 / Q2,13,الجوف,014,شقة سكني,107.19,2.57881,0,0
2018,2018 / Q3,12,الباحة,015,بيت سكني,100,0.20994,0,0
2016,2016 / Q4,12,الباحة,015,بيت سكني,100,0.20994,0,0
2015,2015 / Q4,5,المنطقة الشرقية,021,قطعة أرض تجاري,94.493,30.86673,-0.047862318,0.007248462
2020,2020 / Q1,6,عسير,0,الرقم القياسي العام,85.18,100,0.000857744,0.000822465
2019,2019 / Q3,7,تبوك,031,أرض زراعية,100.503,3.60776,0.004056066,0.004829034
2019,2019 / Q1,13,الجوف,01,سكني,78.703,65.37373,-0.042659044,-0.002585322
2023,2023 / Q3,10,جازان,01,سكني,102.505,65.37373,-0.059811421,-0.008559822
2015,2015 / Q3,3,المدينة المنوره,011,قطعة أرض سكني,101.57,62.15994,0.012389486,-0.009749439
2019,2019 / Q4,1,الرياض,03,زراعي,129.21,3.60776,0,0
2015,2015 / Q4,7,تبوك,0,الرقم القياسي العام,97.05,100,-0.044219027,0.017967840
2023,2023 / Q2,3,المدينة المنوره,013,فيلا سكني,85.278,0.39854,-0.006639642,-0.013762317
2019,2019 / Q2,4,القصيم,0,الرقم القياسي العام,78.873,100,-0.020089452,0.011801983
2019,2019 / Q2,1,الرياض,0,الرقم القياسي العام,75.253,100,-0.052742218,0.017069874
2023,2023 / Q1,13,الجوف,02,تجاري,82.735,31.01851,-0.009849446,-0.002640017
