السنة,التاريخ,رمز المنطقة الإدارية,المنطقة الإدارية,رمز البند,البند,الرقم القياسي,نسبة التغير السنوي,نسبة التغير الربعي
2025,2025 / Q1,11,نجران,0,الرقم القياسي العام,102.06,0.055538318,-0.007005254
2025,2025 / Q1,99,المملكة,023,معرض/ محل تجاري,101.58,0.050900062,0.017835671
2025,2025 / Q1,99,المملكة,02,تجاري,107.2,0.024856597,-0.021362060
2025,2025 / Q1,1,الرياض,0,الرقم القياسي العام,114.89,0.106626854,0.013765111
2025,2025 / Q1,99,المملكة,015,دور سكني,98.94,0.027627752,0.002127013
2025,2025 / Q1,6,عسير,0,الرقم القياسي العام,87.52,-0.043706294,-0.011631846
2025,2025 / Q1,10,جازان,0,الرقم القياسي العام,101.71,-0.019568151,0.024166751
2025,2025 / Q1,99,المملكة,031,أرض زراعية,100.87,-0.011272300,-0.038325865
2025,2025 / Q1,7,تبوك,0,الرقم القياسي العام,100.48,0.011679420,-0.017022109
2025,2025 / Q1,99,المملكة,0,الرقم القياسي العام,104.93,0.043145442,0.007199079
2025,2025 / Q1,99,المملكة,03,زراعي,100.87,-0.011272300,-0.038325865
2025,2025 / Q1,99,المملكة,011,قطعة أرض سكني,105.56,0.053387885,0.032371638
2025,2025 / Q1,2,مكة المكرمة,0,الرقم القياسي العام,100.08,0.015216068,0.018833350
2025,2025 / Q1,99,المملكة,014,شقة سكني,101.58,0.012357983,0.001775148
2025,2025 / Q1,99,المملكة,021,قطعة أرض تجاري,107.36,0.023646072,-0.025506036
2025,2025 / Q1,99,المملكة,013,فيلا سكني,103.21,0.102553146,-0.013854386
2025,2025 / Q1,3,المدينة المنوره,0,الرقم القياسي العام,98.49,-0.014311449,0.004794940
2025,2025 / Q1,4,القصيم,0,الرقم القياسي العام,96.86,0.000619835,0.012967998
2025,2025 / Q1,13,الجوف,0,الرقم القياسي العام,96.98,0.081883088,0.037441164
2025,2025 / Q1,99,المملكة,022,عمارة,106.99,0.031129530,0.016242401
2025,2025 / Q1,9,الحدود الشمالية,0,الرقم القياسي العام,107.05,0.087022746,0.057179538
2025,2025 / Q1,5,المنطقة الشرقية,0,الرقم القياسي العام,91.45,-0.055170989,-0.025987858
2025,2025 / Q1,8,حائل,0,الرقم القياسي العام,103.65,0.041185334,0.006212989
2025,2025 / Q1,99,المملكة,01,سكني,104.26,0.051220004,0.018661456
2025,2025 / Q1,12,الباحة,0,الرقم القياسي العام,83.86,0.021312873,0.009267060
