السنة,التاريخ,رمز المنطقة الإدارية,المنطقة الإدارية,رمز البند,البند,الرقم القياسي,نسبة التغير الربعي,نسبة التغير السنوي
2025,2025 / Q3,4,القصيم,0,الرقم القياسي العام,92.66,-0.049446,-0.050712
2025,2025 / Q3,11,نجران,0,الرقم القياسي العام,101.39,0.007753,0.03692
2025,2025 / Q3,99,المملكة,021,قطعة أرض تجاري,114.45,-0.018102,0.072131
2025,2025 / Q3,99,المملكة,011,قطعة أرض سكني,100.44,-0.00849,-0.009272
2025,2025 / Q3,13,الجوف,0,الرقم القياسي العام,93.63,-0.034045,-0.045079
2025,2025 / Q3,6,عسير,0,الرقم القياسي العام,86.53,-0.02819,-0.063224
2025,2025 / Q3,99,المملكة,01,سكني,100.44,-0.011125,-0.008979
2025,2025 / Q3,99,المملكة,02,تجاري,113.89,-0.015559,0.067685
2025,2025 / Q3,99,المملكة,014,شقة سكني,99.25,-0.010666,-0.016645
2025,2025 / Q3,3,المدينة المنوره,0,الرقم القياسي العام,91.61,-0.046027,-0.080221
2025,2025 / Q3,99,المملكة,031,أرض زراعية,110.15,0.073273,0.15292
2025,2025 / Q3,99,المملكة,013,فيلا سكني,102.4,-0.02504,0.001761
2025,2025 / Q3,12,الباحة,0,الرقم القياسي العام,78.62,-0.019212,-0.013922
2025,2025 / Q3,99,المملكة,03,زراعي,110.15,0.073273,0.15292
2025,2025 / Q3,10,جازان,0,الرقم القياسي العام,100.71,0.015426,0.004689
2025,2025 / Q3,5,المنطقة الشرقية,0,الرقم القياسي العام,97.62,-0.005603,0.060511
2025,2025 / Q3,99,المملكة,023,معرض/ محل تجاري,100.83,-0.005327,0.010624
2025,2025 / Q3,8,حائل,0,الرقم القياسي العام,93.69,-0.087287,-0.073477
2025,2025 / Q3,2,مكة المكرمة,0,الرقم القياسي العام,100.43,-0.016067,0.019077
2025,2025 / Q3,99,المملكة,015,دور سكني,98.68,0.006425,0.002744
2025,2025 / Q3,9,الحدود الشمالية,0,الرقم القياسي العام,93.94,-0.053883,-0.076575
2025,2025 / Q3,99,المملكة,022,عمارة,111.34,0.010161,0.03303
2025,2025 / Q3,99,المملكة,0,الرقم القياسي العام,103.88,-0.010667,0.012871
2025,2025 / Q3,7,تبوك,0,الرقم القياسي العام,103.53,-0.008333,0.033853
2025,2025 / Q3,1,الرياض,0,الرقم القياسي العام,110.91,-0.003952,0.00965
