year;quarter;item_engl;region_engl;obsvalue_obsv
2022;Q3;General Index;All cities;102.67
2021;Q1;General Index;All cities;89.15
2021;Q2;Floor;The kingdom;90.17
2023;Q1;Villa;The kingdom;99.27
2022;Q1;General Index;All cities;96.27
2021;Q2;General Index;All cities;92.74
2025;Q4;General Index;All cities;78.93
2025;Q4;Gallery/ Shop;The kingdom;100.95
2022;Q3;Gallery/ Shop;The kingdom;97.3
2021;Q3;General Index;All cities;93.79
2022;Q4;General Index;The kingdom;97.22
2023;Q4;General Index;All cities;101.09
2025;Q2;Gallery/ Shop;The kingdom;101.37
2025;Q3;General Index;All cities;100.71
2021;Q1;Commercial Plot;The kingdom;82.84
2023;Q2;General Index;All cities;105.86
2024;Q2;Gallery/ Shop;The kingdom;97.42
2023;Q1;General Index;All cities;97.63
2025;Q3;General Index;All cities;91.61
2022;Q3;General Index;All cities;97.66
2023;Q4;General Index;All cities;98.28
2021;Q3;General Index;All cities;91.33
2025;Q2;General Index;All cities;89.04
2022;Q3;General Index;All cities;98.09
2021;Q3;General Index;All cities;98.28
2022;Q1;General Index;All cities;91.82
2023;Q3;Residential;The kingdom;99.77
2024;Q2;General Index;All cities;102.07
2021;Q3;General Index;All cities;92.99
2022;Q1;General Index;All cities;87.52
2021;Q3;General Index;The kingdom;86.2
2023;Q4;General Index;All cities;102.84
2023;Q3;Villa;The kingdom;100.67
2023;Q2;General Index;All cities;97.73
2023;Q4;Gallery/ Shop;The kingdom;101.5
2021;Q4;General Index;All cities;91.84
2021;Q1;General Index;All cities;86.67
2022;Q4;Apartment;The kingdom;99.59
2024;Q4;Agricultural;The kingdom;104.89
2024;Q4;General Index;All cities;98.23
2021;Q1;General Index;The kingdom;81.37
2022;Q4;General Index;All cities;95.65
2021;Q3;General Index;All cities;89.05
2023;Q4;Floor;The kingdom;99.39
2021;Q2;Residential;The kingdom;82.36
2025;Q4;Residential;The kingdom;100.05
2021;Q2;General Index;All cities;123.54
2021;Q1;General Index;All cities;89.34
2021;Q2;General Index;All cities;88.16
2022;Q1;Commercial;The kingdom;91.13
2023;Q2;Residential;The kingdom;100.71
2023;Q2;General Index;The kingdom;100.22
2022;Q4;General Index;All cities;101.78
2025;Q3;General Index;All cities;93.69
2025;Q4;General Index;All cities;100.65
2021;Q1;General Index;All cities;91.89
2022;Q4;General Index;All cities;98.35
2021;Q1;Residential;The kingdom;80.78
2024;Q3;Villa;The kingdom;102.22
2023;Q4;General Index;All cities;97.23
2022;Q2;Residential;The kingdom;95.65
2023;Q3;Gallery/ Shop;The kingdom;100.89
2023;Q3;General Index;All cities;99.66
2022;Q4;Agricultural Land;The kingdom;95.04
2023;Q3;General Index;All cities;99.92
2024;Q2;Commercial;The kingdom;103.57
2022;Q3;General Index;All cities;96.6
2024;Q2;Floor;The kingdom;96.63
2024;Q1;Building;The kingdom;103.76
2023;Q1;General Index;All cities;101.71
2025;Q1;General Index;All cities;96.98
2021;Q1;Building;The kingdom;80.1
2023;Q3;General Index;All cities;97.26
2021;Q3;General Index;All cities;94.51
2024;Q1;General Index;All cities;96.69
2021;Q4;Residential;The kingdom;89.51
2023;Q1;General Index;All cities;100.68
2025;Q2;Commercial;The kingdom;115.69
2025;Q2;General Index;All cities;102.07
2024;Q4;Building;The kingdom;105.28
2023;Q1;General Index;All cities;102.27
2023;Q3;Commercial;The kingdom;100.23
2023;Q1;Commercial Plot;The kingdom;96.28
2022;Q1;Building;The kingdom;86.19
2024;Q1;General Index;All cities;103.74
2023;Q3;Apartment;The kingdom;99.05
2024;Q1;General Index;All cities;82.11
2024;Q1;General Index;The kingdom;100.59
2024;Q3;Commercial;The kingdom;106.67
2024;Q1;Gallery/ Shop;The kingdom;96.66
2021;Q4;General Index;All cities;92.42
2024;Q1;Residential Plot;The kingdom;100.21
2023;Q3;Residential Plot;The kingdom;99.79
2024;Q3;General Index;All cities;101.12
2025;Q1;Apartment;The kingdom;101.58
2024;Q2;General Index;All cities;99.24
2025;Q1;Villa;The kingdom;103.21
2022;Q3;Residential Plot;The kingdom;99.88
2025;Q3;Apartment;The kingdom;99.25
2023;Q2;General Index;All cities;98.39
2025;Q3;General Index;All cities;97.62
2023;Q4;General Index;All cities;102.27
2022;Q2;General Index;All cities;99.01
2025;Q3;Commercial;The kingdom;113.89
2021;Q1;General Index;All cities;91.63
2022;Q4;General Index;All cities;98.4
2024;Q1;Agricultural Land;The kingdom;102.02
2022;Q1;General Index;The kingdom;91.29
2025;Q3;Agricultural;The kingdom;110.15
2025;Q1;General Index;All cities;98.49
2022;Q1;General Index;All cities;104.55
2024;Q2;Commercial Plot;The kingdom;103.4
2023;Q3;Agricultural;The kingdom;104.64
2024;Q2;General Index;All cities;98.22
2022;Q4;General Index;All cities;96.48
2021;Q2;Residential Plot;The kingdom;83.61
2021;Q1;Residential Plot;The kingdom;80.6
2022;Q2;Residential Plot;The kingdom;96.42
2021;Q2;Agricultural Land;The kingdom;87.19
2022;Q2;General Index;All cities;87.16
2022;Q2;General Index;All cities;97.69
2022;Q3;Agricultural Land;The kingdom;98.89
2023;Q2;General Index;All cities;99.64
2023;Q2;Commercial Plot;The kingdom;98.86
2021;Q2;General Index;All cities;74.86
2025;Q4;Building;The kingdom;111.24
2024;Q2;Agricultural Land;The kingdom;103.52
2021;Q4;Villa;The kingdom;84.14
2025;Q2;Agricultural;The kingdom;102.63
2022;Q4;General Index;All cities;102.12
2021;Q2;General Index;All cities;86.58
2024;Q3;General Index;All cities;92.37
2024;Q3;Building;The kingdom;107.78
2021;Q1;Gallery/ Shop;The kingdom;94.83
2021;Q3;Gallery/ Shop;The kingdom;94.76
2024;Q4;General Index;All cities;113.33
2022;Q3;Floor;The kingdom;100.21
2022;Q1;General Index;All cities;94.93
2025;Q1;General Index;All cities;114.89
2021;Q3;Residential;The kingdom;86.25
2023;Q2;General Index;All cities;100.65
2025;Q1;General Index;All cities;107.05
2022;Q1;Agricultural;The kingdom;91.43
