periodicity;year;quarter;city;measure;value
Quarterly;2021;Q2;Total;QoQ;0.8
Quarterly;2022;Q2;Total;Index;95.56
Quarterly;2022;Q2;Total;YoY;16.5
Quarterly;2023;Q1;Total;Index;99.22
Quarterly;2023;Q1;Total;QoQ;2.1
Quarterly;2023;Q2;Total;YoY;4.9
Quarterly;2024;Q2;Total;YoY;1.6
Quarterly;2024;Q3;Total;Index;102.56
Quarterly;2024;Q3;Total;QoQ;0.8
Quarterly;2024;Q4;Total;QoQ;1.6
Quarterly;2025;Q1;Total;YoY;4.3
Annually;2022;Annual average;Total;YoY;12.7
Annually;2023;Annual average;Total;YoY;4.9
Quarterly;2021;Q2;Riyadh;QoQ;0.6
Quarterly;2021;Q3;Riyadh;Index;79.61
Quarterly;2021;Q4;Riyadh;QoQ;5.9
Quarterly;2022;Q1;Riyadh;YoY;17.6
Quarterly;2022;Q4;Riyadh;QoQ;2.5
Quarterly;2023;Q1;Riyadh;QoQ;2.1
Quarterly;2023;Q3;Riyadh;YoY;6.8
Quarterly;2024;Q1;Riyadh;Index;103.82
Quarterly;2024;Q1;Riyadh;QoQ;1.0
Quarterly;2024;Q2;Riyadh;QoQ;3.6
Quarterly;2024;Q4;Riyadh;QoQ;3.2
Quarterly;2025;Q1;Riyadh;Index;114.89
Quarterly;2025;Q1;Riyadh;YoY;10.7
Quarterly;2025;Q3;Riyadh;YoY;1.0
Annually;2022;Annual average;Riyadh;Index;92.05
Annually;2023;Annual average;Riyadh;Index;100.0
Annually;2024;Annual average;Riyadh;YoY;8.6
Quarterly;2021;Q4;Makkah;Index;90.56
Quarterly;2022;Q2;Makkah;Index;96.61
Quarterly;2022;Q2;Makkah;QoQ;4.4
Quarterly;2023;Q1;Makkah;YoY;8.8
Quarterly;2023;Q3;Makkah;QoQ;-0.7
Quarterly;2023;Q4;Makkah;Index;98.76
Quarterly;2024;Q2;Makkah;YoY;-2.4
Quarterly;2024;Q3;Makkah;Index;98.55
Quarterly;2024;Q4;Makkah;QoQ;-0.3
Quarterly;2025;Q1;Makkah;YoY;1.5
Quarterly;2021;Q1;Madinah;Index;89.15
Quarterly;2021;Q3;Madinah;QoQ;5.1
Quarterly;2022;Q4;Madinah;Index;98.35
Quarterly;2022;Q4;Madinah;QoQ;0.7
Quarterly;2023;Q2;Madinah;Index;102.88
Quarterly;2023;Q2;Madinah;YoY;4.0
Quarterly;2024;Q1;Madinah;YoY;0.7
Quarterly;2024;Q4;Madinah;Index;98.02
Quarterly;2025;Q1;Madinah;Index;98.49
Quarterly;2025;Q1;Madinah;QoQ;0.5
Quarterly;2025;Q2;Madinah;QoQ;-2.5
Quarterly;2025;Q3;Madinah;Index;91.61
Quarterly;2025;Q3;Madinah;YoY;-8.0
Annually;2024;Annual average;Madinah;Index;99.19
Annually;2024;Annual average;Madinah;YoY;-0.8
Quarterly;2021;Q4;Al Qaseem;QoQ;1.4
Quarterly;2022;Q1;Al Qaseem;Index;95.7
