المنطقة,المدينة,نوع القطاع,نوع الخدمة,نوع الوكالة,التاريخ ميلادي,التاريخ هجري,عدد الوكالات الصادرة
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,المطالبات والمحاكم,2023/10/01,1445/03/16,"4,274"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,العقارات,2023/10/01,1445/03/16,"3,122"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,البنوك والمصارف,2023/10/01,1445/03/16,"2,020"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,السيارات,2023/10/01,1445/03/16,"1,905"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,الجوازات,2023/10/01,1445/03/16,"1,247"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,المرور,2023/10/01,1445/03/16,912
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,الوزارات الحكومية,2023/10/01,1445/03/16,806
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,العوائد السنوية,2023/10/01,1445/03/16,634
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,الجهات الأمنية,2023/10/01,1445/03/16,473
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,السجلات التجارية,2023/10/01,1445/03/16,450
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,الأمانات والبلديات,2023/10/01,1445/03/16,282
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,إدارة الأحوال المدنية,2023/10/01,1445/03/16,280
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,طلب الخدمات,2023/10/01,1445/03/16,218
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,وزارة الموارد البشرية والتنمية الاجتماعية,2023/10/01,1445/03/16,218
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,الشركات والمؤسسات الأهلية,2023/10/01,1445/03/16,211
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2023/10/01,1445/03/16,204
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,الرواتب والمستحقات,2023/10/01,1445/03/16,202
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,شركات الاتصالات,2023/10/01,1445/03/16,201
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,العقارات,2023/10/01,1445/03/16,146
منطقة مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2023/10/01,1445/03/16,138
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,الشركات,2023/10/01,1445/03/16,133
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,الجهات التعليمية,2023/10/01,1445/03/16,128
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,وكالة خارج المملكة العربية السعودية فقط,2023/10/01,1445/03/16,122
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,شركة الكهرباء,2023/10/01,1445/03/16,120
منطقة مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,العقارات,2023/10/01,1445/03/16,98
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,المؤسسات الحكومية,2023/10/01,1445/03/16,88
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,الهيئات الحكومية,2023/10/01,1445/03/16,88
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2023/10/01,1445/03/16,88
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,التعويضات والمساعدات,2023/10/01,1445/03/16,65
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,إثباتات المحاكم,2023/10/01,1445/03/16,59
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,النكاح,2023/10/01,1445/03/16,49
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,هيئة الزكاة والضريبة والجمارك,2023/10/01,1445/03/16,48
كتابة العدل الإفتراضية - الرياض,كتابة العدل الإفتراضية - الرياض,القطاع العام,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2023/10/01,1445/03/16,47
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,شركة المياه,2023/10/01,1445/03/16,45
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,المنح الزراعية,2023/10/01,1445/03/16,44
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,صندوق التنمية العقارية,2023/10/01,1445/03/16,44
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,وكالة خارج المملكة العربية السعودية فقط,2023/10/01,1445/03/16,43
منطقة الشرقية,الخبر,القطاع الخاص,خدمة إلكترونية جزئيا,المطالبات والمحاكم,2023/10/01,1445/03/16,43
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,البنوك والمصارف,2023/10/01,1445/03/16,38
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,مكتب الإستقدام,2023/10/01,1445/03/16,38
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,الجهات الأمنية,2023/10/01,1445/03/16,38
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,تصديق الوكالات الخارجية,2023/10/01,1445/03/16,38
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,المنح السكنية,2023/10/01,1445/03/16,37
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,شبكة إيجار الإلكترونية,2023/10/01,1445/03/16,35
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية,التنازل عن كامل الإرث,2023/10/01,1445/03/16,33
