المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,647,342"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,647,406"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,647,411"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,647,725"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,647,669"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,647,894"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,647,949"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,648,120"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,648,186"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,648,197"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,648,603"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,648,660"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,648,923"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,648,892"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,648,900"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,648,916"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,648,917"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,648,937"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,648,960"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,"38,648,973"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,"38,648,982"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,"38,649,000"
