المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,333,018"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,333,371"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"37,333,532"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"37,335,353"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"37,335,883"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"37,335,904"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"37,336,129"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"37,336,519"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,337,049"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,339,890"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,342,995"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,343,276"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,343,364"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,344,274"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,344,279"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,344,304"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,345,388"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"37,347,761"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,348,489"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,351,038"
منطقة مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"37,341,734"
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"37,339,354"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,"37,352,207"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,"37,354,261"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"37,354,330"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"37,355,274"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,"37,356,747"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,"37,357,605"
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/02,"37,360,251"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,"37,363,357"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,"37,363,366"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,"37,363,448"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,"37,363,535"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,"37,364,547"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,"37,364,792"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,"37,364,929"
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/02,"37,354,491"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,"37,367,364"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,"37,369,309"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,"37,370,172"
