المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,337,756"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,338,086"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,338,529"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,338,986"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,339,113"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,339,865"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,343,525"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,343,556"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,343,610"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,343,860"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,344,044"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,344,110"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,344,503"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,345,452"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,345,548"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,345,639"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,346,188"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,346,257"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,346,551"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,346,890"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,347,498"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,347,968"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,348,159"
