المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,331,897"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,332,024"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,332,581"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,332,722"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,333,055"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,333,119"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,333,162"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,333,378"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,333,692"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,333,831"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,333,955"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,333,969"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,334,116"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,334,350"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,334,419"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,334,511"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"37,334,534"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,334,539"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,334,601"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,335,051"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,335,055"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,335,057"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,335,183"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,335,187"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,335,266"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,335,433"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,335,483"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"37,333,357"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,335,848"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,336,262"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,336,314"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,336,883"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,337,099"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,337,179"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,337,231"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,337,280"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,337,476"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,337,571"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,337,833"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,337,922"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"37,340,343"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,338,105"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,338,427"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,338,641"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,338,903"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,338,935"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,339,254"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,339,640"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,339,673"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,339,802"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,339,987"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,340,048"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,340,306"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,341,684"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,340,458"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,340,502"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,340,522"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"37,333,784"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,340,645"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,340,730"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,341,109"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,341,396"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,341,443"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,341,719"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,341,797"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,341,826"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,341,828"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,341,986"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,342,138"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,342,161"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,342,348"
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"37,342,334"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,342,495"
منطقة عسير,ابها,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"37,342,551"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,343,184"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,343,452"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,343,477"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,344,266"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,344,892"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,345,207"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,345,370"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,345,386"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,345,783"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,345,819"
منطقة الجوف,سكاكا,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"37,346,056"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,348,255"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,349,142"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,349,267"
