المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/1/2025,"38,647,553"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/1/2025,"38,648,872"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/2/2025,"38,650,777"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"38,651,932"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"38,652,236"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"38,652,365"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"38,653,057"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"38,653,980"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/4/2025,"38,655,730"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/4/2025,"38,656,524"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/4/2025,"38,656,737"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/4/2025,"38,657,519"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/5/2025,"38,659,027"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/5/2025,"38,659,133"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/5/2025,"38,659,162"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/5/2025,"38,659,372"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/5/2025,"38,659,560"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/5/2025,"38,659,605"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/5/2025,"38,659,651"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/5/2025,"38,662,783"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/5/2025,"38,663,407"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/5/2025,"38,663,659"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/6/2025,"38,665,346"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/6/2025,"38,665,362"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/6/2025,"38,665,380"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/6/2025,"38,665,717"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/6/2025,"38,665,724"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/6/2025,"38,666,171"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/6/2025,"38,666,249"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/6/2025,"38,666,252"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/6/2025,"38,666,891"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/6/2025,"38,668,094"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/6/2025,"38,672,591"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/6/2025,"38,672,667"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/6/2025,"38,673,335"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/6/2025,"38,673,451"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/6/2025,"38,676,583"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/6/2025,"38,678,666"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/6/2025,"38,678,714"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/6/2025,"38,679,210"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/6/2025,"38,680,456"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/6/2025,"38,680,798"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/6/2025,"38,682,123"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/6/2025,"38,682,199"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/6/2025,"38,682,464"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/6/2025,"38,682,512"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/7/2025,"38,683,168"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/7/2025,"38,685,263"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/7/2025,"38,685,785"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/7/2025,"38,689,251"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/7/2025,"38,689,586"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/7/2025,"38,692,445"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/7/2025,"38,692,741"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/7/2025,"38,694,688"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/7/2025,"38,698,810"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/7/2025,"38,696,421"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/7/2025,"38,696,954"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/7/2025,"38,697,058"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/7/2025,"38,698,284"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/7/2025,"38,698,485"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/7/2025,"38,698,644"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/7/2025,"38,699,332"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/7/2025,"38,699,431"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/7/2025,"38,699,731"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/7/2025,"38,702,025"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/7/2025,"38,702,078"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/8/2025,"38,702,381"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/8/2025,"38,703,116"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/8/2025,"38,703,159"
