المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,619,660"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,615,592"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,611,043"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,611,046"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,621,534"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,606,487"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,606,260"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,604,256"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"41,625,374"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"41,631,144"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"41,638,365"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"41,625,252"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"41,634,042"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"41,627,986"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"41,626,741"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/03,"41,644,851"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/03,"41,643,747"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/03,"41,645,511"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/03,"41,644,957"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,"41,658,849"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,"41,656,046"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/05,"41,676,299"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/05,"41,681,252"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/05,"41,673,473"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/05,"41,671,628"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/05,"41,667,747"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/05,"41,671,851"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/06,"41,704,229"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/06,"41,703,838"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/06,"41,687,004"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/07,"41,713,946"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/07,"41,707,711"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/07,"41,728,180"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/07,"41,728,484"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/08,"41,733,401"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/08,"41,735,119"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/08,"41,730,830"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/08,"41,730,831"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/08,"41,730,832"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/08,"41,740,709"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/08,"41,739,718"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/08,"41,741,617"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/08,"41,734,186"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/08,"41,743,784"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/08,"41,740,747"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/09,"41,760,628"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/09,"41,766,900"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/09,"41,756,997"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/09,"41,756,910"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/09,"41,756,913"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/10,"41,768,742"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/10,"41,772,604"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/11,"41,780,786"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/11,"41,775,293"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/11,"41,776,399"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/11,"41,781,153"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/12,"41,804,127"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/12,"41,804,312"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/12,"41,795,300"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/12,"41,786,421"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/12,"41,806,089"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/13,"41,812,713"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/13,"41,825,627"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/13,"41,822,998"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/13,"41,817,275"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/13,"41,826,838"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/13,"41,825,929"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/10/13,"41,812,709"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/14,"41,843,244"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/14,"41,849,627"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/14,"41,850,396"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/14,"41,849,425"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/14,"41,842,631"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/14,"41,835,697"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/14,"41,843,245"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/14,"41,834,669"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/14,"41,843,242"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/14,"41,844,982"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/14,"41,842,802"
منطقة الرياض,شقراء,القطاع الخاص,خدمة إلكترونية جزئيا,2025/10/15,"41,869,437"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/15,"41,856,864"
منطقة الرياض,شقراء,القطاع الخاص,خدمة إلكترونية جزئيا,2025/10/15,"41,869,167"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/15,"41,865,720"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/15,"41,864,688"
منطقة الرياض,شقراء,القطاع الخاص,خدمة إلكترونية جزئيا,2025/10/15,"41,869,329"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/15,"41,857,622"
منطقة الرياض,شقراء,القطاع الخاص,خدمة إلكترونية جزئيا,2025/10/15,"41,868,908"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2025/10/15,"41,857,966"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/16,"41,874,478"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/16,"41,874,796"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/16,"41,886,098"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/16,"41,888,552"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/16,"41,880,408"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/16,"41,880,300"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/17,"41,892,544"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/18,"41,903,176"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/18,"41,902,089"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/19,"41,928,229"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/19,"41,910,654"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/19,"41,911,889"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/19,"41,927,960"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/19,"41,928,250"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/19,"41,921,381"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/20,"41,950,390"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/20,"41,931,243"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/20,"41,933,475"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/20,"41,948,745"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/20,"41,950,388"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/20,"41,945,693"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/20,"41,931,221"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/20,"41,935,439"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/22,"41,980,483"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/22,"41,982,544"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/22,"41,976,196"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/22,"41,982,546"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/23,"42,002,780"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/23,"42,010,524"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/23,"42,006,890"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/24,"42,015,606"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/25,"42,020,962"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/25,"42,022,895"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/25,"42,022,311"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/25,"42,019,981"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/26,"42,048,962"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/26,"42,029,414"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/26,"42,032,407"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/26,"42,038,063"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/27,"42,065,836"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/27,"42,052,214"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/27,"42,065,652"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/27,"42,069,994"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/27,"42,058,771"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/28,"42,089,428"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/28,"42,088,973"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/28,"42,074,823"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/28,"42,078,127"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/28,"42,076,378"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/28,"42,074,821"
