المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,987,528"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,987,893"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,987,343"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,987,270"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,987,384"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,987,304"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,987,414"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,987,476"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,987,698"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,987,618"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,987,619"
منطقة جازان,جيزان,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,987,621"
منطقة القصيم,بريده,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,987,736"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,987,635"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,987,725"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,987,801"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,987,960"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,988,109"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,988,289"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,988,066"
منطقة المدينة المنوره,المدينة المنورة,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,988,220"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,988,215"
منطقة نجران,نجران,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,988,264"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,988,426"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,988,705"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,988,583"
منطقة القصيم,بريده,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,988,831"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,988,665"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,988,694"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,988,746"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,988,781"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,989,034"
منطقة القصيم,بريده,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,989,049"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,988,857"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,989,348"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,989,158"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,989,632"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,989,657"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,988,887"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,988,927"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,989,139"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,988,950"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,989,237"
منطقة مكة المكرمه,مكة المكرمة,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,989,422"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,989,243"
منطقة المدينة المنوره,المدينة المنورة,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,989,249"
منطقة الحدود الشمالية,عرعر,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,989,477"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,989,490"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,989,523"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,989,825"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,989,658"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,989,945"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,989,809"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,990,228"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,990,707"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,989,847"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,989,848"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,989,998"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,990,254"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,990,330"
منطقة المدينة المنوره,المدينة المنورة,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,990,323"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,990,350"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,990,568"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,990,714"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,990,975"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,991,116"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,991,428"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,990,777"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,990,870"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,990,873"
منطقة مكة المكرمه,مكة المكرمة,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,991,046"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,991,258"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,991,283"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,991,142"
منطقة نجران,نجران,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,991,241"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,991,288"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,991,537"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,991,611"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,991,723"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,991,580"
منطقة عسير,ابها,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,991,874"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,991,747"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,991,961"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,992,147"
منطقة مكة المكرمه,مكة المكرمة,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,992,079"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,992,119"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,992,209"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,992,555"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,992,689"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,991,932"
