المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,667,771"
منطقة تبوك,تبوك,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,667,851"
منطقة مكة المكرمه,مكة المكرمة,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,667,954"
منطقة مكة المكرمه,مكة المكرمة,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,668,326"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,668,603"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,668,635"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,668,654"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,668,709"
منطقة عسير,ابها,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,668,728"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,668,677"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,668,708"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,668,733"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,668,809"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,668,881"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,668,906"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,668,913"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,668,919"
منطقة عسير,ابها,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,669,246"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,669,002"
منطقة نجران,نجران,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,669,006"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,669,028"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,669,093"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,669,166"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,669,564"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,669,368"
منطقة نجران,نجران,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,669,496"
منطقة المدينة المنوره,المدينة المنورة,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,669,441"
منطقة مكة المكرمه,مكة المكرمة,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,669,448"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,669,478"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,669,767"
منطقة مكة المكرمه,مكة المكرمة,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,669,975"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,670,222"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,670,100"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,670,115"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,670,155"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,670,157"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,670,480"
منطقة نجران,نجران,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,670,234"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,670,283"
منطقة مكة المكرمه,مكة المكرمة,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,670,600"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,670,395"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,670,445"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,670,797"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,670,608"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,670,623"
منطقة نجران,نجران,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,670,689"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,670,747"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,670,757"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,670,781"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,670,843"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,671,082"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,671,401"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,671,252"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,671,344"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,671,481"
منطقة جازان,جيزان,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,672,069"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,671,525"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,671,637"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,671,702"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,671,763"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,671,966"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,672,118"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,672,509"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,672,611"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,672,733"
منطقة مكة المكرمه,مكة المكرمة,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,673,761"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,672,973"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,672,803"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,673,024"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,672,856"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,673,286"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,673,079"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,673,094"
منطقة مكة المكرمه,مكة المكرمة,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,673,435"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,673,553"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,673,376"
منطقة حائل,حائل,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,673,377"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,673,407"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,673,735"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,673,609"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,673,671"
منطقة حائل,حائل,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,673,731"
منطقة حائل,حائل,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"38,674,190"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"38,684,879"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"38,685,339"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"38,685,588"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"38,684,789"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"38,684,934"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"38,685,034"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"38,685,240"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"38,685,127"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"38,685,159"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"38,685,175"
منطقة مكة المكرمه,مكة المكرمة,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"38,685,219"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"38,685,315"
منطقة المدينة المنوره,المدينة المنورة,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"38,685,577"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"38,685,474"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"38,685,540"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"38,685,636"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"38,685,830"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"38,686,232"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"38,686,308"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"38,686,606"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"38,686,679"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"38,686,738"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"38,686,839"
منطقة مكة المكرمه,مكة المكرمة,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"38,685,750"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"38,685,791"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"38,686,291"
