المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,998,250"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,997,888"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"40,003,880"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,993,323"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,999,582"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,986,967"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"40,003,436"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,986,191"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,012,355"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,025,619"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,026,083"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,007,439"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/03,"40,030,958"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/03,"40,043,175"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/04,"40,045,571"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/04,"40,047,239"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/05,"40,059,841"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/05,"40,051,837"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/05,"40,051,902"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/06,"40,070,657"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/06,"40,068,096"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/06,"40,070,152"
