السنة,الربع,الربع ,رقم الربع ,المنطقة,المدينة,الحي,نوع العقار,عدد الصكوك ,مجموع سعر العقار,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,الجـامـعة,شقة,1,950000,288.8,NULL,NULL,NULL
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,الحساء,شقة,14,7347700,2514.89,2863.143398,3052.22,2709.88
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,الدفـاع,شقة,10,7088250,1876.64,3751.895923,3970.98,3484.16
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,السكب,شقة,3,1586768.29,533.38,NULL,NULL,NULL
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,الأسكان,شقة,5,3521500,915,NULL,NULL,NULL
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,الـقـبلـتين,شقة,1,700000,159.31,NULL,NULL,NULL
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,الرانوناء,شقة,65,36578637.58,11679.65,2963.869516,3597.43,2458.73
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,العريض,شقة,16,9877500,2493.66,4159.687839,4217.77,4086.22
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,وادي مذينب,شقة,2,1046438,420.52,NULL,NULL,NULL
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,السـلام,شقة,1,550000,173.53,NULL,NULL,NULL
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,الشريبات,شقة,6,3069000,1015.02,2827.825806,2827.83,2827.83
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,الدويخلة,شقة,10,3799246,1381.5,2420.098214,2544.79,2328.56
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,الغـراء,شقة,5,3829999,1084.81,NULL,NULL,NULL
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,المبعوث,شقة,14,9618069,2688.09,3703.714044,4575.67,3402.11
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,شـظاة,شقة,20,14229154.8,3529.19,4226.595775,4458.8,4089.28
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,عين الخيف,شقة,24,17257690,4488.04,3743.752924,4056.24,3608.07
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,الشهباء,شقة,12,8420100,2427.96,3618.908477,3927.49,3259.27
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,الشهداء,شقة,1,484592,133.86,NULL,NULL,NULL
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,العزيزية,شقة,3,1962000,538.33,NULL,NULL,NULL
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,الجصـة,شقة,2,1072500,387.5,NULL,NULL,NULL
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,الخالدية,شقة,10,6101000,1677.72,3425.061747,4511.7,2449.69
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,طيبة,شقة,1,680000,141.04,NULL,NULL,NULL
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,جشم,شقة,34,20547659.38,5551.88,3846.976936,4175.02,3537
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,عروة,شقة,1,580000,306.24,NULL,NULL,NULL
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,ذو الحليفة,شقة,2,880000,348.12,NULL,NULL,NULL
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,مسجد الدرع,شقة,1,350000,167.45,NULL,NULL,NULL
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,نبلاء,شقة,2,1450000,345.31,NULL,NULL,NULL
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,الجماوات,شقة,39,25131000,5636.92,4375.538329,4915.42,3986.33
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,الرمـانة,شقة,32,19270558,6160.195,3618.94407,4757.37,2494.79
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,الملك فهد,شقة,11,7608123,2179.63,3630.044824,4182.98,3212.75
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,الجابرة,فيلا,1,1400000,361.8,NULL,NULL,NULL
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,الجماوات,فيلا,4,8085000,1720.27,NULL,NULL,NULL
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,الحساء,فيلا,2,1205080,572.72,NULL,NULL,NULL
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,الخضراء,فيلا,1,800000,309.22,NULL,NULL,NULL
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,المطـار,فيلا,9,4659416,3615.59,1281.786553,2205.88,795.01
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,الاناهي,فيلا,1,1414500,370.54,NULL,NULL,NULL
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,الجصـة,فيلا,14,11928883.43,6057.46,1803.049639,3009.26,600
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,الحديقة,فيلا,1,1000000,318.6,NULL,NULL,NULL
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,الخالدية,فيلا,1,1200000,249.55,NULL,NULL,NULL
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,الدفـاع,فيلا,26,27163923.71,9309.59,2992.456658,3275.75,2594.57
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,البلقاء,فيلا,3,710500,1124.19,NULL,NULL,NULL
2024,1,الربع الأول,20241,المدينة المنورة,المدينة المنورة,جشم,فيلا,3,3010000,942.74,NULL,NULL,NULL
