السنة,الربع,الربع ,المنطقة,المدينة,الحي,نوع العقار,تصنيف العقار,عدد الصكوك ,قيمة الصفقات,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2025,3,الثالث ,الشرقية,الاحساء,القدس,فيلا,سكني,1,1308319,875,NULL,NULL,NULL
2025,3,الثالث ,الشرقية,الاحساء,الحمراء الأول,أرض,سكني,5,4200000,1130,NULL,NULL,NULL
2025,3,الثالث ,الشرقية,الدمام,الطبيشي,أرض,سكني,1,500000,500,NULL,NULL,NULL
2025,3,الثالث ,الشرقية,القطيف,الرويحة في محافظة القطيف,أرض,سكني,2,665000,1485,NULL,NULL,NULL
2025,3,الثالث ,الشرقية,القطيف,عنك,أرض,سكني,1,500000,252.7,NULL,NULL,NULL
2025,3,الثالث ,الشرقية,الدمام,الصناعية الثانية,أرض,تجاري,3,20219457,30447.86,NULL,NULL,NULL
2025,3,الثالث ,الشرقية,حفر الباطن,النهضة,أرض,سكني,1,400000,875,NULL,NULL,NULL
2025,3,الثالث ,الشرقية,حفر الباطن,الواحة,أرض,تجاري,2,1500000,1000,NULL,NULL,NULL
2025,3,الثالث ,الشرقية,الدمام,الطبيشي,شقة,سكني,2,1090000,320.42,NULL,NULL,NULL
2025,3,الثالث ,الشرقية,الدمام,الإسكان الجنوبي,شقة,سكني,5,1930620,871.29,NULL,NULL,NULL
2025,3,الثالث ,الشرقية,الخبر,مدينة العمال,أرض,سكني,1,1000000,384.76,NULL,NULL,NULL
2025,3,الثالث ,الشرقية,الخبر,الامواج,شقة,سكني,2,1070000,348.2,NULL,NULL,NULL
2025,3,الثالث ,الشرقية,القطيف,الكوثر,أرض,سكني,3,3200000,773,NULL,NULL,NULL
2025,3,الثالث ,الشرقية,الاحساء,الرابية,دوبلكس,سكني,5,3999872.77,1824.64,NULL,NULL,NULL
2025,3,الثالث ,الشرقية,القطيف,حلة محيش,أرض,زراعي,1,1700000,2947.73,NULL,NULL,NULL
2025,3,الثالث ,الشرقية,الخبر,البحر,فيلا,سكني,3,8310000,1291.21,NULL,NULL,NULL
2025,3,الثالث ,الشرقية,الدمام,العنود,فيلا,سكني,3,4000000,1435,NULL,NULL,NULL
2025,3,الثالث ,الشرقية,الاحساء,الفردوس,أرض,سكني,1,1386700,300,NULL,NULL,NULL
