السنة,الربع,الربع ,المنطقة,المدينة,الحي,نوع العقار,تصنيف العقار,عدد الصكوك ,قيمة الصفقات,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2025,3,الثالث ,الباحة,بلجرشي,أخرى,أرض,تجاري,1,300000,578.31,NULL,NULL,NULL
2025,3,الثالث ,الباحة,قلوة,أخرى,أرض,زراعي,1,330000,52163.13,NULL,NULL,NULL
2025,3,الثالث ,الباحة,الباحة,الواحة,أرض,سكني,4,900000,2650,NULL,NULL,NULL
2025,3,الثالث ,الباحة,القرى,أخرى,أرض,سكني,1,1158259,1518,NULL,NULL,NULL
2025,3,الثالث ,الباحة,الباحة,أخرى,أرض,زراعي,4,7051080,9941.91,NULL,NULL,NULL
2025,3,الثالث ,الباحة,العقيق,أخرى,أرض,زراعي,2,1709410,8807.69,NULL,NULL,NULL
2025,3,الثالث ,الباحة,الباحة,أخرى,شقة,سكني,2,1294000,384.62,NULL,NULL,NULL
2025,3,الثالث ,الباحة,الباحة,السوق,أرض,سكني,1,1250000,949.3,NULL,NULL,NULL
2025,3,الثالث ,الباحة,المندق,أخرى,أرض,سكني,2,170000,2111.75,NULL,NULL,NULL
2025,3,الثالث ,الباحة,المخواة,أخرى,أرض,زراعي,1,68000,348.46,NULL,NULL,NULL
2025,3,الثالث ,الباحة,العقيق,أخرى,شقة,سكني,2,1065413,355.97,NULL,NULL,NULL
2025,3,الثالث ,الباحة,بلجرشي,أخرى,دوبلكس,سكني,1,1150000,349.12,NULL,NULL,NULL
2025,3,الثالث ,الباحة,بلجرشي,أخرى,دور,سكني,6,4498700,1624.86,2769.46937,2769.47,2769.47
2025,3,الثالث ,الباحة,الباحة,أخرى,أرض,سكني,15,4029000,9561.72,374.8094602,510.78,181.82
2025,3,الثالث ,الباحة,بلجرشي,أخرى,أرض,زراعي,1,100000,1871,NULL,NULL,NULL
2025,3,الثالث ,الباحة,بلجرشي,أخرى,شقة,سكني,6,2920000,1063.91,2925.960478,3565.16,2657.44
2025,3,الثالث ,الباحة,المخواة,أخرى,أرض,تجاري,2,1020000,3116.18,NULL,NULL,NULL
2025,3,الثالث ,الباحة,العقيق,أخرى,أرض,سكني,24,6785062.74,16937.38,324.0707499,461.11,195.91
2025,3,الثالث ,الباحة,الباحة,الشروق,أرض,سكني,7,2425000,4381,356.4905872,581.72,216.7
2025,3,الثالث ,الباحة,المخواة,أخرى,أرض,سكني,23,2227889,14106.1,87.61837949,230.15,14.42
2025,3,الثالث ,الباحة,بلجرشي,أخرى,أرض,سكني,21,5760000,16841.83,224.8061194,448,80
