السنة,الربع,الربع ,المنطقة,المدينة,الحي,نوع العقار,تصنيف العقار,عدد الصكوك ,قيمة الصفقات,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2025,2,الربع الثاني,حائل,حائل,إشبيليا,أرض,تجاري,2,7071270,2357.09,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,صبابة,أرض,سكني,3,1964808,1360,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,عقده,أرض,زراعي,1,100000,9457,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,لؤلؤة قفار,أرض,سكني,3,1764990,1250,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,بقعاء,أخرى,أرض,تجاري,3,180000,100598.75,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,درة الودي,أرض,سكني,1,140000,466.25,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,الخماشية ,أرض,سكني,4,1116000,1946.6,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,الزبارة,أرض,سكني,4,1405000,1620.28,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,الخزامى,أرض,تجاري,1,210000,795.5,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,الجامعيين,شقة,سكني,3,1050000,448.89,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,النصية,شقة,سكني,1,300000,192.28,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,الجامعيين,أرض,سكني,1,500000,481.75,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,المزعبر,أرض,سكني,2,340000,370.84,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,أركان,أرض,تجاري,2,1140000,1195.5,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,الوسيطا,أرض,سكني,4,710000,1500,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,النعام,أرض,سكني,1,233000,224.26,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,العزيزية,أرض,تجاري,1,1120000,355.31,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,المدائن,أرض,تجاري,1,700000,867.43,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,النصية,أرض,سكني,4,826150,2237.63,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,قفار,أرض,سكني,3,523000,1421.04,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,الملك عبدالله,أرض,تجاري,1,1070000,498,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,إشبيليا,أرض,سكني,2,1633317,750.5,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,التاسع في جبه,أرض,سكني,1,50000,1050,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,المزعبر,فيلا,سكني,1,730000,388.49,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,المزعبر,أخرى,أخرى,1,423000,159.91,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,أخرى,دوبلكس,سكني,2,1520000,789.63,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,صلاح الدين,أرض,سكني,1,400000,555.5,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,الغزالة,أخرى,أخرى,أخرى,1,2000,1840,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,سميراء,أخرى,أرض,زراعي,1,45000,100000,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,الشفاء,شقة,سكني,1,375000,297.96,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,الحائط,أخرى,فيلا,سكني,1,470283,882.07,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,الرصف,أرض,سكني,4,1867408,2125.5,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,أركان,شقة,سكني,2,794370,317.1,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,الشفاء,أرض,تجاري,2,3700000,1298.1,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,صديان,شقة,سكني,1,643974,203.47,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,أخرى,أخرى,أخرى,2,315000,29945.6,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,النفل,دوبلكس,سكني,1,839000,309.31,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,الياسمين,شقة,سكني,2,939500,436.08,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,الملك عبدالله,أرض,سكني,1,600000,500,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,الحائط,أخرى,أخرى,أخرى,3,926000,2211.29,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,النفل,شقة,سكني,2,1226000,421.09,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,النقرة,شقة,سكني,3,1015524.81,607.31,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,أخرى,شقة,سكني,3,850000,424.62,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,موقق,أخرى,أرض,تجاري,1,50000,970,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,مشار,أرض,سكني,1,300000,619,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,المطار,أرض,سكني,3,1363000,1101.54,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,العليا,أرض,سكني,1,2300000,668.4,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,الجبل,أرض,تجاري,1,500000,543.75,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,الوادي,دوبلكس,سكني,1,807000,428.6,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,الوادي,شقة,سكني,1,350000,184.5,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,بقعاء,أخرى,أخرى,أخرى,1,200000,1753.8,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,اللقيطة,أرض,سكني,4,1775000,2320,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,قرطبة,أرض,تجاري,1,1740000,977.67,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,المصيف,شقة,سكني,5,2737600,1081.85,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,السويفلة,أرض,تجاري,2,355000,1278.94,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,الجثامية,أرض,سكني,2,420500,999.39,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,الشروق,أرض,سكني,1,350000,750,NULL,NULL,NULL
2025,2,الربع الثاني,حائل,حائل,عقده,أرض,سكني,2,1702818,582,NULL,NULL,NULL
