المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,984,616"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,985,255"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,985,343"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,985,606"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,985,851"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,986,023"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,986,803"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,986,898"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,987,180"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,987,240"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,987,322"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,987,709"
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/07/01,"39,987,514"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,988,354"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,988,748"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,988,973"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,988,977"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,989,145"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,996,740"
منطقة مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/07/01,"39,989,429"
منطقة مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/07/01,"39,989,316"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,989,692"
منطقة الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,2025/07/01,"39,989,609"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,989,889"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,990,067"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,990,101"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,990,265"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,990,767"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,990,827"
منطقة الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,990,593"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,990,789"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,990,931"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,990,932"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,991,205"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,991,217"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,991,650"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,991,678"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,991,728"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,990,079"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,991,828"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,991,890"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,993,396"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,993,640"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,992,565"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,992,724"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,993,258"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,993,260"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,993,386"
منطقة الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/07/01,"39,993,140"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"39,993,766"
