المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/1/2025,"38,647,332"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/1/2025,"38,647,764"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/1/2025,"38,647,837"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/1/2025,"38,648,060"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,4/1/2025,"38,647,871"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/1/2025,"38,648,736"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/1/2025,"38,648,831"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/1/2025,"38,648,940"
منطقة مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,4/1/2025,"38,648,862"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/2/2025,"38,649,468"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/2/2025,"38,649,487"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/2/2025,"38,649,589"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/2/2025,"38,649,631"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/2/2025,"38,649,696"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/2/2025,"38,649,754"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/2/2025,"38,649,824"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/2/2025,"38,649,866"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/2/2025,"38,649,879"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/2/2025,"38,650,869"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/2/2025,"38,651,004"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/2/2025,"38,651,200"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/2/2025,"38,651,213"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/2/2025,"38,651,334"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"38,651,581"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"38,651,624"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"38,651,661"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"38,651,752"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"38,651,910"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"38,652,006"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"38,652,016"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"38,652,028"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"38,652,047"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"38,652,101"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"38,652,116"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"38,652,183"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"38,652,221"
