المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,605,184"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,602,585"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,603,168"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,603,448"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,603,487"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,604,331"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,604,554"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"41,604,713"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,605,023"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,605,115"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,605,185"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"41,605,199"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,605,420"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,605,536"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,605,537"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,605,760"
منطقة مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/10/01,"41,607,607"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,606,256"
منطقة الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"41,606,450"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,606,465"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,606,481"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,606,659"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,606,852"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,607,201"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,607,331"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,607,481"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,607,485"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,607,603"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,607,739"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,607,747"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,607,847"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,607,972"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,608,168"
منطقة مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"41,608,382"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,608,401"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,609,160"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,609,248"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,610,786"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,612,509"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,609,436"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,609,546"
