المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,647,633"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,653,022"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,655,294"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,652,363"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,"38,656,709"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,"38,664,174"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/05,"38,664,826"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"38,673,172"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"38,679,454"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"38,665,961"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"38,666,555"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"38,683,320"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"38,697,030"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"38,683,359"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"38,697,825"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"38,700,669"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"38,689,577"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"38,694,422"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"38,683,302"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"38,697,767"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/08,"38,717,445"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/08,"38,706,972"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/09,"38,736,972"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/09,"38,724,911"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/09,"38,740,874"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/10,"38,752,403"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/10,"38,741,453"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/10,"38,748,852"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/10,"38,751,410"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/10,"38,750,225"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/10,"38,754,914"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/10,"38,752,250"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/12,"38,768,159"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/12,"38,766,373"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/12,"38,768,841"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/13,"38,788,885"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/13,"38,788,292"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/13,"38,780,964"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/13,"38,775,645"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/13,"38,790,496"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/14,"38,814,385"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/14,"38,802,702"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/14,"38,806,816"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/14,"38,813,368"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/14,"38,800,694"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/14,"38,805,672"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/14,"38,817,361"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/14,"38,802,906"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/15,"38,840,779"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/15,"38,834,291"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/15,"38,830,929"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/15,"38,834,670"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/15,"38,830,444"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/15,"38,822,520"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/15,"38,824,117"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/15,"38,825,083"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/15,"38,830,203"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/15,"38,831,098"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/15,"38,834,167"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/16,"38,852,949"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/16,"38,852,586"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/16,"38,852,795"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/16,"38,843,650"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/16,"38,842,621"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/16,"38,858,102"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/17,"38,874,671"
