المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,647,823"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,647,336"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,647,567"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,647,571"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,647,637"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,647,638"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,647,646"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,647,660"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,647,683"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,647,690"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,647,693"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,647,957"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,648,090"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,648,144"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,648,476"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,648,638"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,648,762"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/01,"38,648,783"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,"38,648,968"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,"38,649,484"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,"38,649,614"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,"38,649,638"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,"38,649,663"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,"38,649,676"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,"38,650,009"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,"38,650,298"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,"38,650,756"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,"38,651,036"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,"38,651,300"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,"38,651,383"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/02,"38,651,455"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,651,592"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,651,613"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,652,152"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,652,184"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,653,190"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,653,235"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,653,353"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,653,374"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,653,759"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,654,033"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,654,101"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,654,200"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,654,234"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,654,525"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,654,534"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,654,613"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,654,634"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,654,640"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,654,673"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,654,731"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,654,733"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,654,935"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,655,083"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,655,234"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,655,134"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,655,232"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,655,237"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/03,"38,655,264"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,"38,655,650"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,"38,656,548"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,"38,656,699"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,"38,657,376"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/04,"38,657,607"
