المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,332,788"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,334,102"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,334,512"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,337,803"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,339,658"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,340,097"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,347,954"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"37,351,649"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,"37,353,291"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,"37,353,859"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,"37,354,019"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,"37,354,954"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,"37,355,288"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,"37,356,205"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,"37,356,439"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,"37,361,743"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/02,"37,365,882"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,"37,366,979"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,"37,367,055"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,"37,367,228"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,"37,367,518"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/03,"37,369,779"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,"37,372,270"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,"37,373,506"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,"37,373,936"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,"37,374,224"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,"37,374,832"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,"37,376,192"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,"37,376,686"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,"37,377,116"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,"37,377,857"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,"37,378,169"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,"37,378,254"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,"37,379,418"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,"37,380,263"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,"37,380,671"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/04,"37,381,399"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,"37,383,693"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,"37,384,306"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,"37,385,636"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,"37,385,728"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,"37,387,112"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,"37,387,929"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,"37,389,303"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,"37,389,407"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,"37,389,652"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,"37,389,974"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,"37,391,032"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,"37,392,037"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,"37,392,139"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,"37,392,244"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,"37,392,682"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,"37,393,982"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,"37,394,085"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,"37,394,288"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,"37,396,371"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,"37,397,895"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/05,"37,400,855"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/06,"37,402,597"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/06,"37,402,789"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/06,"37,403,265"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/06,"37,403,437"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/06,"37,403,611"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/06,"37,410,138"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/06,"37,417,580"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/06,"37,419,080"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/06,"37,419,521"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/06,"37,419,905"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/06,"37,420,842"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,"37,423,642"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,"37,424,044"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,"37,424,170"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,"37,426,487"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,"37,427,094"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,"37,428,050"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,"37,428,124"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,"37,429,247"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,"37,429,361"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,"37,429,492"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,"37,431,104"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,"37,431,625"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,"37,433,725"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,"37,433,950"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,"37,434,249"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/07,"37,438,076"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,"37,440,873"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,"37,443,420"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,"37,443,603"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,"37,444,078"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,"37,445,490"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,"37,446,182"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,"37,449,224"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,"37,450,241"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,"37,450,455"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,"37,452,590"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,"37,453,897"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,"37,454,490"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,"37,455,930"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/08,"37,458,402"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/09,"37,461,240"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/09,"37,461,462"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/09,"37,464,016"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/09,"37,468,669"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/09,"37,468,896"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/09,"37,469,282"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/09,"37,470,693"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/09,"37,472,073"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/09,"37,472,373"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/10,"37,472,958"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/10,"37,475,758"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/11,"37,477,682"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/11,"37,478,778"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/11,"37,480,185"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/11,"37,484,015"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/11,"37,484,781"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/11,"37,485,824"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/12,"37,490,064"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/12,"37,490,259"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/12,"37,490,495"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/12,"37,491,064"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/12,"37,492,050"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/12,"37,499,525"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/12,"37,500,268"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/12,"37,501,723"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/12,"37,505,137"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/12,"37,506,585"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/12,"37,507,245"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/12,"37,507,478"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/13,"37,508,271"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/13,"37,508,631"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/13,"37,510,094"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/13,"37,510,236"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/13,"37,515,266"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/13,"37,518,476"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/13,"37,521,297"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/13,"37,521,451"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/13,"37,524,075"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/13,"37,526,279"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/13,"37,526,486"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/13,"37,528,639"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/13,"37,529,743"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/14,"37,531,480"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/14,"37,534,182"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/14,"37,535,092"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/14,"37,535,403"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/14,"37,541,090"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/14,"37,542,477"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/14,"37,546,231"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/14,"37,546,235"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/14,"37,546,713"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/14,"37,547,237"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/14,"37,549,912"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/14,"37,550,012"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/14,"37,552,869"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/15,"37,553,481"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/15,"37,553,599"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/15,"37,554,457"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/15,"37,557,038"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/15,"37,557,788"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/15,"37,562,788"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/15,"37,562,834"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/15,"37,563,265"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/15,"37,567,128"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/15,"37,569,722"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/15,"37,572,077"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/16,"37,574,247"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/16,"37,578,092"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/16,"37,578,583"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/16,"37,579,062"
