المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"37,331,829"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"37,331,852"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"37,331,895"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"37,331,930"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"37,331,931"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"37,332,014"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"37,332,063"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"37,332,137"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"37,332,159"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"37,332,215"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"37,332,230"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"37,332,088"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"37,332,115"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"37,332,173"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"37,332,203"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"37,332,247"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"37,332,303"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"37,332,501"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"37,332,343"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"37,332,369"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"37,332,454"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"37,332,578"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"37,332,641"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"37,332,542"
