المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
 المدينة المنوره,المدينة المنورة,القطاع العام,خدمة إلكترونية جزئيا,2025/04/15,"28,857,458"
 المدينة المنوره,المدينة المنورة,القطاع العام,خدمة إلكترونية جزئيا,2025/04/15,"28,855,934"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/16,"28,886,654"
 تبوك,تبوك,القطاع العام,خدمة إلكترونية جزئيا,2025/04/27,"29,065,181"
 جازان,جيزان,القطاع العام,خدمة إلكترونية جزئيا,2025/05/01,"29,152,971"
 جازان,جيزان,القطاع العام,خدمة إلكترونية جزئيا,2025/05/01,"29,153,260"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/05/04,"29,209,464"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/05/04,"29,209,871"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/05/04,"29,210,224"
 جازان,جيزان,القطاع العام,خدمة إلكترونية جزئيا,2025/05/05,"29,224,475"
 جازان,جيزان,القطاع العام,خدمة إلكترونية جزئيا,2025/05/05,"29,224,956"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/05/11,"29,355,081"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/05/14,"29,423,178"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/05/15,"29,460,495"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/05/17,"29,507,403"
 جازان,جيزان,القطاع العام,خدمة إلكترونية جزئيا,2025/05/20,"29,574,283"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/05/21,"29,604,299"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/06/19,"30,153,018"
,,,,,
