المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,391,268"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,385,410"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,385,601"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,391,703"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,391,932"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,393,384"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,392,451"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,382,828"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,385,300"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,385,499"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,391,344"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,393,150"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,391,538"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,392,665"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,382,903"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,382,658"
 المدينة المنوره,العلا,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,391,495"
 تبوك,البدع,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,382,227"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,384,690"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,385,250"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,385,138"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,391,825"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,393,694"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,391,450"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,391,634"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,394,035"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,392,161"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,393,895"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,393,015"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,384,779"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,385,557"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,385,176"
 تبوك,ضباء,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,385,453"
 المدينة المنوره,العلا,القطاع العام,خدمة إلكترونية جزئيا,2025/10/01,"32,388,840"
