المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/01,"28,663,327"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,690,270"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,692,633"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,689,013"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,689,111"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,690,430"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,038"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,689,038"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,424"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,692,099"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,747"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,786"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,867"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,694,285"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,692,700"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,537"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,752"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,689,020"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,689,107"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,689,114"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,214"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,610"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,848"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,689,122"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,690,440"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,701"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,693,129"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,692,639"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,694,001"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,729"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,692,158"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,672"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,640"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,858"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,928"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,694,118"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,695,661"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,692,950"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,692,932"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,694,091"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,695,755"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,693,507"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,693,632"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,696,265"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,449"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,452"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,532"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,695,915"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,694,412"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,689,021"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,255"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,520"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,692,714"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,694,487"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,695,628"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,694,873"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,689,011"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,415"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,708"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,692,307"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,692,690"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,863"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,692,937"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,695,981"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,692,952"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,694,302"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,445"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,692,142"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,692,836"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,692,577"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,689,022"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,695,850"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,690,690"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,889"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,692,399"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,692,125"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,880"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,907"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,694,991"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,693,641"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,695,197"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,692,994"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,834"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,692,190"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,693,383"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,692,148"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,695,307"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,695,138"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,638"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,946"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,692,209"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,938"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,694,035"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,694,622"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,694,110"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,691,721"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,695,904"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/06,"28,692,343"
 الشرقية,الجبيل,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"28,692,519"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"28,692,607"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"28,705,569"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"28,713,839"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"28,714,215"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,704,310"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,703,230"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,704,660"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,705,127"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,703,739"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,705,500"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,705,584"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,705,410"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,708,119"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,705,163"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,704,636"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,704,973"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,703,490"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,703,600"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,703,660"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,704,012"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,704,075"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,708,620"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,706,261"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,708,650"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,708,813"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,704,531"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,704,937"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,705,370"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,708,607"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,705,930"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,707,017"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,708,245"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,703,313"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,704,859"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,705,509"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,708,446"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,710,728"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,703,624"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,705,696"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,706,685"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,704,566"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,708,695"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,710,772"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,069"
