المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/1/2025,"28,655,184"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/1/2025,"28,661,468"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/1/2025,"28,655,188"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/1/2025,"28,661,481"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/2/2025,"28,669,716"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/2/2025,"28,666,487"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/2/2025,"28,666,490"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/2/2025,"28,666,491"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/2/2025,"28,666,492"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/2/2025,"28,669,717"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"28,670,249"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"28,674,546"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"28,676,394"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"28,674,382"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"28,670,237"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"28,670,239"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"28,670,260"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"28,670,261"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"28,674,404"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"28,674,402"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"28,674,405"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"28,674,406"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"28,674,407"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"28,674,408"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"28,676,397"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"28,674,567"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"28,670,236"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"28,670,238"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/3/2025,"28,674,403"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/4/2025,"28,680,966"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/4/2025,"28,681,716"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/4/2025,"28,680,971"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/4/2025,"28,680,969"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/4/2025,"28,680,970"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/4/2025,"28,680,968"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/4/2025,"28,680,967"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/4/2025,"28,681,717"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/5/2025,"28,686,939"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/5/2025,"28,683,012"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/5/2025,"28,686,683"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/5/2025,"28,686,595"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/5/2025,"28,686,597"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/5/2025,"28,686,685"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/5/2025,"28,683,031"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/5/2025,"28,686,967"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,4/5/2025,"28,686,686"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,4/6/2025,"28,699,057"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,4/6/2025,"28,698,937"
