المنطقة,المدينة,نوع السند الرئيسي,تاريخ القرار ميلادي,تاريخ القرارهجري,الرقم المرجعي
منطقة الرياض,الرياض,مزاد,2025/01/01,1446/07/01,"14,101,503"
منطقة الرياض,الرياض,مزاد,2025/01/01,1446/07/01,"14,101,502"
منطقة الرياض,الرياض,مزاد,2025/01/01,1446/07/01,"14,095,060"
منطقة الرياض,الرياض,مزاد,2025/01/01,1446/07/01,"14,095,077"
منطقة الرياض,الرياض,مزاد,2025/01/01,1446/07/01,"14,095,136"
منطقة مكة المكرمه,مكة المكرمة,مزاد,2025/01/01,1446/07/01,"14,100,148"
منطقة مكة المكرمه,مكة المكرمة,مزاد,2025/01/01,1446/07/01,"14,095,707"
منطقة مكة المكرمه,جده,مزاد,2025/01/01,1446/07/01,"14,095,180"
منطقة مكة المكرمه,جده,مزاد,2025/01/01,1446/07/01,"14,099,011"
منطقة المدينة المنوره,المدينة المنورة,مزاد,2025/01/01,1446/07/01,"14,100,444"
منطقة المدينة المنوره,المدينة المنورة,مزاد,2025/01/01,1446/07/01,"14,099,651"
منطقة جازان,جيزان,مزاد,2025/01/01,1446/07/01,"14,100,611"
منطقة الرياض,الرياض,مزاد,2025/01/02,1446/07/02,"14,109,237"
منطقة الرياض,الرياض,مزاد,2025/01/02,1446/07/02,"14,108,161"
منطقة الرياض,الرياض,مزاد,2025/01/02,1446/07/02,"14,108,982"
منطقة الرياض,الرياض,مزاد,2025/01/02,1446/07/02,"14,108,199"
منطقة الرياض,الرياض,مزاد,2025/01/02,1446/07/02,"14,109,294"
منطقة الرياض,الرياض,مزاد,2025/01/02,1446/07/02,"14,108,188"
منطقة مكة المكرمه,مكة المكرمة,مزاد,2025/01/02,1446/07/02,"14,109,264"
منطقة مكة المكرمه,مكة المكرمة,مزاد,2025/01/02,1446/07/02,"14,106,168"
منطقة مكة المكرمه,جده,مزاد,2025/01/02,1446/07/02,"14,103,415"
منطقة مكة المكرمه,جده,مزاد,2025/01/02,1446/07/02,"14,106,237"
منطقة المدينة المنوره,المدينة المنورة,مزاد,2025/01/02,1446/07/02,"14,107,054"
منطقة المدينة المنوره,المدينة المنورة,مزاد,2025/01/02,1446/07/02,"14,106,669"
منطقة عسير,ابها,مزاد,2025/01/02,1446/07/02,"14,103,483"
منطقة عسير,ابها,مزاد,2025/01/02,1446/07/02,"14,103,585"
منطقة حائل,حائل,مزاد,2025/01/02,1446/07/02,"14,103,155"
منطقة حائل,حائل,مزاد,2025/01/02,1446/07/02,"14,102,938"
منطقة حائل,حائل,مزاد,2025/01/02,1446/07/02,"14,103,154"
منطقة حائل,حائل,مزاد,2025/01/02,1446/07/02,"14,107,488"
منطقة مكة المكرمه,جده,مزاد,2025/01/05,1446/07/05,"14,128,483"
منطقة مكة المكرمه,جده,مزاد,2025/01/05,1446/07/05,"14,127,304"
منطقة الشرقية,الدمام,مزاد,2025/01/05,1446/07/05,"14,125,320"
منطقة جازان,جيزان,مزاد,2025/01/05,1446/07/05,"14,127,555"
منطقة الجوف,سكاكا,مزاد,2025/01/05,1446/07/05,"14,126,180"
منطقة الرياض,الرياض,مزاد,2025/01/06,1446/07/06,"14,138,694"
منطقة الرياض,الرياض,مزاد,2025/01/06,1446/07/06,"14,138,668"
منطقة الرياض,الرياض,مزاد,2025/01/06,1446/07/06,"14,137,233"
منطقة الرياض,الرياض,مزاد,2025/01/06,1446/07/06,"14,138,307"
منطقة الرياض,الرياض,مزاد,2025/01/06,1446/07/06,"14,138,700"
منطقة الرياض,الرياض,مزاد,2025/01/06,1446/07/06,"14,137,891"
منطقة الرياض,الرياض,مزاد,2025/01/06,1446/07/06,"14,137,232"
منطقة مكة المكرمه,مكة المكرمة,مزاد,2025/01/06,1446/07/06,"14,139,673"
منطقة مكة المكرمه,مكة المكرمة,مزاد,2025/01/06,1446/07/06,"14,138,315"
منطقة مكة المكرمه,مكة المكرمة,مزاد,2025/01/06,1446/07/06,"14,139,989"
منطقة مكة المكرمه,جده,مزاد,2025/01/06,1446/07/06,"14,137,810"
منطقة مكة المكرمه,الطائف,مزاد,2025/01/06,1446/07/06,"14,138,506"
منطقة المدينة المنوره,المدينة المنورة,مزاد,2025/01/06,1446/07/06,"14,133,857"
منطقة المدينة المنوره,المدينة المنورة,مزاد,2025/01/06,1446/07/06,"14,130,709"
منطقة المدينة المنوره,المدينة المنورة,مزاد,2025/01/06,1446/07/06,"14,138,939"
منطقة المدينة المنوره,المدينة المنورة,مزاد,2025/01/06,1446/07/06,"14,138,981"
منطقة المدينة المنوره,المدينة المنورة,مزاد,2025/01/06,1446/07/06,"14,138,743"
منطقة القصيم,بريده,مزاد,2025/01/06,1446/07/06,"14,130,829"
منطقة الشرقية,الدمام,مزاد,2025/01/06,1446/07/06,"14,136,028"
منطقة الشرقية,الدمام,مزاد,2025/01/06,1446/07/06,"14,139,493"
منطقة الشرقية,الدمام,مزاد,2025/01/06,1446/07/06,"14,139,692"
منطقة الشرقية,الدمام,مزاد,2025/01/06,1446/07/06,"14,137,394"
منطقة حائل,حائل,مزاد,2025/01/06,1446/07/06,"14,137,884"
منطقة حائل,حائل,مزاد,2025/01/06,1446/07/06,"14,137,885"
منطقة حائل,حائل,مزاد,2025/01/06,1446/07/06,"14,137,886"
منطقة حائل,حائل,مزاد,2025/01/06,1446/07/06,"14,137,882"
منطقة حائل,حائل,مزاد,2025/01/06,1446/07/06,"14,137,883"
منطقة الرياض,الرياض,مزاد,2025/01/07,1446/07/07,"14,148,843"
منطقة الرياض,الرياض,مزاد,2025/01/07,1446/07/07,"14,148,400"
منطقة الرياض,الرياض,مزاد,2025/01/07,1446/07/07,"14,149,760"
منطقة الرياض,الرياض,مزاد,2025/01/07,1446/07/07,"14,149,758"
منطقة الرياض,الرياض,مزاد,2025/01/07,1446/07/07,"14,140,747"
منطقة الرياض,الرياض,مزاد,2025/01/07,1446/07/07,"14,148,844"
