المنطقة,المدينة,نوع السند الرئيسي,تاريخ القرار ميلادي,الرقم المرجعي
 الرياض,الرياض,مزاد,2025/10/01,"16,383,093"
 الرياض,الرياض,مزاد,2025/10/01,"16,384,189"
 الرياض,الرياض,مزاد,2025/10/01,"16,381,827"
 الرياض,الرياض,مزاد,2025/10/01,"16,383,654"
 الرياض,الرياض,مزاد,2025/10/01,"16,383,035"
 الرياض,الرياض,مزاد,2025/10/01,"16,383,036"
 الرياض,الرياض,مزاد,2025/10/01,"16,383,034"
 مكة المكرمه,مكة المكرمة,مزاد,2025/10/01,"16,381,646"
 مكة المكرمه,جده,مزاد,2025/10/01,"16,383,164"
 المدينة المنوره,المدينة المنورة,مزاد,2025/10/01,"16,383,191"
 الشرقية,الدمام,مزاد,2025/10/01,"16,378,214"
 الشرقية,الدمام,مزاد,2025/10/01,"16,378,213"
 الشرقية,الدمام,مزاد,2025/10/01,"16,378,379"
 الشرقية,الدمام,مزاد,2025/10/01,"16,384,146"
 حائل,حائل,مزاد,2025/10/01,"16,384,105"
 حائل,حائل,مزاد,2025/10/01,"16,381,966"
 مكة المكرمه,الطائف,مزاد,2025/10/02,"16,391,338"
 الشرقية,الدمام,مزاد,2025/10/02,"16,390,505"
 الشرقية,الاحساء,مزاد,2025/10/02,"16,390,939"
 الشرقية,حفر الباطن,مزاد,2025/10/02,"16,390,174"
 تبوك,تبوك,مزاد,2025/10/02,"16,390,839"
 حائل,حائل,مزاد,2025/10/02,"16,390,216"
 جازان,جيزان,مزاد,2025/10/02,"16,385,653"
 جازان,جيزان,مزاد,2025/10/02,"16,385,654"
 مكة المكرمه,جده,مزاد,2025/10/04,"16,404,497"
 مكة المكرمه,جده,مزاد,2025/10/04,"16,404,496"
 مكة المكرمه,جده,مزاد,2025/10/04,"16,404,495"
 مكة المكرمه,جده,مزاد,2025/10/04,"16,404,494"
 الرياض,الرياض,مزاد,2025/10/05,"16,416,236"
 الرياض,الرياض,مزاد,2025/10/05,"16,416,235"
 مكة المكرمه,مكة المكرمة,مزاد,2025/10/05,"16,414,314"
 مكة المكرمه,مكة المكرمة,مزاد,2025/10/05,"16,414,315"
 مكة المكرمه,مكة المكرمة,مزاد,2025/10/05,"16,412,067"
 مكة المكرمه,مكة المكرمة,مزاد,2025/10/05,"16,412,065"
 مكة المكرمه,مكة المكرمة,مزاد,2025/10/05,"16,412,064"
 مكة المكرمه,مكة المكرمة,مزاد,2025/10/05,"16,412,063"
 مكة المكرمه,مكة المكرمة,مزاد,2025/10/05,"16,412,061"
 مكة المكرمه,جده,مزاد,2025/10/05,"16,407,058"
 مكة المكرمه,جده,مزاد,2025/10/05,"16,407,057"
 مكة المكرمه,جده,مزاد,2025/10/05,"16,407,056"
 مكة المكرمه,جده,مزاد,2025/10/05,"16,407,055"
 مكة المكرمه,جده,مزاد,2025/10/05,"16,407,054"
 مكة المكرمه,جده,مزاد,2025/10/05,"16,407,053"
 مكة المكرمه,جده,مزاد,2025/10/05,"16,407,052"
 مكة المكرمه,جده,مزاد,2025/10/05,"16,407,051"
 مكة المكرمه,جده,مزاد,2025/10/05,"16,407,050"
 مكة المكرمه,جده,مزاد,2025/10/05,"16,407,049"
 مكة المكرمه,جده,مزاد,2025/10/05,"16,407,059"
 عسير,ابها,مزاد,2025/10/05,"16,414,601"
 عسير,ابها,مزاد,2025/10/05,"16,414,602"
 عسير,ابها,مزاد,2025/10/05,"16,414,603"
 عسير,ابها,مزاد,2025/10/05,"16,414,606"
 عسير,ابها,مزاد,2025/10/05,"16,414,605"
 عسير,ابها,مزاد,2025/10/05,"16,414,604"
 عسير,ابها,مزاد,2025/10/05,"16,414,600"
 عسير,ابها,مزاد,2025/10/05,"16,414,599"
 تبوك,تبوك,مزاد,2025/10/05,"16,405,478"
 حائل,حائل,مزاد,2025/10/05,"16,416,500"
 حائل,حائل,مزاد,2025/10/05,"16,412,936"
 حائل,حائل,مزاد,2025/10/05,"16,416,724"
 حائل,حائل,مزاد,2025/10/05,"16,416,499"
 حائل,حائل,مزاد,2025/10/05,"16,412,941"
 الباحة,الباحه,مزاد,2025/10/05,"16,407,811"
 الباحة,الباحه,مزاد,2025/10/05,"16,407,812"
 الباحة,الباحه,مزاد,2025/10/05,"16,407,810"
 الرياض,الرياض,مزاد,2025/10/06,"16,420,565"
 الرياض,الرياض,مزاد,2025/10/06,"16,424,654"
 الرياض,الرياض,مزاد,2025/10/06,"16,427,714"
 الرياض,الرياض,مزاد,2025/10/06,"16,427,715"
