المنطقة,المدينة,نوع السند الرئيسي,تاريخ القرار ميلادي,تاريخ القرارهجري,الرقم المرجعي
منطقة الرياض,الرياض,أوراق تجارية,2025/01/01,1446/07/01,"14,100,381"
منطقة القصيم,بريده,عقود,2025/01/02,1446/07/02,"14,108,209"
منطقة القصيم,بريده,عقود,2025/01/02,1446/07/02,"14,108,205"
منطقة الرياض,الرياض,عقود,2025/01/06,1446/07/06,"14,139,790"
منطقة الرياض,الرياض,احكام و قرارات,2025/01/06,1446/07/06,"14,136,927"
منطقة الشرقية,الدمام,احكام و قرارات,2025/01/07,1446/07/07,"14,151,057"
منطقة مكة المكرمه,مكة المكرمة,احكام و قرارات,2025/01/08,1446/07/08,"14,153,064"
منطقة مكة المكرمه,مكة المكرمة,احكام و قرارات,2025/01/08,1446/07/08,"14,153,071"
منطقة الرياض,الرياض,مزاد,2025/01/11,1446/07/11,"14,172,804"
منطقة الرياض,الرياض,أوراق تجارية,2025/01/11,1446/07/11,"14,172,834"
منطقة الرياض,الرياض,قسمة تركة,2025/01/11,1446/07/11,"14,172,809"
منطقة الرياض,الرياض,قسمة تركة,2025/01/11,1446/07/11,"14,172,814"
منطقة الرياض,الرياض,قسمة تركة,2025/01/11,1446/07/11,"14,172,799"
منطقة الرياض,الرياض,قسمة تركة,2025/01/11,1446/07/11,"14,172,840"
منطقة الرياض,الرياض,مزاد,2025/01/11,1446/07/11,"14,172,851"
منطقة الرياض,الرياض,مزاد,2025/01/11,1446/07/11,"14,173,039"
منطقة الرياض,الرياض,قسمة تركة,2025/01/11,1446/07/11,"14,172,835"
منطقة الرياض,الرياض,قسمة تركة,2025/01/11,1446/07/11,"14,172,826"
منطقة الرياض,الرياض,احكام و قرارات,2025/01/11,1446/07/11,"14,172,792"
منطقة الرياض,الرياض,مزاد,2025/01/11,1446/07/11,"14,172,828"
منطقة الرياض,الرياض,مزاد,2025/01/11,1446/07/11,"14,172,816"
منطقة الرياض,الرياض,قسمة تركة,2025/01/11,1446/07/11,"14,172,808"
