المنطقة,المدينة,نوع السند الرئيسي,تاريخ القرار ميلادي,الرقم المرجعي
 الرياض,الرياض,قسمة تركة,2025/04/08,"14,830,691"
 الرياض,الرياض,قسمة تركة,2025/04/08,"14,830,698"
 الرياض,الرياض,مزاد,2025/04/08,"14,830,826"
 الرياض,الرياض,أوراق تجارية,2025/04/08,"14,830,834"
 الرياض,الرياض,قسمة تركة,2025/04/08,"14,830,736"
 الرياض,الرياض,مزاد,2025/04/08,"14,830,833"
 الرياض,الرياض,مزاد,2025/04/08,"14,830,816"
 الرياض,الرياض,قسمة تركة,2025/04/08,"14,830,840"
 الرياض,الرياض,قسمة تركة,2025/04/08,"14,830,851"
 الرياض,الرياض,عقود,2025/04/08,"14,830,741"
 الرياض,الرياض,قسمة تركة,2025/04/08,"14,830,809"
 الرياض,الرياض,قسمة تركة,2025/04/08,"14,830,829"
 الرياض,الرياض,أوراق تجارية,2025/04/08,"14,830,696"
 الرياض,الرياض,قسمة تركة,2025/04/08,"14,830,821"
 الرياض,الرياض,احكام و قرارات,2025/04/08,"14,830,714"
 الرياض,الرياض,أوراق تجارية,2025/04/08,"14,830,872"
 الرياض,الرياض,مزاد,2025/04/08,"14,830,702"
 الرياض,الرياض,قسمة تركة,2025/04/08,"14,830,727"
 الرياض,الرياض,قسمة تركة,2025/04/08,"14,830,818"
 الرياض,الرياض,أوراق تجارية,2025/04/08,"14,830,718"
 الرياض,الرياض,مزاد,2025/04/08,"14,830,874"
 الرياض,الرياض,قسمة تركة,2025/04/08,"14,830,729"
 الرياض,الرياض,قسمة تركة,2025/04/08,"14,830,828"
 الرياض,الرياض,قسمة تركة,2025/04/08,"14,830,731"
 الرياض,الرياض,قسمة تركة,2025/04/08,"14,830,745"
 الرياض,الرياض,قسمة تركة,2025/04/08,"14,830,707"
 الرياض,الرياض,مزاد,2025/04/08,"14,830,841"
 الرياض,الرياض,مزاد,2025/04/08,"14,830,693"
 الرياض,الرياض,مزاد,2025/04/08,"14,830,722"
 الرياض,الرياض,قسمة تركة,2025/04/08,"14,830,683"
 الرياض,الرياض,قسمة تركة,2025/04/08,"14,830,717"
 الرياض,الرياض,قسمة تركة,2025/04/08,"14,830,720"
 الرياض,الرياض,قسمة تركة,2025/04/08,"14,830,848"
 الرياض,الرياض,مزاد,2025/04/08,"14,831,561"
 الرياض,الرياض,قسمة تركة,2025/04/08,"14,830,711"
 الرياض,الرياض,قسمة تركة,2025/04/08,"14,830,812"
 الرياض,الرياض,قسمة تركة,2025/04/08,"14,830,836"
 الرياض,الرياض,قسمة تركة,2025/04/08,"14,830,704"
 الرياض,الرياض,أوراق تجارية,2025/04/08,"14,830,858"
 الرياض,الرياض,قسمة تركة,2025/04/08,"14,830,825"
 الرياض,الرياض,مزاد,2025/04/08,"14,830,690"
 الرياض,الرياض,قسمة تركة,2025/04/08,"14,830,692"
 الرياض,الرياض,قسمة تركة,2025/04/08,"14,830,678"
 الرياض,الرياض,قسمة تركة,2025/04/08,"14,830,715"
