المنطقة,المدينة,نوع السند الرئيسي,تاريخ القرار ميلادي,الرقم المرجعي
 الرياض,الرياض,أوراق تجارية,2025/10/01,"16,382,770"
 الرياض,الرياض,أوراق تجارية,2025/10/01,"16,382,807"
 الرياض,الرياض,أوراق تجارية إلكترونية,2025/10/01,"16,377,629"
 الرياض,الرياض,أوراق تجارية,2025/10/01,"16,378,053"
 الرياض,الرياض,اخلاء,2025/10/01,"16,379,348"
 الرياض,الرياض,أوراق تجارية إلكترونية,2025/10/01,"16,377,628"
 الرياض,الرياض,احكام و قرارات,2025/10/01,"16,383,357"
 مكة المكرمه,مكة المكرمة,احكام و قرارات,2025/10/01,"16,382,927"
 مكة المكرمه,جده,احكام و قرارات,2025/10/01,"16,385,370"
 مكة المكرمه,جده,احكام و قرارات,2025/10/01,"16,384,404"
 مكة المكرمه,جده,أوراق تجارية إلكترونية,2025/10/01,"16,382,589"
 مكة المكرمه,جده,احكام و قرارات,2025/10/01,"16,383,366"
 مكة المكرمه,جده,احكام و قرارات,2025/10/01,"16,383,367"
 مكة المكرمه,جده,أوراق تجارية إلكترونية,2025/10/01,"16,384,077"
 مكة المكرمه,جده,احكام و قرارات,2025/10/01,"16,379,220"
 مكة المكرمه,جده,احكام و قرارات,2025/10/01,"16,381,345"
 مكة المكرمه,الطائف,عقود,2025/10/01,"16,382,056"
 مكة المكرمه,الطائف,عقود,2025/10/01,"16,382,241"
 مكة المكرمه,الطائف,عقود,2025/10/01,"16,382,483"
 مكة المكرمه,الطائف,عقود,2025/10/01,"16,382,627"
 المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/10/01,"16,382,986"
 الشرقية,الدمام,اخلاء,2025/10/01,"16,383,996"
 الشرقية,الدمام,أوراق تجارية,2025/10/01,"16,378,197"
 الشرقية,الدمام,أوراق تجارية,2025/10/01,"16,378,822"
 الشرقية,الدمام,أوراق تجارية,2025/10/01,"16,378,821"
 الشرقية,الدمام,احكام و قرارات,2025/10/01,"16,384,103"
 الشرقية,الاحساء,أوراق تجارية إلكترونية,2025/10/01,"16,382,746"
 الشرقية,الاحساء,أوراق تجارية إلكترونية,2025/10/01,"16,382,745"
 الشرقية,الاحساء,أوراق تجارية إلكترونية,2025/10/01,"16,382,744"
 الشرقية,حفر الباطن,أوراق تجارية,2025/10/01,"16,384,131"
 جازان,جيزان,أوراق تجارية,2025/10/01,"16,384,725"
 جازان,جيزان,أوراق تجارية إلكترونية,2025/10/01,"16,378,477"
 الحدود الشمالية,عرعر,أوراق تجارية,2025/10/01,"16,378,608"
 الباحة,الباحه,احكام و قرارات,2025/10/01,"16,382,810"
 الرياض,الرياض,احكام و قرارات,2025/10/02,"16,391,833"
 الرياض,الرياض,عقود,2025/10/02,"16,390,963"
 الرياض,الرياض,احكام و قرارات,2025/10/02,"16,390,109"
 الرياض,الرياض,عقود,2025/10/02,"16,391,201"
 الرياض,الرياض,احكام و قرارات,2025/10/02,"16,391,457"
 الرياض,الرياض,احكام و قرارات,2025/10/02,"16,390,230"
 الرياض,الرياض,احكام و قرارات,2025/10/02,"16,391,456"
 مكة المكرمه,مكة المكرمة,أوراق تجارية,2025/10/02,"16,386,033"
 مكة المكرمه,جده,احكام و قرارات,2025/10/02,"16,390,912"
 مكة المكرمه,جده,احكام و قرارات,2025/10/02,"16,387,546"
 مكة المكرمه,جده,احكام و قرارات,2025/10/02,"16,387,545"
 مكة المكرمه,جده,احكام و قرارات,2025/10/02,"16,387,544"
 مكة المكرمه,جده,احكام و قرارات,2025/10/02,"16,387,543"
 مكة المكرمه,جده,احكام و قرارات,2025/10/02,"16,387,542"
 مكة المكرمه,جده,احكام و قرارات,2025/10/02,"16,387,541"
 مكة المكرمه,جده,احكام و قرارات,2025/10/02,"16,387,540"
 مكة المكرمه,جده,احكام و قرارات,2025/10/02,"16,387,549"
 مكة المكرمه,جده,احكام و قرارات,2025/10/02,"16,387,548"
 مكة المكرمه,جده,احكام و قرارات,2025/10/02,"16,387,547"
 مكة المكرمه,جده,احكام و قرارات,2025/10/02,"16,391,032"
 مكة المكرمه,جده,أوراق تجارية إلكترونية,2025/10/02,"16,386,114"
 مكة المكرمه,جده,أوراق تجارية,2025/10/02,"16,389,233"
 مكة المكرمه,جده,عقود,2025/10/02,"16,385,981"
 مكة المكرمه,جده,احكام و قرارات,2025/10/02,"16,390,590"
 القصيم,بريده,احكام و قرارات,2025/10/02,"16,391,899"
