المنطقة,المدينة,نوع السند الرئيسي,تاريخ القرار ميلادي,الرقم المرجعي
 الرياض,الرياض,أوراق تجارية,2025/04/06,"14,812,785"
 الرياض,الرياض,أوراق تجارية,2025/04/06,"14,812,782"
 الرياض,الرياض,أوراق تجارية,2025/04/06,"14,812,784"
 الرياض,الرياض,احكام و قرارات,2025/04/06,"14,822,377"
 الرياض,الرياض,عقود,2025/04/06,"14,812,383"
 مكة المكرمه,مكة المكرمة,احكام و قرارات,2025/04/06,"14,811,215"
 مكة المكرمه,جده,احكام و قرارات,2025/04/06,"14,815,492"
 مكة المكرمه,جده,احكام و قرارات,2025/04/06,"14,815,489"
 مكة المكرمه,جده,احكام و قرارات,2025/04/06,"14,815,490"
 مكة المكرمه,جده,احكام و قرارات,2025/04/06,"14,815,486"
 مكة المكرمه,جده,احكام و قرارات,2025/04/06,"14,812,434"
 مكة المكرمه,جده,احكام و قرارات,2025/04/06,"14,815,485"
 مكة المكرمه,جده,احكام و قرارات,2025/04/06,"14,815,487"
 مكة المكرمه,جده,أوراق تجارية,2025/04/06,"14,811,251"
 مكة المكرمه,جده,احكام و قرارات,2025/04/06,"14,821,610"
 مكة المكرمه,جده,أوراق تجارية إلكترونية,2025/04/06,"14,809,823"
 مكة المكرمه,جده,أوراق تجارية إلكترونية,2025/04/06,"14,809,822"
 مكة المكرمه,الطائف,احكام و قرارات,2025/04/06,"14,813,032"
 الشرقية,الدمام,اخلاء,2025/04/06,"14,805,300"
 الشرقية,الدمام,احكام و قرارات,2025/04/06,"14,809,610"
 عسير,ابها,اخلاء,2025/04/06,"14,815,186"
 جازان,جيزان,اخلاء,2025/04/06,"14,814,356"
 جازان,جيزان,اخلاء,2025/04/06,"14,814,357"
 جازان,جيزان,اخلاء,2025/04/06,"14,814,354"
 جازان,جيزان,اخلاء,2025/04/06,"14,814,355"
 الرياض,الرياض,احكام و قرارات,2025/04/07,"14,827,086"
 الرياض,الرياض,عقود,2025/04/07,"14,827,313"
 الرياض,الرياض,أوراق تجارية إلكترونية,2025/04/07,"14,824,102"
 مكة المكرمه,مكة المكرمة,احكام و قرارات,2025/04/07,"14,826,143"
 مكة المكرمه,مكة المكرمة,احكام و قرارات,2025/04/07,"14,826,142"
 مكة المكرمه,مكة المكرمة,احكام و قرارات,2025/04/07,"14,825,350"
 مكة المكرمه,مكة المكرمة,احكام و قرارات,2025/04/07,"14,826,141"
 مكة المكرمه,مكة المكرمة,احكام و قرارات,2025/04/07,"14,822,941"
 مكة المكرمه,مكة المكرمة,أوراق تجارية,2025/04/07,"14,825,913"
 مكة المكرمه,مكة المكرمة,احكام و قرارات,2025/04/07,"14,826,140"
 مكة المكرمه,جده,احكام و قرارات,2025/04/07,"14,827,011"
 مكة المكرمه,جده,احكام و قرارات,2025/04/07,"14,826,001"
 مكة المكرمه,جده,احكام و قرارات,2025/04/07,"14,826,866"
 مكة المكرمه,جده,احكام و قرارات,2025/04/07,"14,826,003"
 مكة المكرمه,جده,احكام و قرارات,2025/04/07,"14,826,004"
 مكة المكرمه,جده,أوراق تجارية,2025/04/07,"14,826,724"
 مكة المكرمه,جده,احكام و قرارات,2025/04/07,"14,826,299"
 مكة المكرمه,جده,احكام و قرارات,2025/04/07,"14,826,298"
 مكة المكرمه,جده,أوراق تجارية,2025/04/07,"14,826,723"
 مكة المكرمه,جده,احكام و قرارات,2025/04/07,"14,826,002"
 مكة المكرمه,جده,احكام و قرارات,2025/04/07,"14,827,010"
 المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/04/07,"14,827,497"
 المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/04/07,"14,826,978"
 الشرقية,الدمام,اخلاء,2025/04/07,"14,827,333"
 الشرقية,الدمام,احكام و قرارات,2025/04/07,"14,823,971"
 الشرقية,الدمام,احكام و قرارات,2025/04/07,"14,823,972"
 الشرقية,الدمام,احكام و قرارات,2025/04/07,"14,823,973"
 الشرقية,الدمام,احكام و قرارات,2025/04/07,"14,823,968"
 الشرقية,الدمام,احكام و قرارات,2025/04/07,"14,823,969"
 الشرقية,الدمام,احكام و قرارات,2025/04/07,"14,823,970"
 تبوك,تبوك,عقود,2025/04/07,"14,826,135"
 الجوف,سكاكا,أوراق تجارية,2025/04/07,"14,823,824"
 الجوف,سكاكا,أوراق تجارية,2025/04/07,"14,826,740"
 الجوف,سكاكا,أوراق تجارية,2025/04/07,"14,823,825"
 الرياض,الرياض,أوراق تجارية,2025/04/08,"14,831,969"
 الرياض,الرياض,أوراق تجارية,2025/04/08,"14,831,830"
 الرياض,الرياض,أوراق تجارية,2025/04/08,"14,831,970"
 الرياض,الرياض,عقود,2025/04/08,"14,831,214"
 الرياض,الرياض,عقود,2025/04/08,"14,831,215"
 الرياض,الرياض,احكام و قرارات,2025/04/08,"14,832,812"
 الرياض,الرياض,أوراق تجارية,2025/04/08,"14,828,367"
 الرياض,الرياض,احكام و قرارات,2025/04/08,"14,832,811"
 مكة المكرمه,مكة المكرمة,احكام و قرارات,2025/04/08,"14,830,631"
 مكة المكرمه,مكة المكرمة,اخلاء,2025/04/08,"14,829,076"
 مكة المكرمه,جده,أوراق تجارية,2025/04/08,"14,829,465"
 مكة المكرمه,جده,أوراق تجارية,2025/04/08,"14,831,504"
 مكة المكرمه,جده,احكام و قرارات,2025/04/08,"14,830,612"
 مكة المكرمه,جده,احكام و قرارات,2025/04/08,"14,830,613"
 مكة المكرمه,جده,احكام و قرارات,2025/04/08,"14,830,614"
 مكة المكرمه,جده,احكام و قرارات,2025/04/08,"14,830,615"
 مكة المكرمه,جده,احكام و قرارات,2025/04/08,"14,830,616"
 مكة المكرمه,جده,أوراق تجارية,2025/04/08,"14,829,272"
 مكة المكرمه,جده,احكام و قرارات,2025/04/08,"14,831,426"
 المدينة المنوره,المدينة المنورة,عام,2025/04/08,"14,832,453"
 المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/04/08,"14,831,041"
 المدينة المنوره,المدينة المنورة,أوراق تجارية إلكترونية,2025/04/08,"14,831,034"
 القصيم,بريده,عام,2025/04/08,"14,831,142"
 القصيم,بريده,أوراق تجارية,2025/04/08,"14,832,032"
 القصيم,بريده,أوراق تجارية,2025/04/08,"14,828,753"
 الشرقية,الدمام,احكام و قرارات,2025/04/08,"14,831,471"
 الشرقية,الدمام,احكام و قرارات,2025/04/08,"14,831,472"
 الشرقية,الدمام,احكام و قرارات,2025/04/08,"14,830,961"
 الشرقية,حفر الباطن,احكام و قرارات,2025/04/08,"14,828,743"
 تبوك,تبوك,عقود,2025/04/08,"14,832,534"
 الحدود الشمالية,عرعر,عقود,2025/04/08,"14,831,364"
 الحدود الشمالية,عرعر,عقود,2025/04/08,"14,831,920"
 الرياض,الرياض,أوراق تجارية,2025/04/09,"14,837,120"
 الرياض,الرياض,عقود,2025/04/09,"14,837,464"
 مكة المكرمه,مكة المكرمة,احكام و قرارات,2025/04/09,"14,834,470"
 مكة المكرمه,جده,احكام و قرارات,2025/04/09,"14,836,990"
 مكة المكرمه,جده,احكام و قرارات,2025/04/09,"14,837,287"
 مكة المكرمه,جده,احكام و قرارات,2025/04/09,"14,834,202"
 مكة المكرمه,جده,احكام و قرارات,2025/04/09,"14,835,364"
