المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/02,"28,667,432"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/03,"28,670,209"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/03,"28,671,380"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/03,"28,670,102"
 القصيم,بريده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"28,693,183"
 القصيم,بريده,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"28,692,184"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"28,690,343"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"28,692,644"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"28,693,598"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"28,689,493"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"28,692,064"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,343"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,360"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,470"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,543"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,565"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,594"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,366"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,392"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,403"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,436"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,477"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,306"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,356"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,396"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,489"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,552"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,439"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,562"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,597"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,602"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,650"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,678"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,699"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,713"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,317"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,333"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,358"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,384"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,413"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,442"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,319"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,373"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,387"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,511"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,535"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,573"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,577"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,591"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,625"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,642"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,368"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,375"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,523"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,381"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,519"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,631"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,648"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,778"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,803"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,830"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,966"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,351"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,398"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,401"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,409"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,424"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,520"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,554"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,609"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,731"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,751"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,773"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,797"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,953"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,712,067"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,639"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,742"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,747"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/04/07,"28,711,787"
