المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/05,"32,450,028"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/10/05,"32,454,897"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/08,"32,531,446"
 المدينة المنوره,العلا,القطاع العام,خدمة إلكترونية جزئيا,2025/10/09,"32,545,414"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/12,"32,583,675"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/12,"32,584,112"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/20,"32,745,034"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2025/10/26,"32,870,248"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/10/29,"32,954,838"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/11/02,"33,019,045"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/11/03,"33,037,409"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/11/04,"33,061,530"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/11/04,"33,065,928"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/11/05,"33,084,183"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/11/10,"33,174,908"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/11/10,"33,174,564"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/11/19,"33,366,691"
الخدمات الرقمية,كتابة عدل مدمجة - افتراضية,القطاع العام,خدمة إلكترونية جزئيا,2025/11/23,"33,419,970"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/11/25,"33,466,641"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/11/30,"33,564,148"
 المدينة المنوره,العلا,القطاع العام,خدمة إلكترونية جزئيا,2025/11/30,"33,557,828"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/12/02,"33,605,652"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/12/02,"33,598,867"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/12/04,"33,648,988"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/12/18,"33,923,343"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/12/21,"33,966,007"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/12/29,"34,146,839"
