المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
 القصيم,البكيريه,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,050,055"
 القصيم,البكيريه,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,050,138"
 الحدود الشمالية,عرعر,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,042,927"
 القصيم,بريده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,042,796"
 القصيم,بريده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,042,335"
 القصيم,بريده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,042,491"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,040,014"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,042,185"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,045,925"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,050,764"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,050,862"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,050,922"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,048,512"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,049,742"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,048,255"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,039,145"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,038,655"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,037,907"
 الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,037,902"
 الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,038,312"
 حائل,حائل,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,104"
 عسير,ابها,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,042,478"
 حائل,حائل,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,045,346"
 عسير,ابها,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,498"
 الحدود الشمالية,عرعر,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,043,033"
 القصيم,بريده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,042,854"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,040,837"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,048,147"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,610"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,048,101"
 القصيم,البكيريه,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,050,170"
 تبوك,تبوك,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,042,748"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,042,424"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,043,996"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,041,140"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,039,751"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,048,655"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,046,820"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,041,596"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,045,907"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,039,288"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,043,306"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,049,826"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,051,123"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,635"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,767"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,257"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,258"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,043,741"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,084"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,601"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,591"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,044,153"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,049,318"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,046,179"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,683"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,049,509"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,040,789"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,046,974"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,049,270"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,045,652"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,048,189"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,913"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,041,464"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,043,915"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,046,264"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,048,835"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,049,593"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,043,377"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,048,364"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,746"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,633"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,888"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,246"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,043,091"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,043,478"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,049,218"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,046,569"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,041,545"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,043,662"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,860"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,041,544"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,040,697"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,049,095"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,049,012"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,041,054"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,041,149"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,046,761"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,041,289"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,048,028"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,040,685"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,043,275"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,048,246"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,049,013"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,041,758"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,849"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,931"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,043,654"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,049,018"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,922"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,049,269"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,037,846"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,048,831"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,040,131"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,046,072"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,048,650"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,043,235"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,042,701"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,799"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,802"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,048,434"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,939"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,363"
 حائل,حائل,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,042,524"
 حائل,حائل,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,048,776"
 حائل,حائل,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,042,161"
 الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,041,326"
 حائل,حائل,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,051,876"
 حائل,حائل,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,048,191"
 حائل,حائل,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,049,418"
 المدينة المنوره,المدينة المنورة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,044,829"
 المدينة المنوره,المدينة المنورة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,048,981"
 حائل,حائل,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,956"
 الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,045,245"
 الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,039,044"
 الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,041,787"
 الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,042,428"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,048,476"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,050,074"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,049,966"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,042,251"
 الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,048,497"
 الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,038,354"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,045,540"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,046,905"
 المدينة المنوره,المدينة المنورة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,049,550"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,043,349"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,043,661"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,043,343"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,043,758"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,042,504"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,044,009"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,044,159"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,048,169"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,046,833"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,042,585"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,046,315"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,043,321"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,043,209"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,042,930"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,043,407"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,043,628"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,048,900"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,043,472"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,040,106"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,043,270"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,042,695"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,042,439"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,049,207"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,044,593"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,048,415"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,044,539"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,048,923"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,040,215"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,051,957"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,042,358"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,044,102"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,048,882"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,043,188"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,043,819"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,046,760"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,046,806"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,043,430"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,048,373"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,042,003"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,043,069"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,048,383"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,044,029"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,043,645"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,042,162"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,048,200"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,048,651"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,043,773"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,043,260"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,043,114"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,043,095"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,044,310"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,042,311"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,045,468"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,040,782"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,042,518"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,041,196"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,049,304"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,048,015"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,046,960"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,039,203"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,038,352"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,039,916"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,039,202"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,039,331"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,037,272"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,037,908"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,037,915"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,039,059"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,039,181"
 المدينة المنوره,المدينة المنورة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/02,"27,063,101"
 المدينة المنوره,المدينة المنورة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/02,"27,062,445"
 الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/02,"27,059,790"
 القصيم,الرس,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/02,"27,056,783"
 القصيم,الرس,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/02,"27,057,100"
 الحدود الشمالية,عرعر,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/02,"27,069,059"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/02,"27,062,949"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/02,"27,062,762"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/02,"27,063,076"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/02,"27,062,787"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/02,"27,058,079"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/02,"27,062,147"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/02,"27,062,811"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/02,"27,063,102"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/02,"27,062,664"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/02,"27,060,903"
