المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
 القصيم,الرس,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,037,781"
 الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,713"
 الشرقية,الدمام,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,519"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,040,724"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,041,809"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,042,179"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,040,566"
 مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,041,745"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,046,714"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,046,508"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,048,826"
 حائل,حائل,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,050,196"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,048,974"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,048,898"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,049,027"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,049,100"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,048,764"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,049,165"
 عسير,ابها,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,042,096"
 تبوك,تبوك,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,041,821"
 المدينة المنوره,المدينة المنورة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,048,815"
 حائل,حائل,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,052,135"
 مكة المكرمه,مكة المكرمة,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,749"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,049,015"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,160"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,049,249"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,041,080"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,109"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,203"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,045,460"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,048,956"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,042,472"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,039,813"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,049,219"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,047,521"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,043,500"
 مكة المكرمه,جده,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,038,265"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,042,599"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,046,320"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,036,999"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,037,047"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,049,507"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,046,399"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,047,854"
