المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"32,387,302"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"32,404,761"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"32,380,743"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"32,403,254"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"32,400,625"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"32,385,950"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"32,382,860"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"32,401,992"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"32,403,279"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"32,404,743"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"32,404,265"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"32,401,943"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"32,401,967"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"32,402,080"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"32,400,638"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"32,382,887"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"32,385,933"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"32,380,744"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"32,389,485"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"32,402,001"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"32,387,293"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,415,170"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,418,206"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,413,098"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,423,509"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,427,343"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,413,029"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,426,258"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,426,299"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,425,013"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,418,349"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,424,968"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,423,387"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,426,321"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,426,324"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,426,427"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,424,992"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,426,281"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,427,331"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,426,593"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,417,245"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,424,510"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,424,971"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,413,147"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,422,235"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,423,966"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,423,392"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,423,539"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,418,191"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,416,595"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,413,053"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,418,378"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,422,212"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,415,176"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,416,372"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"32,411,217"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/03,"32,433,134"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/03,"32,434,099"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/03,"32,432,961"
