المنطقة,المدينة,السنة,ربع السنة,عدد الملاك النساء,نسبة تملك النساء
منطقة الباحة,الباحه,2025,الربع الثاني,14,18.42%
منطقة الباحة,الحجره,2025,الربع الثاني,2,25.00%
منطقة الباحة,العقيق,2025,الربع الثاني,7,21.88%
منطقة الباحة,القرى,2025,الربع الثاني,1,25.00%
منطقة الباحة,المخواة,2025,الربع الثاني,11,18.97%
منطقة الباحة,بلجرشي,2025,الربع الثاني,6,9.38%
منطقة الباحة,فزعة غامد الزناد,2025,الربع الثاني,1,100.00%
منطقة الباحة,قلوه,2025,الربع الثاني,8,47.06%
منطقة الجوف,القريات,2025,الربع الثاني,38,21.71%
منطقة الجوف,دومة الجندل,2025,الربع الثاني,11,13.41%
منطقة الجوف,سكاكا,2025,الربع الثاني,172,44.44%
منطقة الجوف,طبرجل,2025,الربع الثاني,13,10.83%
منطقة الحدود الشمالية,العويقيله,2025,الربع الثاني,1,2.56%
منطقة الحدود الشمالية,رفحاء,2025,الربع الثاني,19,20.88%
منطقة الحدود الشمالية,طريف,2025,الربع الثاني,11,26.83%
منطقة الحدود الشمالية,عرعر,2025,الربع الثاني,89,19.78%
منطقة الرياض,الارطاوي,2025,الربع الثاني,2,6.45%
منطقة الرياض,الارطاويه,2025,الربع الثاني,6,21.43%
منطقة الرياض,الافلاج,2025,الربع الثاني,49,25.00%
منطقة الرياض,الحريق,2025,الربع الثاني,6,28.57%
منطقة الرياض,الخرج,2025,الربع الثاني,157,19.15%
منطقة الرياض,الدرعيه,2025,الربع الثاني,19,20.00%
منطقة الرياض,الدلم,2025,الربع الثاني,34,28.33%
منطقة الرياض,الدوادمي,2025,الربع الثاني,68,28.57%
منطقة الرياض,الرياض,2025,الربع الثاني,"1,200",24.22%
منطقة الرياض,الرين,2025,الربع الثاني,8,18.18%
منطقة الرياض,الزلفي,2025,الربع الثاني,49,20.85%
منطقة الرياض,السليل,2025,الربع الثاني,2,11.11%
منطقة الرياض,الغاط,2025,الربع الثاني,8,14.81%
منطقة الرياض,القصب,2025,الربع الثاني,2,14.29%
منطقة الرياض,القويعيه,2025,الربع الثاني,29,22.83%
منطقة الرياض,المجمعه,2025,الربع الثاني,48,17.20%
منطقة الرياض,المزاحميه,2025,الربع الثاني,40,23.39%
منطقة الرياض,ثادق,2025,الربع الثاني,22,35.48%
منطقة الرياض,جلاجل,2025,الربع الثاني,6,46.15%
منطقة الرياض,حريملاء,2025,الربع الثاني,18,19.78%
منطقة الرياض,حوطة بني تميم,2025,الربع الثاني,9,19.57%
منطقة الرياض,رماح,2025,الربع الثاني,18,24.00%
منطقة الرياض,شقراء,2025,الربع الثاني,42,22.58%
منطقة الرياض,ضرماء,2025,الربع الثاني,35,28.00%
منطقة الرياض,عفيف,2025,الربع الثاني,38,16.31%
منطقة الرياض,مرات,2025,الربع الثاني,13,27.08%
منطقة الرياض,وادي الدواسر,2025,الربع الثاني,20,19.61%
منطقة الشرقية,ابقيق,2025,الربع الثاني,33,25.00%
منطقة الشرقية,الاحساء,2025,الربع الثاني,33,27.97%
منطقة الشرقية,الجبيل,2025,الربع الثاني,49,8.86%
منطقة الشرقية,الجفر,2025,الربع الثاني,93,19.58%
منطقة الشرقية,الخبر,2025,الربع الثاني,418,33.15%
منطقة الشرقية,الخفجي,2025,الربع الثاني,36,10.06%
منطقة الشرقية,الدمام,2025,الربع الثاني,285,27.91%
منطقة الشرقية,الظهران,2025,الربع الثاني,10,19.23%
منطقة الشرقية,العيون,2025,الربع الثاني,18,35.29%
منطقة الشرقية,القطيف,2025,الربع الثاني,66,28.33%
منطقة الشرقية,النعيريه,2025,الربع الثاني,26,11.30%
منطقة الشرقية,الهفوف,2025,الربع الثاني,254,26.02%
منطقة الشرقية,حفر الباطن,2025,الربع الثاني,177,18.77%
منطقة الشرقية,قرية العليا,2025,الربع الثاني,11,14.86%
منطقة القصيم,الاسياح,2025,الربع الثاني,8,17.02%
منطقة القصيم,البدائع,2025,الربع الثاني,31,18.79%
منطقة القصيم,البكيريه,2025,الربع الثاني,27,22.31%
منطقة القصيم,الخبراء,2025,الربع الثاني,11,15.71%
منطقة القصيم,الرس,2025,الربع الثاني,26,25.00%
منطقة القصيم,الشماسيه,2025,الربع الثاني,13,18.31%
منطقة القصيم,القواره,2025,الربع الثاني,1,100.00%
منطقة القصيم,المذنب,2025,الربع الثاني,43,19.28%
منطقة القصيم,النبهانيه,2025,الربع الثاني,2,7.69%
منطقة القصيم,بريده,2025,الربع الثاني,271,20.39%
منطقة القصيم,رياض الخبراء,2025,الربع الثاني,36,21.18%
منطقة القصيم,عقلة الصقور,2025,الربع الثاني,23,32.39%
منطقة القصيم,عنيزه,2025,الربع الثاني,78,24.38%
منطقة القصيم,عيون الجوى,2025,الربع الثاني,8,15.38%
منطقة القصيم,قبه,2025,الربع الثاني,2,11.11%
منطقة المدينة المنوره,الحناكية,2025,الربع الثاني,19,18.81%
منطقة المدينة المنوره,المدينة المنورة,2025,الربع الثاني,541,24.85%
منطقة المدينة المنوره,المهد,2025,الربع الثاني,6,10.91%
منطقة المدينة المنوره,وادي الفرع,2025,الربع الثاني,20,19.80%
منطقة تبوك,تبوك,2025,الربع الثاني,107,17.43%
منطقة تبوك,تيماء,2025,الربع الثاني,6,11.54%
منطقة تبوك,حقل,2025,الربع الثاني,7,33.33%
منطقة تبوك,ضباء,2025,الربع الثاني,12,26.67%
منطقة جازان,ابو عريش,2025,الربع الثاني,34,16.75%
منطقة جازان,احد المسارحه,2025,الربع الثاني,3,18.75%
منطقة جازان,الطوال,2025,الربع الثاني,1,50.00%
منطقة جازان,العارضه,2025,الربع الثاني,1,20.00%
منطقة جازان,العيدابي,2025,الربع الثاني,2,20.00%
