المنطقة,المدينة,السنة,ربع السنة,عدد الملاك الرجال,نسبة تملك الرجال
منطقة الباحة,الباحه,2025,الربع الثاني,62,81.58%
منطقة الباحة,الحجره,2025,الربع الثاني,6,75.00%
منطقة الباحة,العقيق,2025,الربع الثاني,25,78.13%
منطقة الباحة,القرى,2025,الربع الثاني,3,75.00%
منطقة الباحة,المخواة,2025,الربع الثاني,47,81.03%
منطقة الباحة,المندق,2025,الربع الثاني,4,100.00%
منطقة الباحة,بلجرشي,2025,الربع الثاني,58,90.63%
منطقة الباحة,قلوه,2025,الربع الثاني,9,52.94%
منطقة الجوف,القريات,2025,الربع الثاني,137,78.29%
منطقة الجوف,دومة الجندل,2025,الربع الثاني,71,86.59%
منطقة الجوف,سكاكا,2025,الربع الثاني,215,55.56%
منطقة الجوف,طبرجل,2025,الربع الثاني,107,89.17%
منطقة الحدود الشمالية,العويقيله,2025,الربع الثاني,38,97.44%
منطقة الحدود الشمالية,رفحاء,2025,الربع الثاني,72,79.12%
منطقة الحدود الشمالية,طريف,2025,الربع الثاني,30,73.17%
منطقة الحدود الشمالية,عرعر,2025,الربع الثاني,361,80.22%
منطقة الحدود الشمالية,لينه,2025,الربع الثاني,7,100.00%
منطقة الرياض,الارطاوي,2025,الربع الثاني,29,93.55%
منطقة الرياض,الارطاويه,2025,الربع الثاني,22,78.57%
منطقة الرياض,الافلاج,2025,الربع الثاني,147,75.00%
منطقة الرياض,الحريق,2025,الربع الثاني,15,71.43%
منطقة الرياض,الخرج,2025,الربع الثاني,663,80.85%
منطقة الرياض,الدرعيه,2025,الربع الثاني,76,80.00%
منطقة الرياض,الدلم,2025,الربع الثاني,86,71.67%
منطقة الرياض,الدوادمي,2025,الربع الثاني,170,71.43%
منطقة الرياض,الرياض,2025,الربع الثاني,"3,755",75.78%
منطقة الرياض,الرين,2025,الربع الثاني,36,81.82%
منطقة الرياض,الزلفي,2025,الربع الثاني,186,79.15%
منطقة الرياض,السليل,2025,الربع الثاني,16,88.89%
منطقة الرياض,الغاط,2025,الربع الثاني,46,85.19%
منطقة الرياض,القصب,2025,الربع الثاني,12,85.71%
منطقة الرياض,القويعيه,2025,الربع الثاني,98,77.17%
منطقة الرياض,المجمعه,2025,الربع الثاني,231,82.80%
منطقة الرياض,المزاحميه,2025,الربع الثاني,131,76.61%
منطقة الرياض,ثادق,2025,الربع الثاني,40,64.52%
منطقة الرياض,جلاجل,2025,الربع الثاني,7,53.85%
منطقة الرياض,حريملاء,2025,الربع الثاني,73,80.22%
منطقة الرياض,حوطة بني تميم,2025,الربع الثاني,37,80.43%
منطقة الرياض,رماح,2025,الربع الثاني,57,76.00%
منطقة الرياض,شقراء,2025,الربع الثاني,144,77.42%
منطقة الرياض,ضرماء,2025,الربع الثاني,90,72.00%
منطقة الرياض,عفيف,2025,الربع الثاني,195,83.69%
منطقة الرياض,مرات,2025,الربع الثاني,35,72.92%
منطقة الرياض,ملهم,2025,الربع الثاني,1,100.00%
منطقة الرياض,وادي الدواسر,2025,الربع الثاني,82,80.39%
منطقة الشرقية,ابقيق,2025,الربع الثاني,99,75.00%
منطقة الشرقية,الاحساء,2025,الربع الثاني,85,72.03%
منطقة الشرقية,الجبيل,2025,الربع الثاني,504,91.14%
منطقة الشرقية,الجفر,2025,الربع الثاني,382,80.42%
منطقة الشرقية,الخبر,2025,الربع الثاني,843,66.85%
منطقة الشرقية,الخفجي,2025,الربع الثاني,322,89.94%
منطقة الشرقية,الدمام,2025,الربع الثاني,736,72.09%
منطقة الشرقية,الظهران,2025,الربع الثاني,42,80.77%
منطقة الشرقية,العيون,2025,الربع الثاني,33,64.71%
منطقة الشرقية,القطيف,2025,الربع الثاني,167,71.67%
منطقة الشرقية,النعيريه,2025,الربع الثاني,204,88.70%
منطقة الشرقية,الهفوف,2025,الربع الثاني,722,73.98%
منطقة الشرقية,حفر الباطن,2025,الربع الثاني,766,81.23%
منطقة الشرقية,رأس تنوره,2025,الربع الثاني,20,100.00%
منطقة الشرقية,قرية العليا,2025,الربع الثاني,63,85.14%
منطقة القصيم,الاسياح,2025,الربع الثاني,39,82.98%
منطقة القصيم,البدائع,2025,الربع الثاني,134,81.21%
منطقة القصيم,البصر,2025,الربع الثاني,1,100.00%
منطقة القصيم,البكيريه,2025,الربع الثاني,94,77.69%
منطقة القصيم,الخبراء,2025,الربع الثاني,59,84.29%
منطقة القصيم,الرس,2025,الربع الثاني,78,75.00%
منطقة القصيم,الشماسيه,2025,الربع الثاني,58,81.69%
منطقة القصيم,المذنب,2025,الربع الثاني,180,80.72%
منطقة القصيم,النبهانيه,2025,الربع الثاني,24,92.31%
منطقة القصيم,بريده,2025,الربع الثاني,"1,058",79.61%
منطقة القصيم,رياض الخبراء,2025,الربع الثاني,134,78.82%
منطقة القصيم,ضريه,2025,الربع الثاني,13,100.00%
منطقة القصيم,عقلة الصقور,2025,الربع الثاني,48,67.61%
منطقة القصيم,عنيزه,2025,الربع الثاني,242,75.63%
منطقة القصيم,عيون الجوى,2025,الربع الثاني,44,84.62%
منطقة القصيم,قبه,2025,الربع الثاني,16,88.89%
منطقة المدينة المنوره,الحناكية,2025,الربع الثاني,82,81.19%
منطقة المدينة المنوره,العلا,2025,الربع الثاني,1,100.00%
منطقة المدينة المنوره,المدينة المنورة,2025,الربع الثاني,"1,636",75.15%
منطقة المدينة المنوره,المهد,2025,الربع الثاني,49,89.09%
منطقة المدينة المنوره,وادي الفرع,2025,الربع الثاني,81,80.20%
منطقة المدينة المنوره,ينبع,2025,الربع الثاني,39,100.00%
منطقة تبوك,تبوك,2025,الربع الثاني,507,82.57%
منطقة تبوك,تيماء,2025,الربع الثاني,46,88.46%
منطقة تبوك,حقل,2025,الربع الثاني,14,66.67%
منطقة تبوك,ضباء,2025,الربع الثاني,33,73.33%
منطقة جازان,ابو عريش,2025,الربع الثاني,169,83.25%
منطقة جازان,احد المسارحه,2025,الربع الثاني,13,81.25%
منطقة جازان,الدائر,2025,الربع الثاني,2,100.00%
منطقة جازان,الدرب,2025,الربع الثاني,4,100.00%
منطقة جازان,الريث,2025,الربع الثاني,2,100.00%
منطقة جازان,الشقيق,2025,الربع الثاني,3,100.00%
منطقة جازان,الطوال,2025,الربع الثاني,1,50.00%
منطقة جازان,العارضه,2025,الربع الثاني,4,80.00%
منطقة جازان,العيدابي,2025,الربع الثاني,8,80.00%
منطقة جازان,بيش,2025,الربع الثاني,131,94.24%
منطقة جازان,جيزان,2025,الربع الثاني,273,77.12%
منطقة جازان,صامطه,2025,الربع الثاني,50,75.76%
منطقة جازان,صبياء,2025,الربع الثاني,107,82.95%
منطقة جازان,ضمد,2025,الربع الثاني,24,75.00%
منطقة جازان,فرسان,2025,الربع الثاني,3,60.00%
منطقة جازان,فيفا,2025,الربع الثاني,1,100.00%
منطقة جازان,هروب,2025,الربع الثاني,1,100.00%
منطقة حائل,الحائط,2025,الربع الثاني,13,100.00%
منطقة حائل,الروضة,2025,الربع الثاني,69,75.00%
منطقة حائل,السليمي,2025,الربع الثاني,56,78.87%
منطقة حائل,الشملى,2025,الربع الثاني,38,90.48%
منطقة حائل,الشنان,2025,الربع الثاني,111,83.46%
منطقة حائل,الغزاله,2025,الربع الثاني,102,69.39%
منطقة حائل,الكهفه,2025,الربع الثاني,22,78.57%
منطقة حائل,بقعاء,2025,الربع الثاني,385,81.91%
منطقة حائل,حائل,2025,الربع الثاني,917,76.04%
منطقة حائل,سميراء,2025,الربع الثاني,3,60.00%
منطقة حائل,موقق,2025,الربع الثاني,77,53.47%
منطقة عسير,ابها,2025,الربع الثاني,370,76.13%
منطقة عسير,احد رفيده,2025,الربع الثاني,59,85.51%
منطقة عسير,البرك,2025,الربع الثاني,36,87.80%
منطقة عسير,البشائر,2025,الربع الثاني,12,85.71%
منطقة عسير,المجارده,2025,الربع الثاني,13,100.00%
منطقة عسير,النماص,2025,الربع الثاني,13,92.86%
منطقة عسير,بارق,2025,الربع الثاني,19,79.17%
منطقة عسير,باللسمر,2025,الربع الثاني,20,86.96%
منطقة عسير,بحر ابو سكينه,2025,الربع الثاني,2,66.67%
منطقة عسير,بلقرن,2025,الربع الثاني,22,95.65%
منطقة عسير,بيشه,2025,الربع الثاني,157,82.63%
منطقة عسير,تثليت,2025,الربع الثاني,139,83.73%
منطقة عسير,خميس مشيط,2025,الربع الثاني,358,77.32%
منطقة عسير,رجال المع,2025,الربع الثاني,22,95.65%
منطقة عسير,سراة عبيده,2025,الربع الثاني,31,93.94%
منطقة عسير,طريب,2025,الربع الثاني,119,76.77%
منطقة عسير,ظهران الجنوب,2025,الربع الثاني,11,64.71%
منطقة عسير,محايل عسير,2025,الربع الثاني,77,87.50%
منطقة مكة المكرمه,الجموم,2025,الربع الثاني,42,93.33%
منطقة مكة المكرمه,الخرمه,2025,الربع الثاني,47,79.66%
منطقة مكة المكرمه,الطائف,2025,الربع الثاني,714,77.36%
منطقة مكة المكرمه,العرضيه الجنوبيه,2025,الربع الثاني,2,66.67%
منطقة مكة المكرمه,العرضيه الشماليه,2025,الربع الثاني,3,50.00%
منطقة مكة المكرمه,القنفذه,2025,الربع الثاني,104,74.29%
منطقة مكة المكرمه,الكامل,2025,الربع الثاني,14,82.35%
منطقة مكة المكرمه,الليث,2025,الربع الثاني,27,84.38%
منطقة مكة المكرمه,المويه,2025,الربع الثاني,9,60.00%
منطقة مكة المكرمه,بحره,2025,الربع الثاني,57,79.17%
منطقة مكة المكرمه,تربه,2025,الربع الثاني,148,87.06%
منطقة مكة المكرمه,جده,2025,الربع الثاني,"4,372",68.08%
منطقة مكة المكرمه,خليص,2025,الربع الثاني,84,64.12%
منطقة مكة المكرمه,رابغ,2025,الربع الثاني,140,80.00%
منطقة مكة المكرمه,رنيه,2025,الربع الثاني,62,89.86%
منطقة مكة المكرمه,مكة المكرمة,2025,الربع الثاني,"1,201",70.94%
