المنطقة,المدينة,السنة,ربع السنة,عدد الملاك النساء,نسبة تملك النساء
منطقة الباحة,الباحه,2025,الربع الرابع,14,21.54%
منطقة الباحة,الحجره,2025,الربع الرابع,1,16.67%
منطقة الباحة,العقيق,2025,الربع الرابع,10,23.81%
منطقة الباحة,القرى,2025,الربع الرابع,1,20.00%
منطقة الباحة,المخواة,2025,الربع الرابع,7,13.21%
منطقة الباحة,بلجرشي,2025,الربع الرابع,13,22.03%
منطقة الباحة,قلوه,2025,الربع الرابع,2,40.00%
منطقة الجوف,القريات,2025,الربع الرابع,51,22.27%
منطقة الجوف,دومة الجندل,2025,الربع الرابع,17,17.53%
منطقة الجوف,سكاكا,2025,الربع الرابع,63,22.18%
منطقة الجوف,طبرجل,2025,الربع الرابع,11,14.29%
منطقة الحدود الشمالية,العويقيله,2025,الربع الرابع,6,19.35%
منطقة الحدود الشمالية,رفحاء,2025,الربع الرابع,19,27.14%
منطقة الحدود الشمالية,طريف,2025,الربع الرابع,6,13.95%
منطقة الحدود الشمالية,عرعر,2025,الربع الرابع,98,21.63%
منطقة الحدود الشمالية,لينه,2025,الربع الرابع,3,33.33%
منطقة الرياض,الارطاوي,2025,الربع الرابع,5,21.74%
منطقة الرياض,الارطاويه,2025,الربع الرابع,3,12.50%
منطقة الرياض,الافلاج,2025,الربع الرابع,31,17.92%
منطقة الرياض,الحريق,2025,الربع الرابع,7,22.58%
منطقة الرياض,الخرج,2025,الربع الرابع,161,18.48%
منطقة الرياض,الدرعيه,2025,الربع الرابع,20,25.32%
منطقة الرياض,الدلم,2025,الربع الرابع,17,18.68%
منطقة الرياض,الدوادمي,2025,الربع الرابع,26,13.83%
منطقة الرياض,الرياض,2025,الربع الرابع,893,25.30%
منطقة الرياض,الرين,2025,الربع الرابع,2,14.29%
منطقة الرياض,الزلفي,2025,الربع الرابع,73,23.93%
منطقة الرياض,السليل,2025,الربع الرابع,7,20.59%
منطقة الرياض,الغاط,2025,الربع الرابع,11,19.64%
منطقة الرياض,القصب,2025,الربع الرابع,4,40.00%
منطقة الرياض,القويعيه,2025,الربع الرابع,15,18.75%
منطقة الرياض,المجمعه,2025,الربع الرابع,46,24.60%
منطقة الرياض,المزاحميه,2025,الربع الرابع,51,28.18%
منطقة الرياض,ثادق,2025,الربع الرابع,10,25.64%
منطقة الرياض,جلاجل,2025,الربع الرابع,5,29.41%
منطقة الرياض,حريملاء,2025,الربع الرابع,21,26.92%
منطقة الرياض,حوطة بني تميم,2025,الربع الرابع,11,21.57%
منطقة الرياض,رماح,2025,الربع الرابع,15,20.27%
منطقة الرياض,شقراء,2025,الربع الرابع,30,24.79%
منطقة الرياض,ضرماء,2025,الربع الرابع,20,20.20%
منطقة الرياض,عرقه,2025,الربع الرابع,1,50.00%
منطقة الرياض,عفيف,2025,الربع الرابع,30,16.95%
منطقة الرياض,مرات,2025,الربع الرابع,15,28.30%
منطقة الرياض,وادي الدواسر,2025,الربع الرابع,18,17.48%
منطقة الشرقية,ابقيق,2025,الربع الرابع,29,21.17%
منطقة الشرقية,الاحساء,2025,الربع الرابع,35,28.93%
منطقة الشرقية,الجبيل,2025,الربع الرابع,67,9.03%
منطقة الشرقية,الجفر,2025,الربع الرابع,62,23.31%
منطقة الشرقية,الخبر,2025,الربع الرابع,229,26.57%
منطقة الشرقية,الخفجي,2025,الربع الرابع,63,19.57%
منطقة الشرقية,الدمام,2025,الربع الرابع,226,21.30%
منطقة الشرقية,الظهران,2025,الربع الرابع,11,7.86%
منطقة الشرقية,العيون,2025,الربع الرابع,12,19.67%
منطقة الشرقية,القطيف,2025,الربع الرابع,41,20.50%
منطقة الشرقية,النعيريه,2025,الربع الرابع,27,16.36%
منطقة الشرقية,الهفوف,2025,الربع الرابع,233,27.51%
منطقة الشرقية,حفر الباطن,2025,الربع الرابع,224,19.93%
منطقة الشرقية,رأس تنوره,2025,الربع الرابع,6,24.00%
منطقة الشرقية,قرية العليا,2025,الربع الرابع,12,15.79%
منطقة القصيم,الاسياح,2025,الربع الرابع,9,22.50%
منطقة القصيم,البدائع,2025,الربع الرابع,45,19.31%
منطقة القصيم,البكيريه,2025,الربع الرابع,61,30.05%
منطقة القصيم,الخبراء,2025,الربع الرابع,18,19.78%
منطقة القصيم,الرس,2025,الربع الرابع,35,26.32%
منطقة القصيم,الشماسيه,2025,الربع الرابع,7,16.67%
منطقة القصيم,المذنب,2025,الربع الرابع,48,15.69%
منطقة القصيم,النبهانيه,2025,الربع الرابع,2,10.00%
منطقة القصيم,بريده,2025,الربع الرابع,248,23.69%
منطقة القصيم,رياض الخبراء,2025,الربع الرابع,19,16.67%
منطقة القصيم,ضريه,2025,الربع الرابع,1,14.29%
منطقة القصيم,عقلة الصقور,2025,الربع الرابع,8,27.59%
منطقة القصيم,عنيزه,2025,الربع الرابع,73,30.17%
منطقة القصيم,عيون الجوى,2025,الربع الرابع,10,18.52%
منطقة القصيم,قبه,2025,الربع الرابع,2,20.00%
منطقة المدينة المنوره,الحناكية,2025,الربع الرابع,30,31.91%
منطقة المدينة المنوره,العلا,2025,الربع الرابع,1,33.33%
منطقة المدينة المنوره,المدينة المنورة,2025,الربع الرابع,567,26.52%
منطقة المدينة المنوره,المهد,2025,الربع الرابع,5,6.94%
منطقة المدينة المنوره,وادي الفرع,2025,الربع الرابع,31,36.90%
منطقة المدينة المنوره,ينبع,2025,الربع الرابع,8,27.59%
منطقة تبوك,تبوك,2025,الربع الرابع,177,18.83%
منطقة تبوك,تيماء,2025,الربع الرابع,18,22.78%
منطقة تبوك,حقل,2025,الربع الرابع,7,21.21%
منطقة تبوك,ضباء,2025,الربع الرابع,9,18.37%
منطقة جازان,ابو عريش,2025,الربع الرابع,22,13.10%
منطقة جازان,احد المسارحه,2025,الربع الرابع,4,21.05%
منطقة جازان,الشقيق,2025,الربع الرابع,1,25.00%
منطقة جازان,بيش,2025,الربع الرابع,20,10.99%
منطقة جازان,جيزان,2025,الربع الرابع,69,17.60%
منطقة جازان,صامطه,2025,الربع الرابع,10,24.39%
منطقة جازان,صبياء,2025,الربع الرابع,17,12.32%
منطقة جازان,ضمد,2025,الربع الرابع,5,14.71%
منطقة جازان,فرسان,2025,الربع الرابع,2,28.57%
منطقة حائل,الحائط,2025,الربع الرابع,1,4.35%
منطقة حائل,الروضة,2025,الربع الرابع,16,13.79%
منطقة حائل,السليمي,2025,الربع الرابع,6,15.00%
منطقة حائل,الشملى,2025,الربع الرابع,6,10.00%
منطقة حائل,الشنان,2025,الربع الرابع,16,10.67%
منطقة حائل,الغزاله,2025,الربع الرابع,28,26.17%
منطقة حائل,الكهفه,2025,الربع الرابع,14,35.00%
منطقة حائل,بقعاء,2025,الربع الرابع,87,18.39%
منطقة حائل,حائل,2025,الربع الرابع,355,27.20%
منطقة حائل,سميراء,2025,الربع الرابع,6,30.00%
منطقة حائل,موقق,2025,الربع الرابع,21,41.18%
منطقة عسير,ابها,2025,الربع الرابع,135,31.54%
منطقة عسير,احد رفيده,2025,الربع الرابع,17,21.52%
منطقة عسير,البرك,2025,الربع الرابع,10,11.11%
منطقة عسير,المجارده,2025,الربع الرابع,4,40.00%
منطقة عسير,النماص,2025,الربع الرابع,1,6.25%
منطقة عسير,بارق,2025,الربع الرابع,8,21.05%
منطقة عسير,باللسمر,2025,الربع الرابع,6,26.09%
منطقة عسير,بحر ابو سكينه,2025,الربع الرابع,1,50.00%
منطقة عسير,بلقرن,2025,الربع الرابع,4,20.00%
منطقة عسير,بيشه,2025,الربع الرابع,66,29.20%
منطقة عسير,تثليت,2025,الربع الرابع,28,25.93%
منطقة عسير,خميس مشيط,2025,الربع الرابع,98,23.56%
منطقة عسير,رجال المع,2025,الربع الرابع,3,8.82%
منطقة عسير,سراة عبيده,2025,الربع الرابع,9,23.08%
منطقة عسير,طريب,2025,الربع الرابع,26,23.42%
منطقة عسير,ظهران الجنوب,2025,الربع الرابع,4,36.36%
منطقة عسير,محايل عسير,2025,الربع الرابع,15,8.82%
منطقة مكة المكرمه,الجموم,2025,الربع الرابع,7,17.07%
منطقة مكة المكرمه,الخرمه,2025,الربع الرابع,24,32.00%
منطقة مكة المكرمه,الطائف,2025,الربع الرابع,234,24.12%
منطقة مكة المكرمه,القنفذه,2025,الربع الرابع,33,22.76%
منطقة مكة المكرمه,الكامل,2025,الربع الرابع,1,14.29%
