المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,988,242"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,984,919"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,984,968"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,985,546"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,985,765"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,986,393"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,986,403"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,986,487"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,986,984"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,986,995"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,987,945"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,988,828"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,990,709"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,994,949"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,996,598"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,989,771"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,990,106"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,991,407"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,991,757"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,992,041"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,993,030"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,993,709"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,995,078"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,995,382"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,996,525"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,996,608"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,998,940"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,996,851"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,997,841"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,998,185"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,998,324"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,998,593"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,998,846"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,999,078"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,999,138"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,999,154"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"39,999,737"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"40,000,366"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"40,001,628"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"40,001,669"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"40,002,704"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"40,002,904"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"40,002,935"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"40,003,153"
منطقة مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/07/01,"40,004,342"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"40,004,888"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"40,005,208"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"40,005,457"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/01,"40,005,829"
منطقة مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/07/01,"40,004,304"
منطقة مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/07/01,"40,003,490"
منطقة مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/07/01,"40,002,760"
منطقة مكة المكرمه,جده,القطاع الخاص,خدمة إلكترونية جزئيا,2025/07/01,"40,002,720"
منطقة الرياض,الخرج,القطاع الخاص,خدمة إلكترونية جزئيا,2025/07/01,"40,001,708"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,010,664"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,006,107"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,006,689"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,007,080"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,007,096"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,007,176"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,007,237"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,007,287"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,007,454"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,007,752"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,007,777"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,008,053"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,008,088"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,008,102"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,008,352"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,009,495"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,009,626"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,010,516"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,010,676"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,011,233"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,011,757"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,012,227"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,012,597"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,013,371"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,013,764"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,013,810"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,016,356"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,017,882"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,018,399"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,018,537"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,018,687"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,018,800"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,018,952"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,019,443"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,019,602"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,019,818"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,020,365"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,020,411"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,021,262"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,021,337"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/07/02,"40,021,392"
