المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي للوكالة
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,617,903"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/01,"41,606,002"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"41,637,748"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"41,634,332"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"41,636,154"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/02,"41,627,797"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/03,"41,646,513"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/03,"41,646,295"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/03,"41,646,344"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,"41,651,145"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/04,"41,658,234"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/06,"41,702,763"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/07,"41,725,017"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/08,"41,748,251"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/08,"41,739,643"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/08,"41,738,029"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/08,"41,736,750"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/09,"41,767,793"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/09,"41,762,131"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/09,"41,765,122"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/09,"41,761,710"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/09,"41,765,216"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/12,"41,805,850"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/13,"41,825,747"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/13,"41,815,185"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/13,"41,816,819"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/13,"41,819,411"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/13,"41,826,614"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/13,"41,811,149"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/14,"41,833,882"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/14,"41,845,297"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/14,"41,835,073"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/14,"41,833,771"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/15,"41,855,624"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/10/15,"41,860,648"
