المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"27,035,344"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"27,036,237"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"27,036,799"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"27,036,822"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"27,040,292"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"27,041,843"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"27,044,242"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"27,044,472"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"27,044,681"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"27,044,727"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"27,045,037"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"27,045,082"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"27,045,505"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"27,048,463"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"27,049,640"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"27,050,275"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"27,050,396"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"27,038,262"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"27,038,420"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"27,039,210"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"27,041,835"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"27,045,085"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"27,045,574"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"27,045,594"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"27,045,776"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,1/1/2025,"27,045,798"
