المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/5/2025,"28,686,874"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/5/2025,"28,686,962"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/6/2025,"28,691,128"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/6/2025,"28,695,657"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/6/2025,"28,690,496"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/6/2025,"28,691,386"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/6/2025,"28,691,697"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/6/2025,"28,694,080"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/7/2025,"28,703,740"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/7/2025,"28,703,038"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/7/2025,"28,703,197"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/7/2025,"28,717,357"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/7/2025,"28,717,558"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/7/2025,"28,712,783"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/7/2025,"28,713,363"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/7/2025,"28,717,229"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/7/2025,"28,710,046"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/7/2025,"28,713,153"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/7/2025,"28,717,527"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/7/2025,"28,702,195"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/7/2025,"28,705,167"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/7/2025,"28,715,022"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/7/2025,"28,702,569"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/7/2025,"28,709,232"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/7/2025,"28,717,085"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/7/2025,"28,702,159"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/7/2025,"28,708,798"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/7/2025,"28,708,596"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,4/7/2025,"28,708,441"
