المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"30,421,611"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"30,425,388"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"30,422,325"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"30,418,702"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"30,422,983"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"30,425,528"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"30,409,906"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"30,420,711"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"30,422,139"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"30,409,610"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"30,422,745"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"30,418,798"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/01,"30,414,832"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/02,"30,445,704"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/02,"30,444,686"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/02,"30,451,891"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/02,"30,456,483"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/02,"30,444,330"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/07/02,"30,452,047"
