المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,042,506"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,048,357"
 عسير,محايل عسير,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,037,714"
 الرياض,مرات,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,041,732"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,040,768"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,045,687"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,051,457"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,050,781"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,045,049"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,050,630"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,050,725"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,050,049"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,038,455"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,037,300"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,049,771"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,039,173"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,050,259"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,050,989"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,038,213"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,036,102"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,046,645"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,036,014"
 الشرقية,حفر الباطن,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,044,087"
 الشرقية,حفر الباطن,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,039,106"
 المدينة المنوره,المدينة المنورة,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,042,940"
 الشرقية,الخبر,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,042,093"
 عسير,احد رفيده,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,044,765"
 القصيم,بريده,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,044,456"
 الرياض,المزاحميه,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,038,608"
 مكة المكرمه,الطائف,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,037,408"
 القصيم,بريده,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,036,878"
 الباحة,المخواة,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,044,399"
 الشرقية,الخبر,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,041,209"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,044,272"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,037,282"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,037,245"
 القصيم,بريده,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,037,411"
 حائل,حائل,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,041,863"
 الباحة,المخواة,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,045,016"
 المدينة المنوره,المدينة المنورة,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,044,499"
 الشرقية,الاحساء,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,041,114"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,042,177"
 الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,041,928"
 الشرقية,الدمام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,042,956"
 حائل,حائل,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,045,386"
 المدينة المنوره,المدينة المنورة,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,041,921"
 الباحة,المخواة,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,042,591"
 عسير,محايل عسير,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,036,972"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/01,"27,045,188"
 عسير,ابها,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,045,552"
 الشرقية,حفر الباطن,القطاع العام,خدمة إلكترونية جزئيا,2025/01/01,"27,041,757"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,047,125"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,044,865"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,051,792"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,043,360"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,046,025"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,044,065"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,038,733"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,038,338"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,041,678"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,044,694"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية,2025/01/01,"27,043,844"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,055,902"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,054,475"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,066,152"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,066,204"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,054,772"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,062,435"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,058,763"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,058,357"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,054,797"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,053,413"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,056,767"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,053,333"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,052,788"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,057,750"
 جازان,صبياء,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,059,138"
 جازان,صبياء,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,059,652"
 جازان,صبياء,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,058,703"
 جازان,صبياء,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,058,906"
 القصيم,بريده,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,056,968"
 عسير,ابها,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,060,764"
 الرياض,الخرج,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,057,208"
 المدينة المنوره,المدينة المنورة,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,058,907"
 الرياض,وادي الدواسر,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,057,708"
 الرياض,شقراء,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,055,213"
 القصيم,بريده,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,054,348"
 الرياض,المجمعه,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,056,794"
 الشرقية,حفر الباطن,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,054,535"
 الرياض,المزاحميه,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,055,514"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,054,091"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,054,143"
 المدينة المنوره,المدينة المنورة,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,058,584"
 القصيم,بريده,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,056,441"
 الرياض,عفيف,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,056,628"
 الرياض,وادي الدواسر,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,061,014"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,053,987"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,061,149"
 الرياض,الرياض,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,061,012"
 الرياض,الرياض,القطاع الخاص,خدمة إلكترونية جزئيا,2025/01/02,"27,061,428"
 المدينة المنوره,المدينة المنورة,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,059,128"
 تبوك,حقل,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,061,343"
 الرياض,وادي الدواسر,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,060,753"
 مكة المكرمه,الطائف,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,058,300"
 الرياض,وادي الدواسر,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,059,677"
 القصيم,بريده,القطاع العام,خدمة إلكترونية جزئيا,2025/01/02,"27,058,044"
