المنطقة,المدينة,نوع القطاع,نوع الخدمة,التاريخ ميلادي,الرقم المرجعي
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"28,690,102"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"28,692,603"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"28,697,998"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"28,698,300"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"28,693,226"
 الشرقية,الجبيل,القطاع العام,خدمة إلكترونية جزئيا,2025/04/06,"28,692,115"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"28,705,519"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"28,717,190"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"28,706,692"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"28,708,382"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/07,"28,704,490"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/08,"28,728,824"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/08,"28,733,184"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/08,"28,719,176"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/08,"28,736,363"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/08,"28,736,987"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/08,"28,737,637"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/08,"28,723,946"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/08,"28,719,109"
 الشرقية,الجبيل,القطاع العام,خدمة إلكترونية جزئيا,2025/04/08,"28,725,451"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/09,"28,745,495"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/09,"28,744,208"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/09,"28,743,854"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/09,"28,744,058"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/09,"28,742,621"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/09,"28,752,604"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/09,"28,753,001"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/10,"28,763,326"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/12,"28,810,376"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/13,"28,823,409"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/13,"28,829,132"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/13,"28,829,666"
الخدمات الرقمية,عام,القطاع العام,خدمة إلكترونية جزئيا,2025/04/13,"28,829,410"
