المؤشر العقاري لمدينة المدينة المنورة  في عام 2018 و2019 و2020 و 2021,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
المدينة,المدينة المنورة,,,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
الشهر,تصنيف العقار,نوع العقار,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات
يناير,,,681318479,1634477.7897,656,661371090,1286266.5381,1120,664853498,771647.6186,1014,466855417,2261198.4317,838
يناير,سكني,,520380258,486863.4066,504,512756830,639401.6656,1001,584726669,531534.7886,901,359936394,440839.0217,684
يناير,سكني,قطعة أرض,436290049,330957.4906,397,445897686,579101.664,905,531829300,508156.9201,803,338714370,369887.425,635
يناير,سكني,عمارة,,,,998000,351.24,2,831576,1663.68,2,500000,638.14,1
يناير,سكني,فيلا,5100000,1374.66,5,5186393,2196.82,6,6430000,2542.99,9,2800000,1680,2
يناير,سكني,شقة,44395045,16008.9,74,30717218,11283.8052,58,34161567,13070.091,67,9792024,3217.1567,20
يناير,سكني,مركز تجاري,,,,100000,158.615,1,,,,,,
يناير,سكني,بيت,32696164,4873.73,21,29757533,11953.2814,28,11224226,4230.7675,19,7530000,11357.26,25
يناير,سكني,مرفق,1187000,648.51,2,,,,250000,1870.34,1,,,
يناير,سكني,أرض زراعية,712000,133000.116,5,100000,34356.24,1,,,,600000,54059.04,1
يناير,تجاري,,136419023,132963.9566,116,109404266,77816.7125,102,75076829,80918.79,105,74957323,66959.41,97
يناير,تجاري,قطعة أرض,133519023,131942.6166,113,98643526,71773.1775,99,72901829,79837.05,102,71557323,65759.41,94
يناير,تجاري,فيلا,1350000,400,1,,,,1975000,896.11,2,,,
يناير,تجاري,شقة,1550000,621.34,2,,,,,,,3400000,1200,3
يناير,تجاري,مركز تجاري,,,,3600000,5809.505,2,,,,,,
يناير,تجاري,بيت,,,,7160740,234.03,1,200000,185.63,1,,,
يناير,زراعي,,24519198,1014650.4265,36,39209994,569048.16,17,5050000,159194.04,8,31961700,1753400,57
يناير,زراعي,قطعة أرض,280000,26637.83,1,,,,,,,12116500,93945.71,21
يناير,زراعي,أرض زراعية,24239198,988012.5965,35,39209994,569048.16,17,5050000,159194.04,8,19845200,1659454.29,36
فبراير,,,1081288931,1186539.1775,863,769439022,1440011.2975,1007,799882616,1172516.6366,1201,721430860,3922991.9333,1076
فبراير,سكني,,529578051,584765.5978,735,462031291,501865.8725,896,666448619,593404.0252,1072,503677624,525147.989,860
فبراير,سكني,قطعة أرض,457953680,558142.4744,630,410845628,478747.9002,808,556779357,560694.096,945,475082232,498382.377,806
فبراير,سكني,عمارة,,,,850000,423.79,1,8266577,653.08,3,,,
فبراير,سكني,فيلا,3295000,864.53,3,5970652,3032.6,8,10175000,3944.16,11,898500,400,1
فبراير,سكني,شقة,35031759,15142.9,74,38994011,10885.9885,53,70931049,16967.4492,86,8910750,3282.452,20
فبراير,سكني,بيت,31537612,6049.0934,24,5371000,8775.5938,26,20296636,11145.24,27,15036142,15803.6,31
فبراير,سكني,مرفق,,,,,,,,,,3750000,7279.56,2
فبراير,سكني,إستراحة,1620000,1050,1,,,,,,,,,
فبراير,سكني,أرض زراعية,140000,3516.6,3,,,,,,,,,
فبراير,تجاري,,540950380,95440.6164,83,271560950,118126.11,96,130064934,89390.085,118,155640609,117332.4043,139
فبراير,تجاري,قطعة أرض,540950380,95440.6164,83,268785950,117471.08,92,130064934,89390.085,118,117597268,115185.8243,136
فبراير,تجاري,فيلا,,,,2000000,400,1,,,,,,
فبراير,تجاري,معرض/محل,,,,475000,149.96,2,,,,,,
فبراير,تجاري,مركز تجاري,,,,,,,,,,400000,355.49,1
فبراير,تجاري,بيت,,,,300000,105.07,1,,,,37643341,1791.09,2
فبراير,زراعي,,10760500,506332.9633,45,35846781,820019.315,15,3369063,489722.5264,11,62112627,3280511.54,77
فبراير,زراعي,قطعة أرض,400000,1200,1,250000,30000,1,830000,483.1564,2,17812000,35805.46,24
