Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
  المؤشر العقاري للأحياء بمدينة جدة  في عام 2018 و2019 و2020 و 2021,,,,,,,,,,,,
,,,,,,,,,,,,
المدينة,جده,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2018,,,2019,,,2020,,,2021,,
الأحياء,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات
حي/204/ ب/ 1401,,,,,,,100000,570.5,1,,,
مايو,,,,,,,100000,570.5,1,,,
حي/244/ ب,,,,,,,170000,868,1,250000,868,1
يناير,,,,,,,,,,250000,868,1
فبراير,,,,,,,170000,868,1,,,
حي/أبحر الجنوبية,437438154,116090.07,172,782397594,157419.4483,270,800971307,159685.979,157,222014121,55814.649,91
يناير,82474372,20949.04,26,76425053,18349.17,14,25681391,4839.19,8,58205357,10914.39,17
فبراير,42753205,12862.65,13,59691746,18295.1,16,45600693,10788.22,17,134565318,37320.71,58
مارس,17849786,6404.82,13,64456882,12533.05,22,9664666,3129.02,8,16453446,5175.949,10
ابريل,27270240,7853.58,17,159589031,16565.64,41,600000,108.14,1,12790000,2403.6,6
مايو,23740563,9818.15,13,90380344,13034.93,31,2400000,1000,1,,,
يونيو,17733689,5782.39,7,46810000,7370.69,13,95924593,20408.96,46,,,
يوليو,94059154,20464.63,39,67502701,21512.7533,23,57378318,10406.62,15,,,
اوغسطس,12078943,8101.1,7,15860770,6788.82,9,47942144,9337.03,14,,,
سبتمبر,5992500,1977.07,4,11203466,5633.2,9,156028500,17546.59,7,,,
اكتوبر,79879887,9293.06,12,123662882,21219.81,60,101184833,30076.85,11,,,
نوفمبر,26244275,6806.21,13,41967219,8905.375,17,144080742,15445.86,15,,,
ديسمبر,7361540,5777.37,8,24847500,7210.91,15,114485427,36599.499,14,,,
حي/أم حبلين,21804524,30817.23,19,19208212,85830.96,10,457120815,727707.18,7,19505000,14484.8,22
يناير,2293663,1292.73,4,507112,197.16,1,1051661,1772.19,2,4375000,2666.52,5
فبراير,2016749,1791.7,3,4000000,21689.66,1,453623154,724442.47,2,6030000,4693.29,7
مارس,1568000,595.23,3,530000,198.54,1,,,,6500000,5145.68,7
ابريل,2201750,774,4,,,,,,,2600000,1979.31,3
مايو,7627000,3417.16,2,100000,21122,1,,,,,,
يونيو,5000000,21689.66,1,550000,191.35,1,,,,,,
يوليو,,,,11000000,40811,2,,,,,,
اوغسطس,,,,1721100,905.75,2,,,,,,
اكتوبر,647362,630,1,,,,640000,202.52,1,,,
نوفمبر,450000,626.75,1,,,,,,,,,
ديسمبر,,,,800000,715.5,1,1806000,1290,2,,,
حي/أم سدرة,,,,,,,2086000,17917.5,20,965000,4941,6
يناير,,,,,,,80000,900,1,555000,2695.5,3
فبراير,,,,,,,231000,2695.5,3,140000,900,1
مارس,,,,,,,355000,3583.5,4,200000,895.5,1
ابريل,,,,,,,85000,888,1,70000,450,1
يونيو,,,,,,,300000,2695.5,3,,,
اوغسطس,,,,,,,95000,900,1,,,
سبتمبر,,,,,,,175000,895.5,1,,,
نوفمبر,,,,,,,200000,1764,2,,,
ديسمبر,,,,,,,565000,3595.5,4,,,
حي/ابحر الجنوبية الشرقية,10000000,4975,2,447257,446,1,10750000,5475,3,3595000,900,2
يناير,,,,447257,446,1,,,,1500000,500,1
مارس,10000000,4975,2,,,,,,,2095000,400,1
يونيو,,,,,,,10750000,5475,3,,,
حي/ابحر الشمالية,2124443843,3293046.867,240,466251097,204459.28,312,558759136,372704.077,369,360787337,168603.9,190
يناير,11147527,5332.49,9,30571085,15332.64,26,47576392,15391.64,26,46629582,19803.33,46
فبراير,22632668,8551.75,20,37585746,18958.15,33,47026676,19791.51,25,178713555,90992.9,58
مارس,36316275,21494.07,33,39386187,12890.44,28,14540864,12006.53,16,77986777,27298.7,45
ابريل,17487769,39977.777,18,28741116,19556.14,32,,,,57457423,30508.97,41
مايو,16820610,4877.57,10,31689417,13470.01,25,838469,312.5,1,,,
يونيو,1749939449,3129290.41,9,16766477,7250.39,16,87454237,51092.267,71,,,
يوليو,67588913,14155.8,17,16790040,8748.07,19,10824348,5022.7,12,,,
اوغسطس,42862876,13460.31,13,86293269,13538.85,17,76152436,20615.29,19,,,
سبتمبر,26061323,10218.35,22,26995738,10532.48,23,103211555,124045.71,66,,,
اكتوبر,66279108,10676.48,19,44066033,39105.68,48,25510752,10504.18,22,,,
نوفمبر,24962975,11918.29,25,92269360,40441.78,34,52685079,54849.36,43,,,
ديسمبر,42344350,23093.57,45,15096629,4634.65,11,92938328,59072.39,68,,,
حي/ابحر الشمالية _ منطقة ذهبان,4611678,9400,1,750000,900,1,,,,,,
اوغسطس,,,,750000,900,1,,,,,,
نوفمبر,4611678,9400,1,,,,,,,,,
حي/الأجواد,9443264,3904.5,7,4369178,2289.5,5,7769517,6881.41,9,1450000,947.22,2
