السنة,الربع,المنطقة,المدينة,نوع العقار,مجموع الصفقات,المتوسط
2019,1,عسير,أبها,استديو - سكني,3,14000
2019,1,عسير,أحد رفيدة - الواديين,استديو - سكني,2,6000
2019,1,عسير,محائل,استديو - سكني,1,9600
2019,1,عسير,أبها,دوبلاكس - سكني,2,37500
2019,1,عسير,خميس مشيط,دوبلاكس - سكني,3,25000
2019,1,عسير,أبها,دور - سكني,22,22650
2019,1,عسير,النماص,دور - سكني,2,15500
2019,1,عسير,خميس مشيط,دور - سكني,20,15417.65
2019,1,عسير,سراة عبيدة,دور - سكني,1,16000
2019,1,عسير,طريب,دور - سكني,1,20000
2019,1,عسير,محائل,دور - سكني,2,20800
2019,1,عسير,أبها,شقة - سكني,471,18688.11639
2019,1,عسير,أحد رفيدة - الواديين,شقة - سكني,10,13649
2019,1,عسير,البشائر,شقة - سكني,7,4363
2019,1,عسير,العطوف (صبح),شقة - سكني,1,14400
2019,1,عسير,المجاردة,شقة - سكني,12,13282.63636
2019,1,عسير,النماص,شقة - سكني,4,11050
2019,1,عسير,بلقرن,شقة - سكني,16,13250
2019,1,عسير,بيشة,شقة - سكني,20,15499.41176
2019,1,عسير,تثليث,شقة - سكني,7,9428.571428
2019,1,عسير,تنومة,شقة - سكني,7,14719.42857
2019,1,عسير,خميس مشيط,شقة - سكني,265,18106.348
2019,1,عسير,سراة عبيدة,شقة - سكني,2,10200
2019,1,عسير,ظهران الجنوب,شقة - سكني,5,12000
2019,1,عسير,محائل,شقة - سكني,34,16811.76471
2019,1,عسير,أبها,فيلا - سكني,3,33533.33333
2019,1,عسير,خميس مشيط,فيلا - سكني,3,30340
2019,1,عسير,أبها,محل - تجاري,9,514.218567
2019,1,عسير,تنومة,محل - تجاري,1,458.33333
2019,1,عسير,خميس مشيط,محل - تجاري,12,656.34268
2019,1,عسير,سراة عبيدة,محل - تجاري,2,178.57143
2019,1,عسير,محائل,محل - تجاري,8,208.75
2019,1,عسير,أبها,مكتب - تجاري,1,163.63636
2019,2,عسير,أبها,استديو - سكني,11,15763.63636
2019,2,عسير,خميس مشيط,استديو - سكني,12,10300
2019,2,عسير,أبها,دوبلاكس - سكني,3,28000
2019,2,عسير,خميس مشيط,دوبلاكس - سكني,1,30000
2019,2,عسير,أبها,دور - سكني,30,32718.51852
2019,2,عسير,أحد رفيدة - الواديين,دور - سكني,2,25500
2019,2,عسير,المجاردة,دور - سكني,2,17000
2019,2,عسير,النماص,دور - سكني,1,19200
2019,2,عسير,بيشة,دور - سكني,2,11250
2019,2,عسير,تثليث,دور - سكني,1,12000
2019,2,عسير,تنومة,دور - سكني,1,18000
2019,2,عسير,خميس مشيط,دور - سكني,42,18982.71795
2019,2,عسير,سراة عبيدة,دور - سكني,1,18000
2019,2,عسير,محائل,دور - سكني,2,12600
2019,2,عسير,أبها,شقة - سكني,514,19174.82561
2019,2,عسير,أحد رفيدة - الواديين,شقة - سكني,21,19307.36842
2019,2,عسير,البشائر,شقة - سكني,2,10000
2019,2,عسير,المجاردة,شقة - سكني,23,14695.2381
2019,2,عسير,النماص,شقة - سكني,7,14016.14286
2019,2,عسير,بلسمر,شقة - سكني,1,19000
2019,2,عسير,بلقرن,شقة - سكني,5,16400
2019,2,عسير,بيشة,شقة - سكني,13,15235.5
2019,2,عسير,تثليث,شقة - سكني,3,12000
2019,2,عسير,خميس مشيط,شقة - سكني,352,17045.73941
2019,2,عسير,سراة عبيدة,شقة - سكني,4,12750
2019,2,عسير,ظهران الجنوب,شقة - سكني,6,9666.666666
2019,2,عسير,محائل,شقة - سكني,38,17217.14286
2019,2,عسير,أبها,فيلا - سكني,3,43666.66667
2019,2,عسير,خميس مشيط,فيلا - سكني,6,38500
2019,2,عسير,أبها,محل - تجاري,8,758.462911
2019,2,عسير,البشائر,محل - تجاري,1,176.14679
2019,2,عسير,المجاردة,محل - تجاري,1,166.66667
2019,2,عسير,النماص,محل - تجاري,2,475
2019,2,عسير,بلقرن,محل - تجاري,1,277.77778
2019,2,عسير,تثليث,محل - تجاري,1,600
2019,2,عسير,تنومة,محل - تجاري,3,184.82906
2019,2,عسير,خميس مشيط,محل - تجاري,15,364.908796
2019,2,عسير,محائل,محل - تجاري,1,60
2019,2,عسير,خميس مشيط,معرض تجاري - تجاري,1,1666.66667
2019,2,عسير,أبها,مكتب - تجاري,2,296.875
2019,2,عسير,أحد رفيدة - الواديين,مكتب - تجاري,1,300
2019,2,عسير,خميس مشيط,مكتب - تجاري,1,539.21569
2019,3,عسير,أبها,استديو - سكني,11,9200
2019,3,عسير,أحد رفيدة - الواديين,استديو - سكني,1,5000
2019,3,عسير,المجاردة,استديو - سكني,1,8400
2019,3,عسير,النماص,استديو - سكني,1,8000
2019,3,عسير,خميس مشيط,استديو - سكني,7,13680
2019,3,عسير,سراة عبيدة,استديو - سكني,1,6000
2019,3,عسير,ظهران الجنوب,استديو - سكني,5,6000
2019,3,عسير,أبها,دوبلاكس - سكني,3,22000
2019,3,عسير,بلقرن,دوبلاكس - سكني,1,12000
2019,3,عسير,خميس مشيط,دوبلاكس - سكني,2,14600
2019,3,عسير,محائل,دوبلاكس - سكني,1,16800
2019,3,عسير,أبها,دور - سكني,45,23507.33333
2019,3,عسير,أحد رفيدة - الواديين,دور - سكني,1,25200
2019,3,عسير,البرك,دور - سكني,1,50000
2019,3,عسير,البشائر,دور - سكني,1,10000
2019,3,عسير,النماص,دور - سكني,1,19200
2019,3,عسير,تثليث,دور - سكني,1,12000
2019,3,عسير,تنومة,دور - سكني,2,16854.5
2019,3,عسير,خميس مشيط,دور - سكني,32,20003.90323
2019,3,عسير,محائل,دور - سكني,2,21700
2019,3,عسير,أبها,شقة - سكني,658,19009.20765
2019,3,عسير,أحد رفيدة - الواديين,شقة - سكني,11,18666.1
2019,3,عسير,البشائر,شقة - سكني,7,11866.66667
2019,3,عسير,المجاردة,شقة - سكني,56,12105.08
2019,3,عسير,النماص,شقة - سكني,5,18200
2019,3,عسير,بلسمر,شقة - سكني,2,13500
2019,3,عسير,بلقرن,شقة - سكني,20,16444.44444
2019,3,عسير,بيشة,شقة - سكني,31,14589.3
2019,3,عسير,تثليث,شقة - سكني,13,12000
2019,3,عسير,تنومة,شقة - سكني,5,20920
2019,3,عسير,خميس مشيط,شقة - سكني,479,17878.92326
2019,3,عسير,سراة عبيدة,شقة - سكني,9,17300.5
2019,3,عسير,ظهران الجنوب,شقة - سكني,12,15181.81818
2019,3,عسير,محائل,شقة - سكني,73,17480.27692
2019,3,عسير,أبها,فيلا - سكني,5,34320
2019,3,عسير,المجاردة,فيلا - سكني,1,18000
2019,3,عسير,خميس مشيط,فيلا - سكني,1,33000
2019,3,عسير,أبها,محل - تجاري,50,635.620877
2019,3,عسير,أحد رفيدة - الواديين,محل - تجاري,1,1166.66667
2019,3,عسير,البشائر,محل - تجاري,3,174.951266
2019,3,عسير,العطوف (صبح),محل - تجاري,1,3400
2019,3,عسير,المجاردة,محل - تجاري,5,210.77407
2019,3,عسير,النماص,محل - تجاري,4,446.980562
2019,3,عسير,بلقرن,محل - تجاري,6,188
2019,3,عسير,بيشة,محل - تجاري,1,227.27273
2019,3,عسير,تنومة,محل - تجاري,5,203.42183
2019,3,عسير,خميس مشيط,محل - تجاري,37,514.213329
2019,3,عسير,ظهران الجنوب,محل - تجاري,2,507.102275
2019,3,عسير,محائل,محل - تجاري,9,1037.980768
2019,3,عسير,أبها,مكتب - تجاري,2,480.39216
2019,3,عسير,خميس مشيط,مكتب - تجاري,3,301.5873
2019,3,عسير,سراة عبيدة,مكتب - تجاري,1,178.57143
