السنة,الربع,المنطقة,المدينة,نوع العقار,مجموع الصفقات,المتوسط
2019,1,الجوف,دومة الجندل,استديو - سكني,1,7800
2019,1,الجوف,سكاكا,استديو - سكني,56,10782.66667
2019,1,الجوف,القريات,دوبلاكس - سكني,2,17700
2019,1,الجوف,سكاكا,دوبلاكس - سكني,4,12450
2019,1,الجوف,القريات,دور - سكني,2,16200
2019,1,الجوف,دومة الجندل,دور - سكني,1,21000
2019,1,الجوف,سكاكا,دور - سكني,6,20166.66667
2019,1,الجوف,العيساوية,شقة - سكني,1,6000
2019,1,الجوف,القريات,شقة - سكني,36,11847.13793
2019,1,الجوف,دومة الجندل,شقة - سكني,27,11900.34783
2019,1,الجوف,سكاكا,شقة - سكني,214,12314.67442
2019,1,الجوف,صوير,شقة - سكني,3,14400
2019,1,الجوف,طبرجل,شقة - سكني,4,11250
2019,1,الجوف,القريات,فيلا - سكني,1,18000
2019,1,الجوف,القريات,محل - تجاري,7,237.55156
2019,1,الجوف,سكاكا,محل - تجاري,6,214.444445
2019,1,الجوف,القريات,معرض تجاري - تجاري,1,83.72093
2019,2,الجوف,القريات,استديو - سكني,1,8400
2019,2,الجوف,سكاكا,استديو - سكني,16,17900
2019,2,الجوف,القريات,دوبلاكس - سكني,2,17181.5
2019,2,الجوف,القريات,دور - سكني,5,15867.25
2019,2,الجوف,سكاكا,دور - سكني,11,25009.90909
2019,2,الجوف,العيساوية,شقة - سكني,1,6000
2019,2,الجوف,القريات,شقة - سكني,50,11703.43182
2019,2,الجوف,دومة الجندل,شقة - سكني,37,11871.16129
2019,2,الجوف,سكاكا,شقة - سكني,264,13064.66071
2019,2,الجوف,صوير,شقة - سكني,2,15600
2019,2,الجوف,طبرجل,شقة - سكني,1,7200
2019,2,الجوف,سكاكا,فيلا - سكني,4,32000
2019,2,الجوف,القريات,محل - تجاري,1,266.66667
2019,2,الجوف,دومة الجندل,محل - تجاري,1,450
2019,2,الجوف,سكاكا,محل - تجاري,31,356.806714
2019,2,الجوف,سكاكا,معرض تجاري - تجاري,2,198.4127
2019,2,الجوف,سكاكا,مكتب - تجاري,1,75
2019,3,الجوف,القريات,استديو - سكني,2,18000
2019,3,الجوف,سكاكا,استديو - سكني,90,11582.6087
2019,3,الجوف,القريات,دوبلاكس - سكني,2,19800
2019,3,الجوف,دومة الجندل,دوبلاكس - سكني,1,24600
2019,3,الجوف,سكاكا,دوبلاكس - سكني,1,10200
2019,3,الجوف,القريات,دور - سكني,15,15493.33333
2019,3,الجوف,دومة الجندل,دور - سكني,2,12000
2019,3,الجوف,سكاكا,دور - سكني,15,20906.66667
2019,3,الجوف,صوير,دور - سكني,2,15300
2019,3,الجوف,طبرجل,دور - سكني,1,6000
