year,quarter,region_ar,city_ar,Category,total_deals,average
2019,1,المنطقة الشرقية,الاحساء,استديو - سكني,119,13884.95146
2019,1,المنطقة الشرقية,الجبيل,استديو - سكني,48,11644.44444
2019,1,المنطقة الشرقية,الخبر,استديو - سكني,328,13024.09722
2019,1,المنطقة الشرقية,الخفجي,استديو - سكني,3,10066.66667
2019,1,المنطقة الشرقية,الدمام,استديو - سكني,543,11609.30876
2019,1,المنطقة الشرقية,العيون,استديو - سكني,1,7000
2019,1,المنطقة الشرقية,القطيف,استديو - سكني,5,8820
2019,1,المنطقة الشرقية,النعيرية,استديو - سكني,2,23400
2019,1,المنطقة الشرقية,حفر الباطن,استديو - سكني,7,13920
2019,1,المنطقة الشرقية,رأس تنورة,استديو - سكني,15,9857.142857
2019,1,المنطقة الشرقية,الاحساء,دوبلاكس - سكني,24,21576.69565
2019,1,المنطقة الشرقية,الجبيل,دوبلاكس - سكني,10,30300
2019,1,المنطقة الشرقية,الخبر,دوبلاكس - سكني,52,46759.96
2019,1,المنطقة الشرقية,الخفجي,دوبلاكس - سكني,1,23500
2019,1,المنطقة الشرقية,الدمام,دوبلاكس - سكني,86,41116.47059
2019,1,المنطقة الشرقية,القطيف,دوبلاكس - سكني,21,26500.9
2019,1,المنطقة الشرقية,رأس تنورة,دوبلاكس - سكني,2,14000
2019,1,المنطقة الشرقية,الاحساء,دور - سكني,92,14500.86585
2019,1,المنطقة الشرقية,الجبيل,دور - سكني,4,36750
2019,1,المنطقة الشرقية,الخبر,دور - سكني,51,29025.64103
2019,1,المنطقة الشرقية,الخفجي,دور - سكني,2,25000
2019,1,المنطقة الشرقية,الدمام,دور - سكني,135,34087.1626
2019,1,المنطقة الشرقية,العيون,دور - سكني,10,13019.77778
2019,1,المنطقة الشرقية,القطيف,دور - سكني,14,22058.42857
2019,1,المنطقة الشرقية,القيصومة,دور - سكني,1,8400
2019,1,المنطقة الشرقية,النعيرية,دور - سكني,6,17500
2019,1,المنطقة الشرقية,بقيق,دور - سكني,1,27000
2019,1,المنطقة الشرقية,حفر الباطن,دور - سكني,14,13576.15385
2019,1,المنطقة الشرقية,رأس تنورة,دور - سكني,8,29389.57143
2019,1,المنطقة الشرقية,الاحساء,شقة - سكني,2222,13055.69442
2019,1,المنطقة الشرقية,الجبيل,شقة - سكني,1855,19384.93064
2019,1,المنطقة الشرقية,الخبر,شقة - سكني,3275,19945.38665
2019,1,المنطقة الشرقية,الخفجي,شقة - سكني,80,14358.37288
2019,1,المنطقة الشرقية,الدمام,شقة - سكني,5987,18169.8938
2019,1,المنطقة الشرقية,الذيبية,شقة - سكني,2,18000
2019,1,المنطقة الشرقية,العيون,شقة - سكني,47,14969.82927
2019,1,المنطقة الشرقية,القطيف,شقة - سكني,469,17422.9
2019,1,المنطقة الشرقية,القيصومة,شقة - سكني,22,15594.21053
2019,1,المنطقة الشرقية,النعيرية,شقة - سكني,42,13590.52632
2019,1,المنطقة الشرقية,بقيق,شقة - سكني,10,16054.5
2019,1,المنطقة الشرقية,حفر الباطن,شقة - سكني,146,12400.65546
2019,1,المنطقة الشرقية,رأس تنورة,شقة - سكني,260,16616.47706
2019,1,المنطقة الشرقية,الاحساء,فيلا - سكني,10,24100
2019,1,المنطقة الشرقية,الخبر,فيلا - سكني,43,62000.11905
2019,1,المنطقة الشرقية,الدمام,فيلا - سكني,87,49385.3
2019,1,المنطقة الشرقية,القطيف,فيلا - سكني,2,24681.5
2019,1,المنطقة الشرقية,القيصومة,فيلا - سكني,1,14400
2019,1,المنطقة الشرقية,بقيق,فيلا - سكني,1,32000
2019,1,المنطقة الشرقية,الاحساء,محل - تجاري,12,434.69795
2019,1,المنطقة الشرقية,الجبيل,محل - تجاري,4,468.25579
2019,1,المنطقة الشرقية,الخبر,محل - تجاري,26,488.548125
2019,1,المنطقة الشرقية,الخفجي,محل - تجاري,2,186.567165
2019,1,المنطقة الشرقية,الدمام,محل - تجاري,45,473.70575
2019,1,المنطقة الشرقية,القطيف,محل - تجاري,8,418.506697
2019,1,المنطقة الشرقية,حفر الباطن,محل - تجاري,26,974.838297
2019,1,المنطقة الشرقية,رأس تنورة,محل - تجاري,2,166.666665
2019,1,المنطقة الشرقية,الاحساء,معرض تجاري - تجاري,2,366.666665
2019,1,المنطقة الشرقية,الدمام,معرض تجاري - تجاري,3,425
2019,1,المنطقة الشرقية,الاحساء,مكتب - تجاري,1,142.85714
2019,1,المنطقة الشرقية,الجبيل,مكتب - تجاري,2,227.63692
2019,1,المنطقة الشرقية,الخبر,مكتب - تجاري,4,460.535715
2019,1,المنطقة الشرقية,الدمام,مكتب - تجاري,25,227.015306
2019,1,المنطقة الشرقية,القطيف,مكتب - تجاري,4,297.467212
2019,1,المنطقة الشرقية,رأس تنورة,مكتب - تجاري,1,258.06452
2019,2,المنطقة الشرقية,الاحساء,استديو - سكني,109,11520.89109
2019,2,المنطقة الشرقية,الجبيل,استديو - سكني,45,11831.11111
2019,2,المنطقة الشرقية,الخبر,استديو - سكني,278,13824.81308
2019,2,المنطقة الشرقية,الخفجي,استديو - سكني,10,11466.66667
2019,2,المنطقة الشرقية,الدمام,استديو - سكني,511,11612.21991
2019,2,المنطقة الشرقية,القطيف,استديو - سكني,6,13240
2019,2,المنطقة الشرقية,النعيرية,استديو - سكني,5,13680
2019,2,المنطقة الشرقية,حفر الباطن,استديو - سكني,29,14896
2019,2,المنطقة الشرقية,رأس تنورة,استديو - سكني,14,9415.384615
2019,2,المنطقة الشرقية,الاحساء,دوبلاكس - سكني,14,21392.30769
2019,2,المنطقة الشرقية,الجبيل,دوبلاكس - سكني,8,34000
2019,2,المنطقة الشرقية,الخبر,دوبلاكس - سكني,134,58640.51938
2019,2,المنطقة الشرقية,الدمام,دوبلاكس - سكني,110,35775.44762
2019,2,المنطقة الشرقية,القطيف,دوبلاكس - سكني,11,28111.11111
2019,2,المنطقة الشرقية,حفر الباطن,دوبلاكس - سكني,1,20000
2019,2,المنطقة الشرقية,رأس تنورة,دوبلاكس - سكني,3,28833.33333
2019,2,المنطقة الشرقية,الاحساء,دور - سكني,77,19895.78082
2019,2,المنطقة الشرقية,الجبيل,دور - سكني,3,55166.66667
2019,2,المنطقة الشرقية,الخبر,دور - سكني,70,32874.5082
2019,2,المنطقة الشرقية,الخفجي,دور - سكني,3,20266.66667
2019,2,المنطقة الشرقية,الدمام,دور - سكني,175,28183.42763
2019,2,المنطقة الشرقية,العيون,دور - سكني,9,14314.28571
2019,2,المنطقة الشرقية,القطيف,دور - سكني,8,19427.25
2019,2,المنطقة الشرقية,القيصومة,دور - سكني,4,13500
2019,2,المنطقة الشرقية,النعيرية,دور - سكني,9,14870
2019,2,المنطقة الشرقية,بقيق,دور - سكني,4,24250
2019,2,المنطقة الشرقية,حفر الباطن,دور - سكني,24,12944.91304
2019,2,المنطقة الشرقية,رأس تنورة,دور - سكني,9,21613.5
2019,2,المنطقة الشرقية,الاحساء,شقة - سكني,1926,13437.54174
2019,2,المنطقة الشرقية,الجبيل,شقة - سكني,1069,20103.08571
2019,2,المنطقة الشرقية,الخبر,شقة - سكني,3390,20298.38882
