السنة,الربع,المنطقة,المدينة,نوع العقار,مجموع الصفقات,المتوسط
2019,1,حائل,حائل,استديو - سكني,19,10952.94118
2019,1,حائل,حائل,دوبلاكس - سكني,18,24295.94444
2019,1,حائل,السليمي,دور - سكني,1,17000
2019,1,حائل,بقعاء,دور - سكني,3,10833.33333
2019,1,حائل,حائل,دور - سكني,99,17150.05682
2019,1,حائل,السليمي,شقة - سكني,1,15000
2019,1,حائل,الشملى,شقة - سكني,1,10000
2019,1,حائل,تربة,شقة - سكني,1,8400
2019,1,حائل,حائل,شقة - سكني,478,13800.70737
2019,1,حائل,بقعاء,فيلا - سكني,1,20400
2019,1,حائل,حائل,فيلا - سكني,17,19880
2019,1,حائل,حائل,محل - تجاري,5,358.482204
2019,1,حائل,حائل,مكتب - تجاري,3,289.68254
2019,2,حائل,حائل,استديو - سكني,18,9094.444444
2019,2,حائل,حائل,دوبلاكس - سكني,28,19382.5
2019,2,حائل,الحائط,دور - سكني,1,20400
2019,2,حائل,بقعاء,دور - سكني,2,12500
2019,2,حائل,تربة,دور - سكني,1,13200
2019,2,حائل,حائل,دور - سكني,117,17158.13333
2019,2,حائل,الحائط,شقة - سكني,1,9600
2019,2,حائل,السليمي,شقة - سكني,3,13666.66667
2019,2,حائل,بقعاء,شقة - سكني,1,7200
2019,2,حائل,تربة,شقة - سكني,1,10800
2019,2,حائل,جبة,شقة - سكني,1,15000
2019,2,حائل,حائل,شقة - سكني,650,13682.11223
2019,2,حائل,بقعاء,فيلا - سكني,2,15000
2019,2,حائل,حائل,فيلا - سكني,17,20906.8125
2019,2,حائل,حائل,محل - تجاري,46,421.970312
2019,2,حائل,حائل,مكتب - تجاري,3,253.535353
2019,3,حائل,حائل,استديو - سكني,48,13050.95238
2019,3,حائل,بقعاء,دوبلاكس - سكني,1,10200
2019,3,حائل,حائل,دوبلاكس - سكني,47,18683.31707
2019,3,حائل,الحائط,دور - سكني,1,24000
2019,3,حائل,بقعاء,دور - سكني,1,12000
2019,3,حائل,تربة,دور - سكني,2,15300
2019,3,حائل,حائل,دور - سكني,164,18448.52349
2019,3,حائل,الحائط,شقة - سكني,1,6000
2019,3,حائل,بقعاء,شقة - سكني,7,11171.42857
2019,3,حائل,جبة,شقة - سكني,1,18000
2019,3,حائل,حائل,شقة - سكني,909,13456.46535
2019,3,حائل,سميراء,شقة - سكني,1,10000
2019,3,حائل,بقعاء,فيلا - سكني,7,10457.14286
2019,3,حائل,حائل,فيلا - سكني,26,27003.6
2019,3,حائل,بقعاء,محل - تجاري,2,300
2019,3,حائل,حائل,محل - تجاري,165,469.872759
2019,3,حائل,حائل,معرض تجاري - تجاري,1,350
2019,3,حائل,حائل,مكتب - تجاري,3,276.363635
2019,4,حائل,حائل,استديو - سكني,46,13238.10256
2019,4,حائل,حائل,دوبلاكس - سكني,25,20352
2019,4,حائل,بقعاء,دور - سكني,6,11860
2019,4,حائل,حائل,دور - سكني,185,16938.74522
2019,4,حائل,سميراء,دور - سكني,1,10000
2019,4,حائل,بقعاء,شقة - سكني,19,9435.631578
2019,4,حائل,تربة,شقة - سكني,1,12000
2019,4,حائل,جبة,شقة - سكني,1,14400
2019,4,حائل,حائل,شقة - سكني,1064,13401.86752
2019,4,حائل,سميراء,شقة - سكني,1,5000
2019,4,حائل,بقعاء,فيلا - سكني,3,19666.66667
2019,4,حائل,حائل,فيلا - سكني,22,22140
2019,4,حائل,بقعاء,محل - تجاري,2,228.58146
2019,4,حائل,حائل,محل - تجاري,194,402.162642
2019,4,حائل,حائل,معرض تجاري - تجاري,2,305
2019,4,حائل,حائل,مكتب - تجاري,2,304.545455
2020,1,حائل,حائل,استديو - سكني,47,11827.27273
2020,1,حائل,حائل,دوبلاكس - سكني,31,24073.9
2020,1,حائل,بقعاء,دور - سكني,5,11440
2020,1,حائل,تربة,دور - سكني,1,12000
2020,1,حائل,حائل,دور - سكني,177,16789.28859
2020,1,حائل,الحائط,شقة - سكني,2,5822.5
2020,1,حائل,الشملى,شقة - سكني,2,10800
2020,1,حائل,بقعاء,شقة - سكني,43,9225.428571
2020,1,حائل,تربة,شقة - سكني,3,12000
2020,1,حائل,جبة,شقة - سكني,1,12000
2020,1,حائل,حائل,شقة - سكني,1094,13212.64509
2020,1,حائل,بقعاء,فيلا - سكني,1,12000
2020,1,حائل,حائل,فيلا - سكني,25,21345.83333
2020,1,حائل,بقعاء,محل - تجاري,1,300
2020,1,حائل,حائل,محل - تجاري,223,428.830963
2020,1,حائل,حائل,معرض تجاري - تجاري,4,369.4234
2020,1,حائل,حائل,مكتب - تجاري,6,191.104723
2020,2,حائل,حائل,استديو - سكني,45,17596.55172
2020,2,حائل,بقعاء,دوبلاكس - سكني,1,12000
2020,2,حائل,حائل,دوبلاكس - سكني,24,25965.6087
2020,2,حائل,بقعاء,دور - سكني,13,10753.84615
2020,2,حائل,حائل,دور - سكني,182,16375.15094
2020,2,حائل,الأجفر,شقة - سكني,3,11866.66667
2020,2,حائل,الحائط,شقة - سكني,1,5000
2020,2,حائل,الشملى,شقة - سكني,1,15000
2020,2,حائل,بقعاء,شقة - سكني,81,9277.028571
2020,2,حائل,تربة,شقة - سكني,25,8500
2020,2,حائل,جبة,شقة - سكني,4,10650
2020,2,حائل,حائل,شقة - سكني,1290,11891.55616
2020,2,حائل,سميراء,شقة - سكني,1,6000
2020,2,حائل,بقعاء,فيلا - سكني,3,15100
2020,2,حائل,تربة,فيلا - سكني,1,13200
2020,2,حائل,حائل,فيلا - سكني,35,22609.28571
2020,2,حائل,الشملى,محل - تجاري,2,340
2020,2,حائل,بقعاء,محل - تجاري,2,154.23729
2020,2,حائل,تربة,محل - تجاري,2,340
2020,2,حائل,حائل,محل - تجاري,155,390.929621
2020,2,حائل,حائل,معرض تجاري - تجاري,1,333.33333
2020,2,حائل,حائل,مكتب - تجاري,4,319.73485
2020,3,حائل,الأجفر,استديو - سكني,1,6000
2020,3,حائل,جبة,استديو - سكني,2,11150
2020,3,حائل,حائل,استديو - سكني,121,10423.72549
2020,3,حائل,بقعاء,دوبلاكس - سكني,1,8400
2020,3,حائل,حائل,دوبلاكس - سكني,53,20312.04255
2020,3,حائل,الأجفر,دور - سكني,2,8300
2020,3,حائل,الشملى,دور - سكني,1,20400
2020,3,حائل,بقعاء,دور - سكني,17,9280
2020,3,حائل,تربة,دور - سكني,15,7093.333333
2020,3,حائل,حائل,دور - سكني,337,17744.59643
2020,3,حائل,سميراء,دور - سكني,1,10000
2020,3,حائل,الأجفر,شقة - سكني,6,8000
2020,3,حائل,الحائط,شقة - سكني,11,7241.428571
2020,3,حائل,السليمي,شقة - سكني,3,7400
2020,3,حائل,الشملى,شقة - سكني,2,6000
2020,3,حائل,بقعاء,شقة - سكني,104,8219.506666
2020,3,حائل,تربة,شقة - سكني,64,6786.206896
2020,3,حائل,جبة,شقة - سكني,7,10192.14286
2020,3,حائل,حائل,شقة - سكني,2355,11802.78764
2020,3,حائل,سميراء,شقة - سكني,4,7250
2020,3,حائل,بقعاء,فيلا - سكني,1,15600
2020,3,حائل,تربة,فيلا - سكني,1,12000
2020,3,حائل,حائل,فيلا - سكني,60,22840.92593
2020,3,حائل,الأجفر,محل - تجاري,2,366.666665
2020,3,حائل,السليمي,محل - تجاري,1,350
2020,3,حائل,الشملى,محل - تجاري,1,342.85714
2020,3,حائل,بقعاء,محل - تجاري,30,407.218028
2020,3,حائل,تربة,محل - تجاري,11,336.532135
2020,3,حائل,جبة,محل - تجاري,2,196.666665
2020,3,حائل,حائل,محل - تجاري,576,437.81239
2020,3,حائل,حائل,معرض تجاري - تجاري,3,341.666666
2020,3,حائل,بقعاء,مكتب - تجاري,3,240
2020,3,حائل,تربة,مكتب - تجاري,1,14.91301
2020,3,حائل,حائل,مكتب - تجاري,11,227.595074
2020,4,حائل,حائل,استديو - سكني,91,10247.63158
2020,4,حائل,حائل,دوبلاكس - سكني,43,21998.25
2020,4,حائل,بقعاء,دور - سكني,4,9150
2020,4,حائل,تربة,دور - سكني,1,18000
2020,4,حائل,حائل,دور - سكني,275,17109.54701
2020,4,حائل,الأجفر,شقة - سكني,1,6000
2020,4,حائل,الحائط,شقة - سكني,1,9600
2020,4,حائل,الشملى,شقة - سكني,2,6500
2020,4,حائل,بقعاء,شقة - سكني,37,8459.551724
2020,4,حائل,تربة,شقة - سكني,3,8000
2020,4,حائل,جبة,شقة - سكني,2,9900
2020,4,حائل,حائل,شقة - سكني,1686,12997.44008
2020,4,حائل,سميراء,شقة - سكني,2,12000
2020,4,حائل,بقعاء,فيلا - سكني,3,14333.33333
2020,4,حائل,حائل,فيلا - سكني,31,22877.18519
2020,4,حائل,الأجفر,محل - تجاري,5,403.055555
2020,4,حائل,الحائط,محل - تجاري,2,227.5
2020,4,حائل,الشملى,محل - تجاري,1,500
2020,4,حائل,بقعاء,محل - تجاري,30,358.735678
2020,4,حائل,تربة,محل - تجاري,2,155.604395
2020,4,حائل,جبة,محل - تجاري,1,200
2020,4,حائل,حائل,محل - تجاري,724,462.795391
2020,4,حائل,سميراء,محل - تجاري,1,51.60494
2020,4,حائل,بقعاء,معرض تجاري - تجاري,1,37.87879
2020,4,حائل,حائل,معرض تجاري - تجاري,5,289.937282
2020,4,حائل,حائل,مكتب - تجاري,21,230.295854
2021,1,حائل,الحائط,استديو - سكني,1,4800
2021,1,حائل,بقعاء,استديو - سكني,8,7500
2021,1,حائل,حائل,استديو - سكني,95,14112.42424
2021,1,حائل,حائل,دوبلاكس - سكني,27,21903.84615
2021,1,حائل,الأجفر,دور - سكني,1,12000
2021,1,حائل,بقعاء,دور - سكني,4,8325
2021,1,حائل,تربة,دور - سكني,3,9666.666666
2021,1,حائل,حائل,دور - سكني,298,16500.73913
2021,1,حائل,الحائط,شقة - سكني,8,10500
2021,1,حائل,بقعاء,شقة - سكني,38,9048.571428
2021,1,حائل,تربة,شقة - سكني,12,8875
2021,1,حائل,جبة,شقة - سكني,1,18000
2021,1,حائل,حائل,شقة - سكني,1807,12957.01566
2021,1,حائل,سميراء,شقة - سكني,2,5000
2021,1,حائل,حائل,فيلا - سكني,31,23368.32258
2021,1,حائل,الأجفر,محل - تجاري,3,373.015873
2021,1,حائل,الحائط,محل - تجاري,1,300
2021,1,حائل,الشملى,محل - تجاري,4,337.5
2021,1,حائل,بقعاء,محل - تجاري,19,261.801696
2021,1,حائل,تربة,محل - تجاري,7,325.85034
2021,1,حائل,جبة,محل - تجاري,1,200
2021,1,حائل,حائل,محل - تجاري,613,450.170187
2021,1,حائل,حائل,معرض تجاري - تجاري,9,574.888435
2021,1,حائل,بقعاء,مكتب - تجاري,1,95.89041
2021,1,حائل,حائل,مكتب - تجاري,15,293.630674
2021,2,حائل,حائل,استديو - سكني,58,12157.69231
2021,2,حائل,حائل,دوبلاكس - سكني,20,23911.76471
2021,2,حائل,بقعاء,دور - سكني,10,9822.222222
2021,2,حائل,حائل,دور - سكني,153,16424.49091
2021,2,حائل,الأجفر,شقة - سكني,1,12000
2021,2,حائل,الحائط,شقة - سكني,15,7200
