السنة,الربع,المنطقة,المدينة,نوع العقار,مجموع الصفقات,المتوسط
2019,1,جازان,أبو عريش - أبو عريش,استديو - سكني,1,12000
2019,1,جازان,بيش,استديو - سكني,7,10971.42857
2019,1,جازان,جازان,استديو - سكني,26,16572.72727
2019,1,جازان,صامطة,استديو - سكني,2,10800
2019,1,جازان,صبياء,استديو - سكني,2,14400
2019,1,جازان,جازان,دوبلاكس - سكني,2,16200
2019,1,جازان,أبو عريش - أبو عريش,دور - سكني,2,19800
2019,1,جازان,جازان,دور - سكني,10,27172.625
2019,1,جازان,صبياء,دور - سكني,2,27000
2019,1,جازان,أبو عريش - أبو عريش,شقة - سكني,76,20210
2019,1,جازان,أحد المسارحة,شقة - سكني,11,21785.45455
2019,1,جازان,بيش,شقة - سكني,54,20430.92308
2019,1,جازان,جازان,شقة - سكني,727,19456.34409
2019,1,جازان,صامطة,شقة - سكني,28,20542.65385
2019,1,جازان,صبياء,شقة - سكني,143,19587.19259
2019,1,جازان,ضمد,شقة - سكني,6,19881.75
2019,1,جازان,جازان,فيلا - سكني,1,21600
2019,1,جازان,جازان,محل - تجاري,8,327.294372
2019,1,جازان,صامطة,محل - تجاري,5,430.036762
2019,1,جازان,ضمد,محل - تجاري,8,460.808993
2019,2,جازان,أبو عريش - أبو عريش,استديو - سكني,2,10800
2019,2,جازان,بيش,استديو - سكني,1,10800
2019,2,جازان,جازان,استديو - سكني,20,12126.31579
2019,2,جازان,صبياء,استديو - سكني,1,14400
2019,2,جازان,ضمد,استديو - سكني,1,12000
2019,2,جازان,أبو عريش - أبو عريش,دور - سكني,3,21345.33333
2019,2,جازان,بيش,دور - سكني,1,24000
2019,2,جازان,جازان,دور - سكني,6,31483.33333
2019,2,جازان,صامطة,دور - سكني,1,36000
2019,2,جازان,صبياء,دور - سكني,1,9600
2019,2,جازان,ضمد,دور - سكني,1,12000
2019,2,جازان,أبو عريش - أبو عريش,شقة - سكني,112,20055.06863
2019,2,جازان,أحد المسارحة,شقة - سكني,41,21178.37838
2019,2,جازان,بيش,شقة - سكني,67,15767.44737
2019,2,جازان,جازان,شقة - سكني,961,19720.48734
2019,2,جازان,صامطة,شقة - سكني,40,19037.83784
2019,2,جازان,صامطة - القائم,شقة - سكني,1,6000
2019,2,جازان,صبياء,شقة - سكني,164,19263.52318
2019,2,جازان,ضمد,شقة - سكني,30,18929.10345
2019,2,جازان,أبو عريش - أبو عريش,محل - تجاري,12,687.291486
2019,2,جازان,بيش,محل - تجاري,5,899.772727
2019,2,جازان,جازان,محل - تجاري,14,691.935607
2019,2,جازان,صامطة,محل - تجاري,6,459.124733
2019,2,جازان,صبياء,محل - تجاري,9,642.736323
2019,2,جازان,ضمد,محل - تجاري,6,254.003638
2019,2,جازان,صبياء,معرض تجاري - تجاري,1,1133.33333
2019,2,جازان,صبياء,مكتب - تجاري,1,750
2019,3,جازان,أبو عريش - أبو عريش,استديو - سكني,2,31200
2019,3,جازان,بيش,استديو - سكني,2,13500
2019,3,جازان,جازان,استديو - سكني,44,14471.42857
2019,3,جازان,صامطة,استديو - سكني,1,9600
2019,3,جازان,صبياء,استديو - سكني,1,21600
2019,3,جازان,ضمد,استديو - سكني,1,9600
2019,3,جازان,جازان,دوبلاكس - سكني,6,30223.83333
2019,3,جازان,أبو عريش - أبو عريش,دور - سكني,2,22200
2019,3,جازان,أحد المسارحة,دور - سكني,2,15000
2019,3,جازان,جازان,دور - سكني,6,21753.33333
2019,3,جازان,صامطة,دور - سكني,5,20400
2019,3,جازان,صامطة - القائم,دور - سكني,1,24000
2019,3,جازان,صبياء,دور - سكني,2,18300
2019,3,جازان,ضمد,دور - سكني,1,12000
2019,3,جازان,أبو عريش - أبو عريش,شقة - سكني,246,18342.48739
2019,3,جازان,أحد المسارحة,شقة - سكني,58,19824.4898
2019,3,جازان,احد المسارحة - المنجاره,شقة - سكني,1,18000
2019,3,جازان,البيطاريه,شقة - سكني,2,22800
2019,3,جازان,بيش,شقة - سكني,85,16769.88525
2019,3,جازان,جازان,شقة - سكني,1319,19659.09288
2019,3,جازان,صامطة,شقة - سكني,59,17962.07547
2019,3,جازان,صامطة - القائم,شقة - سكني,2,26400
2019,3,جازان,صبياء,شقة - سكني,289,19615.22222
2019,3,جازان,ضمد,شقة - سكني,27,18427.6
2019,3,جازان,أبو عريش - أبو عريش,محل - تجاري,39,588.744775
2019,3,جازان,بيش,محل - تجاري,18,788.264534
2019,3,جازان,جازان,محل - تجاري,62,634.210925
2019,3,جازان,صامطة,محل - تجاري,20,1057.228987
2019,3,جازان,صبياء,محل - تجاري,18,517.608288
2019,3,جازان,ضمد,محل - تجاري,17,384.02115
2019,3,جازان,أحد المسارحة,مكتب - تجاري,1,480
2019,3,جازان,جازان,مكتب - تجاري,9,396.260164
2019,3,جازان,صبياء,مكتب - تجاري,2,406.285715
2019,4,جازان,بيش,استديو - سكني,2,6000
2019,4,جازان,جازان,استديو - سكني,43,15282.05128
2019,4,جازان,صامطة,استديو - سكني,1,10800
2019,4,جازان,صبياء,استديو - سكني,1,14400
2019,4,جازان,ضمد,استديو - سكني,2,7200
2019,4,جازان,جازان,دوبلاكس - سكني,1,18000
2019,4,جازان,أبو عريش - أبو عريش,دور - سكني,3,30400
2019,4,جازان,أحد المسارحة,دور - سكني,2,24000
2019,4,جازان,جازان,دور - سكني,12,29040
2019,4,جازان,صامطة,دور - سكني,4,32233.25
2019,4,جازان,صبياء,دور - سكني,3,22400
2019,4,جازان,أبو عريش - أبو عريش,شقة - سكني,172,18703.06329
2019,4,جازان,أحد المسارحة,شقة - سكني,79,20000
2019,4,جازان,احد المسارحة - المنجاره,شقة - سكني,1,18000
2019,4,جازان,البيطاريه,شقة - سكني,3,17600
2019,4,جازان,بيش,شقة - سكني,166,18941.37931
2019,4,جازان,جازان,شقة - سكني,1256,18709.71521
2019,4,جازان,صامطة,شقة - سكني,71,17842.32813
2019,4,جازان,صبياء,شقة - سكني,280,19092.84127
2019,4,جازان,ضمد,شقة - سكني,38,15974.2069
2019,4,جازان,فرسان - فرسان,شقة - سكني,9,17325
2019,4,جازان,جازان,فيلا - سكني,2,52000
2019,4,جازان,صامطة,فيلا - سكني,1,14400
2019,4,جازان,أبو عريش - أبو عريش,محل - تجاري,14,519.8762
2019,4,جازان,أحد المسارحة,محل - تجاري,10,246.17162
2019,4,جازان,البيطاريه,محل - تجاري,2,500
2019,4,جازان,بيش,محل - تجاري,32,558.80441
2019,4,جازان,جازان,محل - تجاري,105,670.352362
2019,4,جازان,صامطة,محل - تجاري,88,742.23432
2019,4,جازان,صامطة - القائم,محل - تجاري,1,81.38904
2019,4,جازان,صبياء,محل - تجاري,33,681.301167
2019,4,جازان,ضمد,محل - تجاري,18,323.182278
2019,4,جازان,فرسان - فرسان,محل - تجاري,12,353.02021
2019,4,جازان,صامطة,معرض تجاري - تجاري,1,1620
2019,4,جازان,بيش,مكتب - تجاري,1,1071.42857
2019,4,جازان,جازان,مكتب - تجاري,12,402.752526
2019,4,جازان,صامطة,مكتب - تجاري,2,99.88506
2020,1,جازان,أبو عريش - أبو عريش,استديو - سكني,3,12000
2020,1,جازان,بيش,استديو - سكني,3,6000
2020,1,جازان,جازان,استديو - سكني,57,18635.89744
2020,1,جازان,صامطة,استديو - سكني,25,9950
2020,1,جازان,صبياء,استديو - سكني,2,55600
2020,1,جازان,ضمد,استديو - سكني,1,9000
2020,1,جازان,جازان,دوبلاكس - سكني,5,51120
2020,1,جازان,أبو عريش - أبو عريش,دور - سكني,4,21300
2020,1,جازان,بيش,دور - سكني,1,48000
2020,1,جازان,جازان,دور - سكني,14,29450
2020,1,جازان,صامطة,دور - سكني,12,24418.125
2020,1,جازان,صبياء,دور - سكني,8,16114.28571
2020,1,جازان,ضمد,دور - سكني,2,17400
2020,1,جازان,أبو عريش - أبو عريش,شقة - سكني,225,17554.64953
2020,1,جازان,أحد المسارحة,شقة - سكني,62,18075.86207
2020,1,جازان,البيطاريه,شقة - سكني,3,9066.666666
2020,1,جازان,بيش,شقة - سكني,111,15605.45556
2020,1,جازان,جازان,شقة - سكني,1341,19022.46645
2020,1,جازان,صامطة,شقة - سكني,154,15720.55072
2020,1,جازان,صامطة - القائم,شقة - سكني,5,15750
2020,1,جازان,صبياء,شقة - سكني,341,18747.4947
2020,1,جازان,ضمد,شقة - سكني,41,15034.94872
2020,1,جازان,فرسان - فرسان,شقة - سكني,21,13850
2020,1,جازان,جازان,فيلا - سكني,1,32400
2020,1,جازان,صبياء,فيلا - سكني,1,24000
2020,1,جازان,أبو عريش - أبو عريش,محل - تجاري,34,763.349696
2020,1,جازان,أحد المسارحة,محل - تجاري,9,841.61474
2020,1,جازان,بيش,محل - تجاري,16,462.961643
2020,1,جازان,جازان,محل - تجاري,88,758.40387
2020,1,جازان,صامطة,محل - تجاري,67,587.144579
2020,1,جازان,صبياء,محل - تجاري,27,728.921594
2020,1,جازان,ضمد,محل - تجاري,30,584.028438
2020,1,جازان,فرسان - فرسان,محل - تجاري,32,353.292822
2020,1,جازان,جازان,معرض تجاري - تجاري,1,373.85174
2020,1,جازان,صبياء,معرض تجاري - تجاري,1,181.81818
2020,1,جازان,أبو عريش - أبو عريش,مكتب - تجاري,2,453.75
2020,1,جازان,جازان,مكتب - تجاري,28,390.041311
2020,1,جازان,صامطة,مكتب - تجاري,5,677.02193
2020,1,جازان,صبياء,مكتب - تجاري,2,117.222745
2020,2,جازان,أبو عريش - أبو عريش,استديو - سكني,16,7760
2020,2,جازان,أحد المسارحة,استديو - سكني,1,12000
2020,2,جازان,جازان,استديو - سكني,38,13347.14286
2020,2,جازان,صامطة,استديو - سكني,39,12200
2020,2,جازان,صبياء,استديو - سكني,4,11200
2020,2,جازان,ضمد,استديو - سكني,3,11100
2020,2,جازان,أبو عريش - أبو عريش,دوبلاكس - سكني,1,24000
2020,2,جازان,جازان,دوبلاكس - سكني,3,22466.66667
2020,2,جازان,صامطة,دوبلاكس - سكني,2,13966.5
2020,2,جازان,صبياء,دوبلاكس - سكني,1,21600
2020,2,جازان,أبو عريش - أبو عريش,دور - سكني,5,53760
2020,2,جازان,أحد المسارحة,دور - سكني,2,14000
2020,2,جازان,بيش,دور - سكني,2,19750
2020,2,جازان,جازان,دور - سكني,9,24000
2020,2,جازان,صامطة,دور - سكني,4,17400
2020,2,جازان,صبياء,دور - سكني,3,19200
2020,2,جازان,ضمد,دور - سكني,2,28000
2020,2,جازان,أبو عريش - أبو عريش,شقة - سكني,358,13174.27848
2020,2,جازان,أحد المسارحة,شقة - سكني,82,15608.30986
2020,2,جازان,احد المسارحة - المنجاره,شقة - سكني,1,12000
2020,2,جازان,البيطاريه,شقة - سكني,4,11200
2020,2,جازان,بيش,شقة - سكني,174,13966.13861
2020,2,جازان,جازان,شقة - سكني,1177,18687.99024
2020,2,جازان,صامطة,شقة - سكني,210,15579.80105
2020,2,جازان,صامطة - القائم,شقة - سكني,6,18480
2020,2,جازان,صبياء,شقة - سكني,470,17177.66751
2020,2,جازان,ضمد,شقة - سكني,91,14841.64557
2020,2,جازان,فرسان - فرسان,شقة - سكني,10,11200
2020,2,جازان,أبو عريش - أبو عريش,فيلا - سكني,1,24000
2020,2,جازان,بيش,فيلا - سكني,2,35800
2020,2,جازان,جازان,فيلا - سكني,2,30600
2020,2,جازان,أبو عريش - أبو عريش,محل - تجاري,12,822.41603
2020,2,جازان,أحد المسارحة,محل - تجاري,2,823.129255
2020,2,جازان,بيش,محل - تجاري,9,712.614031
2020,2,جازان,جازان,محل - تجاري,85,644.732256
2020,2,جازان,صامطة,محل - تجاري,64,768.741471
2020,2,جازان,صبياء,محل - تجاري,82,450.901138
2020,2,جازان,ضمد,محل - تجاري,28,468.13308
2020,2,جازان,فرسان - فرسان,محل - تجاري,24,459.864181
2020,2,جازان,صبياء,معرض تجاري - تجاري,15,48.646616
2020,2,جازان,أبو عريش - أبو عريش,مكتب - تجاري,1,148.14815
2020,2,جازان,جازان,مكتب - تجاري,7,318.564815
2020,2,جازان,صامطة,مكتب - تجاري,2,218.57143
2020,2,جازان,صبياء,مكتب - تجاري,3,360
2020,3,جازان,أبو عريش - أبو عريش,استديو - سكني,37,10392.14286
2020,3,جازان,أحد المسارحة,استديو - سكني,3,12000
2020,3,جازان,بيش,استديو - سكني,1,6000
2020,3,جازان,جازان,استديو - سكني,73,13332.39437
2020,3,جازان,صامطة,استديو - سكني,72,11100
2020,3,جازان,صبياء,استديو - سكني,8,7920
2020,3,جازان,ضمد,استديو - سكني,4,15600
2020,3,جازان,أبو عريش - أبو عريش,دوبلاكس - سكني,1,12000
2020,3,جازان,جازان,دوبلاكس - سكني,4,36590.5
